County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,067","1,965","1,985",6,"5,023",115,118,287,1,521,"5,544"
Adams,636,989,"1,150",4,"2,779",46,48,182,0,276,"3,055"
Allamakee,"2,166","4,246","3,122",5,"9,539",134,150,306,0,590,"10,129"
Appanoose,"2,464","2,800","3,024",6,"8,294",263,230,460,0,953,"9,247"
Audubon,"1,249","1,572","1,404",5,"4,230",75,85,181,0,341,"4,571"
Benton,"4,400","4,999","7,447",28,"16,874",315,232,644,2,"1,193","18,067"
Black Hawk,"29,187","20,590","31,382",266,"81,425","2,488","1,284","3,392",22,"7,186","88,611"
Boone,"5,134","5,493","6,901",37,"17,565",289,328,681,1,"1,299","18,864"
Bremer,"3,674","4,999","7,400",24,"16,097",396,307,799,3,"1,505","17,602"
Buchanan,"3,798","3,112","6,310",14,"13,234",207,150,548,0,905,"14,139"
Buena Vista,"2,922","4,075","4,629",12,"11,638",230,177,351,2,760,"12,398"
Butler,"1,710","4,540","3,433",11,"9,694",126,146,275,0,547,"10,241"
Calhoun,"1,392","2,387","2,727",12,"6,518",112,114,326,1,553,"7,071"
Carroll,"3,974","3,888","6,030",42,"13,934",250,225,626,1,"1,102","15,036"
Cass,"1,530","4,800","2,988",9,"9,327",162,321,513,1,997,"10,324"
Cedar,"3,085","3,679","4,584",20,"11,368",239,157,456,0,852,"12,220"
Cerro Gordo,"9,252","8,015","12,363",34,"29,664",697,513,"1,330",1,"2,541","32,205"
Cherokee,"1,898","3,206","2,988",13,"8,105",126,159,356,2,643,"8,748"
Chickasaw,"2,727","2,209","3,491",5,"8,432",144,122,354,1,621,"9,053"
Clarke,"1,539","1,797","2,152",9,"5,497",145,138,349,1,633,"6,130"
Clay,"2,375","4,507","4,164",11,"11,057",272,294,528,0,"1,094","12,151"
Clayton,"3,345","3,276","4,713",18,"11,352",234,201,508,2,945,"12,297"
Clinton,"10,183","7,320","12,890",34,"30,427","1,301",554,"1,778",6,"3,639","34,066"
Crawford,"2,637","3,156","3,427",7,"9,227",224,159,407,1,791,"10,018"
Dallas,"10,223","16,707","18,495",100,"45,525","1,413","1,866","3,369",6,"6,654","52,179"
Davis,"1,897","1,507","1,400",2,"4,806",146,85,220,1,452,"5,258"
Decatur,"1,501","1,612","1,533",9,"4,655",323,239,557,4,"1,123","5,778"
Delaware,"2,554","3,859","4,937",3,"11,353",150,150,400,0,700,"12,053"
Des Moines,"11,072","6,053","8,547",44,"25,716",957,449,"1,104",3,"2,513","28,229"
Dickinson,"2,383","5,132","4,428",20,"11,963",144,205,310,2,661,"12,624"
Dubuque,"25,012","14,938","22,407",155,"62,512","1,815","1,046","2,245",19,"5,125","67,637"
Emmet,"1,969","1,638","2,808",6,"6,421",232,159,540,1,932,"7,353"
Fayette,"3,585","3,965","4,152",29,"11,731",221,119,308,1,649,"12,380"
