County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,"1,051","2,278","1,908",26,"5,263",42,71,129,4,246,"5,509"
Adams,558,"1,166",987,13,"2,724",33,35,101,2,171,"2,895"
Allamakee,"2,299","4,363","2,831",46,"9,539",156,152,335,3,646,"10,185"
Appanoose,"2,171","3,528","2,696",58,"8,453",153,169,368,1,691,"9,144"
Audubon,"1,016","2,024","1,135",17,"4,192",35,48,91,1,175,"4,367"
Benton,"4,360","6,390","6,942",133,"17,825",157,179,369,11,716,"18,541"
Black Hawk,"33,851","23,238","27,124",776,"84,989","2,168","1,307","2,695",69,"6,239","91,228"
Boone,"5,682","6,674","6,496",159,"19,011",253,278,623,15,"1,169","20,180"
Bremer,"4,667","5,825","7,002",105,"17,599",209,173,466,10,858,"18,457"
Buchanan,"3,828","3,923","5,844",62,"13,657",124,93,394,5,616,"14,273"
Buena Vista,"3,183","4,335","4,020",87,"11,625",334,244,501,3,"1,082","12,707"
Butler,"1,948","4,748","3,070",50,"9,816",61,116,197,2,376,"10,192"
Calhoun,"1,337","2,908","2,329",44,"6,618",42,62,100,6,210,"6,828"
Carroll,"3,706","5,225","5,474",94,"14,499",121,126,227,7,481,"14,980"
Cass,"1,684","4,820","2,790",62,"9,356",95,225,303,1,624,"9,980"
Cedar,"3,483","4,658","4,520",99,"12,760",123,143,234,13,513,"13,273"
Cerro Gordo,"9,396","8,662","11,706",203,"29,967",425,400,972,6,"1,803","31,770"
Cherokee,"1,470","4,320","2,225",33,"8,048",72,87,219,2,380,"8,428"
Chickasaw,"2,402","2,782","2,997",42,"8,223",110,108,250,2,470,"8,693"
Clarke,"1,507","2,430","2,017",54,"6,008",66,78,170,3,317,"6,325"
Clay,"2,208","5,668","3,448",83,"11,407",127,258,370,6,761,"12,168"
Clayton,"3,320","4,177","4,309",74,"11,880",131,139,209,2,481,"12,361"
Clinton,"10,331","9,628","12,008",227,"32,194",708,356,"1,232",17,"2,313","34,507"
Crawford,"2,536","3,820","3,356",61,"9,773",96,107,237,1,441,"10,214"
Dallas,"19,738","23,256","22,223",610,"65,827",788,"1,104","1,711",44,"3,647","69,474"
Davis,"1,496","2,185","1,306",27,"5,014",73,83,120,3,279,"5,293"
Decatur,"1,330","2,064","1,435",36,"4,865",167,104,183,4,458,"5,323"
Delaware,"2,629","4,839","4,454",62,"11,984",76,102,218,4,400,"12,384"
Des Moines,"10,562","7,818","8,542",205,"27,127",626,320,772,19,"1,737","28,864"
Dickinson,"2,899","6,539","4,178",95,"13,711",166,291,415,8,880,"14,591"
Dubuque,"27,324","20,065","19,747",581,"67,717","1,716","1,085","2,174",48,"5,023","72,740"
Emmet,"1,727","2,140","2,446",38,"6,351",96,131,285,1,513,"6,864"
Fayette,"3,566","4,538","4,239",79,"12,422",168,103,262,6,539,"12,961"
Floyd,"2,990","3,060","4,431",67,"10,548",229,134,410,6,779,"11,327"
Franklin,"1,325","3,136","1,967",39,"6,467",64,88,155,1,308,"6,775"
