County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,059","1,948","1,996",5,"5,008",113,114,284,0,511,"5,519"
Adams,631,978,"1,150",4,"2,763",46,48,181,0,275,"3,038"
Allamakee,"2,166","4,258","3,125",5,"9,554",134,149,305,0,588,"10,142"
Appanoose,"2,445","2,793","3,031",5,"8,274",261,226,455,0,942,"9,216"
Audubon,"1,245","1,572","1,402",4,"4,223",75,83,180,0,338,"4,561"
Benton,"4,389","4,996","7,476",28,"16,889",307,230,637,2,"1,176","18,065"
Black Hawk,"29,080","20,557","31,340",272,"81,249","2,560","1,315","3,529",31,"7,435","88,684"
Boone,"5,135","5,482","6,937",39,"17,593",284,328,665,1,"1,278","18,871"
Bremer,"3,671","5,005","7,438",25,"16,139",391,300,791,3,"1,485","17,624"
Buchanan,"3,786","3,114","6,346",14,"13,260",205,149,539,0,893,"14,153"
Buena Vista,"2,919","4,073","4,636",14,"11,642",229,177,349,2,757,"12,399"
Butler,"1,706","4,530","3,451",12,"9,699",123,144,271,0,538,"10,237"
Calhoun,"1,388","2,380","2,727",12,"6,507",112,114,325,1,552,"7,059"
Carroll,"3,946","3,882","6,081",42,"13,951",247,221,617,1,"1,086","15,037"
Cass,"1,533","4,779","2,995",9,"9,316",160,320,508,1,989,"10,305"
Cedar,"3,081","3,669","4,589",21,"11,360",237,155,455,0,847,"12,207"
Cerro Gordo,"9,225","8,004","12,455",37,"29,721",691,507,"1,322",1,"2,521","32,242"
Cherokee,"1,895","3,204","3,006",13,"8,118",124,155,351,2,632,"8,750"
Chickasaw,"2,727","2,212","3,503",6,"8,448",144,121,350,0,615,"9,063"
Clarke,"1,541","1,794","2,169",10,"5,514",144,137,345,1,627,"6,141"
Clay,"2,384","4,484","4,178",12,"11,058",269,293,525,0,"1,087","12,145"
Clayton,"3,343","3,279","4,723",18,"11,363",233,200,504,2,939,"12,302"
Clinton,"10,178","7,317","12,943",35,"30,473","1,280",550,"1,765",6,"3,601","34,074"
Crawford,"2,634","3,163","3,440",7,"9,244",222,157,406,1,786,"10,030"
Dallas,"10,245","16,743","18,715",104,"45,807","1,394","1,833","3,320",6,"6,553","52,360"
Davis,"1,886","1,517","1,405",2,"4,810",143,84,217,1,445,"5,255"
Decatur,"1,502","1,611","1,533",9,"4,655",321,237,557,4,"1,119","5,774"
Delaware,"2,547","3,849","4,955",3,"11,354",149,150,399,0,698,"12,052"
Des Moines,"11,072","6,050","8,599",45,"25,766",950,446,"1,089",3,"2,488","28,254"
Dickinson,"2,387","5,139","4,451",21,"11,998",141,203,307,2,653,"12,651"
Dubuque,"24,974","14,954","22,504",157,"62,589","1,810","1,035","2,224",19,"5,088","67,677"
Emmet,"1,955","1,634","2,814",8,"6,411",231,159,538,1,929,"7,340"
Fayette,"3,588","3,956","4,164",29,"11,737",219,118,307,1,645,"12,382"
Floyd,"3,147","2,601","4,770",11,"10,529",167,126,307,3,603,"11,132"
Franklin,"1,254","3,099","2,305",5,"6,663",95,108,263,1,467,"7,130"
Fremont,"1,152","2,002","1,615",6,"4,775",184,304,418,1,907,"5,682"
Greene,"1,826","2,127","2,274",9,"6,236",124,132,285,2,543,"6,779"
Grundy,"1,424","4,053","3,011",13,"8,501",69,151,252,4,476,"8,977"
Guthrie,"1,769","2,686","2,837",18,"7,310",130,158,318,1,607,"7,917"
Hamilton,"2,572","3,522","3,788",15,"9,897",209,229,500,1,939,"10,836"
Hancock,"1,487","3,238","2,778",5,"7,508",123,141,259,1,524,"8,032"
Hardin,"2,522","4,617","3,835",15,"10,989",316,271,579,0,"1,166","12,155"
Harrison,"2,085","3,581","2,199",23,"7,888",34,31,37,0,102,"7,990"
Henry,"2,790","5,183","4,849",18,"12,840",337,292,601,2,"1,232","14,072"
Howard,"1,799","1,419","2,551",4,"5,773",113,78,267,0,458,"6,231"
Humboldt,"1,292","2,628","2,398",2,"6,320",121,132,336,1,590,"6,910"
Ida,852,"2,194","1,780",8,"4,834",57,121,202,0,380,"5,214"
Iowa,"2,650","3,834","4,786",11,"11,281",184,208,430,1,823,"12,104"
Jackson,"5,351","2,812","5,556",15,"13,734",374,174,653,2,"1,203","14,937"
Jasper,"8,190","7,068","8,059",31,"23,348",994,728,"1,562",4,"3,288","26,636"
