County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,963,"2,009","2,110",29,"5,111",44,68,129,2,243,"5,354"
Adams,528,990,"1,115",11,"2,644",39,37,104,2,182,"2,826"
Allamakee,"2,035","4,036","3,060",45,"9,176",154,159,351,4,668,"9,844"
Appanoose,"2,127","2,968","2,894",38,"8,027",167,185,409,4,765,"8,792"
Audubon,938,"1,897","1,228",18,"4,081",34,54,93,0,181,"4,262"
Benton,"3,875","5,662","7,453",103,"17,093",166,187,393,7,753,"17,846"
Black Hawk,"29,661","20,675","30,865",805,"82,006","2,252","1,355","2,929",77,"6,613","88,619"
Boone,"5,057","5,784","7,306",163,"18,310",265,284,631,10,"1,190","19,500"
Bremer,"3,889","5,073","7,548",102,"16,612",255,222,584,11,"1,072","17,684"
Buchanan,"3,386","3,168","6,562",51,"13,167",147,94,448,5,694,"13,861"
Buena Vista,"2,896","4,037","4,333",84,"11,350",328,246,523,3,"1,100","12,450"
Butler,"1,641","4,410","3,454",51,"9,556",81,118,213,3,415,"9,971"
Calhoun,"1,252","2,492","2,589",44,"6,377",46,76,116,5,243,"6,620"
Carroll,"3,448","4,338","6,053",87,"13,926",125,133,258,7,523,"14,449"
Cass,"1,450","4,565","2,958",44,"9,017",103,251,342,1,697,"9,714"
Cedar,"3,092","3,753","4,927",77,"11,849",117,144,246,14,521,"12,370"
Cerro Gordo,"8,293","7,840","12,768",132,"29,033",453,402,"1,026",7,"1,888","30,921"
Cherokee,"1,428","3,593","2,738",39,"7,798",68,96,241,2,407,"8,205"
Chickasaw,"2,268","2,402","3,324",28,"8,022",110,107,261,4,482,"8,504"
Clarke,"1,417","1,977","2,219",35,"5,648",68,82,193,5,348,"5,996"
Clay,"1,926","5,275","3,683",58,"10,942",137,266,380,6,789,"11,731"
Clayton,"3,094","3,638","4,650",56,"11,438",141,143,226,5,515,"11,953"
Clinton,"9,066","7,719","13,955",151,"30,891",709,355,"1,231",14,"2,309","33,200"
Crawford,"2,410","3,262","3,638",40,"9,350",96,103,240,2,441,"9,791"
Dallas,"14,799","20,159","23,754",540,"59,252",760,"1,167","1,801",47,"3,775","63,027"
Davis,"1,622","1,754","1,421",21,"4,818",77,82,127,2,288,"5,106"
Decatur,"1,244","1,756","1,417",36,"4,453",162,102,195,4,463,"4,916"
Delaware,"2,214","4,314","4,812",49,"11,389",94,122,254,6,476,"11,865"
Des Moines,"9,852","6,605","9,250",189,"25,896",696,360,900,22,"1,978","27,874"
Dickinson,"2,434","5,873","4,560",68,"12,935",164,273,422,9,868,"13,803"
Dubuque,"25,065","16,042","22,841",505,"64,453","1,711","1,061","2,221",46,"5,039","69,492"
Emmet,"1,644","1,844","2,670",28,"6,186",103,126,288,1,518,"6,704"
Fayette,"3,253","3,937","4,400",68,"11,658",195,122,275,5,597,"12,255"
Floyd,"2,735","2,700","4,870",49,"10,354",224,139,426,7,796,"11,150"
Franklin,"1,154","2,891","2,165",31,"6,241",63,88,161,0,312,"6,553"
Fremont,970,"2,307","1,382",28,"4,687",88,127,180,3,398,"5,085"
Greene,"1,605","2,320","2,226",49,"6,200",62,89,166,6,323,"6,523"
Grundy,"1,369","3,863","3,193",47,"8,472",44,134,164,5,347,"8,819"
Guthrie,"1,578","2,839","3,096",59,"7,572",62,108,199,2,371,"7,943"
Hamilton,"2,246","3,870","3,562",65,"9,743",102,113,261,1,477,"10,220"
Hancock,"1,365","3,273","2,705",38,"7,381",76,99,203,3,381,"7,762"
Hardin,"2,439","4,635","3,916",70,"11,060",147,195,272,2,616,"11,676"
Harrison,"1,977","3,726","2,656",76,"8,435",31,64,65,2,162,"8,597"
Henry,"2,592","4,994","4,987",66,"12,639",245,277,576,4,"1,102","13,741"
Howard,"1,562","1,484","2,707",25,"5,778",87,60,207,0,354,"6,132"
Humboldt,"1,143","2,667","2,370",31,"6,211",61,95,158,1,315,"6,526"
Ida,748,"2,185","1,754",26,"4,713",27,58,95,1,181,"4,894"
Iowa,"2,477","4,034","4,902",88,"11,501",132,169,293,6,600,"12,101"
Jackson,"4,669","3,119","6,215",34,"14,037",188,118,380,2,688,"14,725"
Jasper,"7,898","7,537","9,552",132,"25,119",261,222,481,2,966,"26,085"
Jefferson,"4,124","3,133","3,035",100,"10,392",327,131,349,11,818,"11,210"
Johnson,"44,980","17,812","32,652",896,"96,340","5,238","2,193","4,712",178,"12,321","108,661"
Jones,"2,947","3,908","6,179",45,"13,079",117,122,368,5,612,"13,691"
Keokuk,"1,712","2,383","2,300",25,"6,420",85,86,155,2,328,"6,748"
Kossuth,"2,805","3,457","4,330",39,"10,631",101,144,303,4,552,"11,183"
Lee,"8,407","4,546","8,219",143,"21,315",551,284,964,27,"1,826","23,141"
Linn,"51,750","37,371","55,514","1,668","146,303","2,663","1,712","3,097",129,"7,601","153,904"
Louisa,"1,587","2,391","2,738",38,"6,754",88,69,190,3,350,"7,104"
Lucas,"1,189","2,297","2,037",25,"5,548",68,89,158,1,316,"5,864"
Lyon,777,"5,733","1,571",21,"8,102",69,159,143,4,375,"8,477"
Madison,"2,585","4,296","3,924",89,"10,894",139,234,337,3,713,"11,607"
Mahaska,"2,369","6,825","4,418",98,"13,710",223,290,512,6,"1,031","14,741"
Marion,"4,935","9,641","7,862",126,"22,564",345,455,674,10,"1,484","24,048"
Marshall,"7,002","7,125","8,753",184,"23,064",430,359,831,13,"1,633","24,697"
Mills,"1,981","5,191","3,117",116,"10,405",47,80,98,3,228,"10,633"
Mitchell,"1,578","2,459","2,786",36,"6,859",62,66,144,3,275,"7,134"
Monona,"1,503","2,055","2,104",35,"5,697",119,170,265,6,560,"6,257"
Monroe,"1,362","1,746","1,559",23,"4,690",59,64,142,1,266,"4,956"
Montgomery,"1,041","3,456","2,301",36,"6,834",82,142,219,6,449,"7,283"
Muscatine,"7,737","7,814","10,910",180,"26,641",489,380,912,13,"1,794","28,435"
O'Brien,"1,116","5,584","2,457",48,"9,205",107,201,208,4,520,"9,725"
Osceola,452,"2,417","1,125",15,"4,009",22,73,83,1,179,"4,188"
Page,"1,502","4,864","3,002",53,"9,421",141,266,388,5,800,"10,221"
Palo Alto,"1,792","1,906","2,205",30,"5,933",88,55,166,2,311,"6,244"
Plymouth,"2,947","8,343","5,538",98,"16,926",165,317,344,10,836,"17,762"
Pocahontas,891,"1,980","1,831",31,"4,733",79,67,176,2,324,"5,057"
Polk,"115,740","80,045","95,664","3,185","294,634","6,659","4,082","6,225",268,"17,234","311,868"
Pottawattamie,"15,355","21,114","20,641",689,"57,799","1,603","1,457","2,465",101,"5,626","63,425"
Poweshiek,"4,092","3,650","5,194",65,"13,001",563,150,440,8,"1,161","14,162"
Ringgold,804,"1,462",763,9,"3,038",28,51,58,1,138,"3,176"
Sac,"1,192","3,176","2,474",26,"6,868",62,88,168,2,320,"7,188"
Scott,"34,850","30,519","48,658",951,"114,978","3,967","2,521","5,760",131,"12,379","127,357"
Shelby,"1,664","3,544","2,654",34,"7,896",95,145,201,4,445,"8,341"
Sioux,"1,806","15,348","4,333",71,"21,558",109,468,279,14,870,"22,428"
