County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,984,"1,936",13,"2,037",3,"4,973",46,41,1,112,0,200,"5,173"
Adams,570,978,6,"1,155",2,"2,711",39,40,0,122,0,201,"2,912"
Allamakee,"2,075","4,210",21,"3,025",5,"9,336",122,127,2,275,0,526,"9,862"
Appanoose,"2,260","2,911",15,"2,892",10,"8,088",164,137,1,344,0,646,"8,734"
Audubon,935,"2,018",10,"1,217",5,"4,185",38,51,0,81,0,170,"4,355"
Benton,"3,967","5,932",60,"7,186",18,"17,163",172,152,3,405,0,732,"17,895"
Black Hawk,"29,716","21,664",420,"30,065",170,"82,035","2,021","1,130",41,"2,569",13,"5,774","87,809"
Boone,"5,250","5,846",75,"6,914",25,"18,110",224,266,5,536,0,"1,031","19,141"
Bremer,"3,849","5,267",58,"7,273",12,"16,459",199,171,5,454,1,830,"17,289"
Buchanan,"3,507","3,299",32,"6,351",5,"13,194",144,78,0,403,1,626,"13,820"
Buena Vista,"2,896","4,104",33,"4,374",19,"11,426",263,197,3,444,0,907,"12,333"
Butler,"1,693","4,534",23,"3,464",7,"9,721",82,109,0,206,0,397,"10,118"
Calhoun,"1,293","2,566",15,"2,653",5,"6,532",43,41,0,80,2,166,"6,698"
Carroll,"3,651","4,225",49,"5,918",16,"13,859",111,104,6,235,0,456,"14,315"
Cass,"1,466","4,729",21,"2,858",8,"9,082",89,190,2,289,0,570,"9,652"
Cedar,"3,077","3,910",46,"4,758",14,"11,805",110,105,6,221,2,444,"12,249"
Cerro Gordo,"8,710","8,278",63,"12,402",20,"29,473",418,304,2,811,3,"1,538","31,011"
Cherokee,"1,546","3,698",19,"2,690",6,"7,959",64,89,0,185,0,338,"8,297"
Chickasaw,"2,459","2,436",16,"3,316",9,"8,236",99,97,2,252,0,450,"8,686"
Clarke,"1,527","1,860",18,"2,230",5,"5,640",89,83,2,222,0,396,"6,036"
Clay,"1,874","5,703",34,"3,440",4,"11,055",143,201,0,335,2,681,"11,736"
Clayton,"3,350","3,540",35,"4,591",6,"11,522",152,117,0,259,1,529,"12,051"
Clinton,"9,830","7,709",71,"13,388",46,"31,044",552,244,6,876,2,"1,680","32,724"
Crawford,"2,471","3,288",18,"3,648",6,"9,431",129,131,2,241,0,503,"9,934"
Dallas,"12,673","19,730",269,"20,561",48,"53,281",655,"1,000",10,"1,563",4,"3,232","56,513"
Davis,"1,667","1,746",7,"1,428",4,"4,852",112,82,1,160,1,356,"5,208"
Decatur,"1,367","1,788",21,"1,397",5,"4,578",131,84,2,167,0,384,"4,962"
Delaware,"2,305","4,422",26,"4,638",7,"11,398",90,91,2,213,1,397,"11,795"
Des Moines,"10,415","6,611",104,"8,794",41,"25,965",680,330,6,836,2,"1,854","27,819"
Dickinson,"2,376","5,496",41,"4,612",10,"12,535",145,213,1,336,2,697,"13,232"
Dubuque,"25,559","16,354",266,"21,680",87,"63,946","1,371",749,17,"1,665",14,"3,816","67,762"
Emmet,"1,746","1,814",17,"2,747",2,"6,326",107,94,0,274,1,476,"6,802"
Fayette,"3,387","4,143",39,"4,300",15,"11,884",140,74,2,208,2,426,"12,310"
Floyd,"2,918","2,727",22,"4,674",10,"10,351",202,103,5,334,1,645,"10,996"
Franklin,"1,170","3,129",14,"2,092",2,"6,407",62,85,0,156,1,304,"6,711"
