County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,981,1993,2069,29,5072,46,74,137,2,259,5331
Adams,532,989,1093,9,2623,39,40,106,2,187,2810
Allamakee,2034,4025,3018,41,9118,155,160,351,3,669,9787
Appanoose,2136,2956,2850,40,7982,171,186,414,4,775,8757
Audubon,940,1889,1213,18,4060,35,54,93,0,182,4242
Benton,3892,5677,7351,102,17022,169,189,406,7,771,17793
Black Hawk,29681,20675,30608,810,81774,2274,1378,2978,76,6706,88480
Boone,5038,5737,7163,171,18109,274,290,648,11,1223,19332
Bremer,3894,5074,7424,105,16497,258,233,599,11,1101,17598
Buchanan,3393,3163,6467,49,13072,150,98,463,5,716,13788
Buena Vista,2883,4054,4309,84,11330,329,245,526,3,1103,12433
Butler,1640,4412,3420,53,9525,82,123,213,3,421,9946
Calhoun,1247,2493,2565,47,6352,49,77,119,4,249,6601
Carroll,3469,4320,5979,85,13853,129,139,263,7,538,14391
Cass,1443,4582,2915,40,8980,109,255,343,3,710,9690
Cedar,3096,3763,4885,76,11820,122,149,252,14,537,12357
Cerro Gordo,8267,7827,12597,127,28818,470,417,1051,8,1946,30764
Cherokee,1438,3581,2669,42,7730,71,103,244,2,420,8150
Chickasaw,2277,2405,3306,26,8014,113,106,264,4,487,8501
Clarke,1424,1971,2202,36,5633,68,85,192,5,350,5983
Clay,1926,5302,3618,56,10902,138,266,393,6,803,11705
Clayton,3094,3628,4623,55,11400,145,146,230,5,526,11926
Clinton,9088,7693,13787,151,30719,722,371,1256,17,2366,33085
Crawford,2405,3251,3630,38,9324,97,104,245,2,448,9772
Dallas,14563,20027,23269,531,58390,778,1190,1837,46,3851,62241
Davis,1620,1739,1392,20,4771,79,82,131,3,295,5066
Decatur,1246,1742,1376,35,4399,164,104,198,4,470,4869
Delaware,2230,4308,4764,48,11350,97,124,263,6,490,11840
Des Moines,9893,6604,9117,189,25803,711,366,919,21,2017,27820
Dickinson,2402,5855,4507,72,12836,154,245,413,7,819,13655
Dubuque,25110,15961,22514,494,64079,1752,1078,2251,45,5126,69205
Emmet,1647,1839,2661,28,6175,103,124,289,1,517,6692
Fayette,3254,3949,4357,63,11623,196,122,289,5,612,12235
Floyd,2739,2658,4792,48,10237,229,144,430,7,810,11047
Franklin,1155,2899,2146,31,6231,63,95,162,0,320,6551
Fremont,974,2308,1364,28,4674,84,131,178,3,396,5070
Greene,1605,2323,2207,49,6184,65,92,175,7,339,6523
Grundy,1386,3886,3179,45,8496,48,142,167,5,362,8858
Guthrie,1575,2833,3053,58,7519,64,110,210,2,386,7905
Hamilton,2260,3870,3496,62,9688,102,116,269,1,488,10176
Hancock,1357,3267,2669,34,7327,78,103,208,4,393,7720
Hardin,2413,4591,3829,71,10904,153,200,278,2,633,11537
Harrison,1964,3710,2557,74,8305,32,65,68,2,167,8472
Henry,2597,4987,4942,66,12592,250,278,579,4,1111,13703
Howard,1574,1480,2665,25,5744,87,60,211,0,358,6102
Humboldt,1149,2665,2342,31,6187,62,98,165,1,326,6513
Ida,760,2195,1737,26,4718,27,57,99,1,184,4902
Iowa,2464,4024,4868,85,11441,135,173,301,6,615,12056
Jackson,4712,3112,6143,36,14003,193,127,384,2,706,14709
Jasper,7942,7522,9433,134,25031,273,227,488,3,991,26022
Jefferson,4104,3123,2965,98,10290,329,133,355,11,828,11118
Johnson,44342,17796,32169,904,95211,5264,2207,4756,177,12404,107615
Jones,2960,3889,6105,43,12997,121,128,371,6,626,13623
Keokuk,1714,2381,2257,25,6377,86,87,158,2,333,6710
Kossuth,2852,3437,4280,39,10608,106,145,310,4,565,11173
Lee,8413,4511,8127,140,21191,556,286,973,26,1841,23032
Linn,51456,37403,54678,1661,145198,2720,1750,3150,131,7751,152949
Louisa,1593,2377,2700,35,6705,90,73,194,3,360,7065
Lucas,1194,2309,2029,26,5558,69,89,159,1,318,5876
Lyon,770,5704,1558,20,8052,70,159,144,4,377,8429
Madison,2574,4282,3896,86,10838,138,235,341,3,717,11555
Mahaska,2366,6854,4357,100,13677,228,298,519,8,1053,14730
Marion,4922,9607,7756,124,22409,344,465,694,11,1514,23923
Marshall,6984,7116,8655,182,22937,439,363,843,13,1658,24595
Mills,1966,5142,3056,113,10277,47,81,103,2,233,10510
Mitchell,1572,2480,2764,36,6852,64,64,144,3,275,7127
Monona,1533,2075,2151,37,5796,93,126,208,4,431,6227
Monroe,1379,1732,1531,21,4663,59,66,145,1,271,4934
Montgomery,1048,3447,2262,35,6792,83,147,224,5,459,7251
Muscatine,7716,7792,10684,168,26360,498,391,925,13,1827,28187
O'Brien,1112,5578,2447,48,9185,109,204,210,4,527,9712
Osceola,447,2423,1113,15,3998,22,74,84,1,181,4179
Page,1485,4862,2970,55,9372,140,256,369,6,771,10143
Palo Alto,1793,1878,2202,30,5903,89,55,167,1,312,6215
Plymouth,2949,8288,5474,98,16809,166,326,354,10,856,17665
Pocahontas,895,1977,1824,32,4728,82,69,179,2,332,5060
Polk,114607,80217,93705,3182,291711,6757,4127,6329,269,17482,309193
Pottawattamie,15263,21044,20338,675,57320,1615,1473,2477,102,5667,62987
Poweshiek,3991,3677,5108,65,12841,582,149,449,8,1188,14029
Ringgold,805,1465,756,7,3033,31,50,59,1,141,3174
Sac,1198,3182,2416,25,6821,68,91,173,2,334,7155
Scott,34646,30479,47945,938,114008,4011,2541,5813,132,12497,126505
Shelby,1658,3511,2635,34,7838,99,145,200,3,447,8285
Sioux,1782,15312,4248,68,21410,112,477,286,14,889,22299
Story,20385,17271,24341,850,62847,2276,1605,3294,147,7322,70169
Tama,2917,3283,4738,53,10991,133,105,318,2,558,11549
Taylor,660,1834,1206,23,3723,35,51,87,2,175,3898
Union,1638,2682,3208,47,7575,116,126,346,3,591,8166
Van Buren,853,1941,1787,27,4608,59,84,128,4,275,4883
Wapello,7688,5307,6839,108,19942,567,309,813,12,1701,21643
Warren,9723,11572,12317,249,33861,524,557,941,28,2050,35911
Washington,3040,5731,5338,121,14230,185,249,427,15,876,15106
Wayne,886,1435,1165,22,3508,27,62,69,3,161,3669
Webster,7290,6958,9051,172,23471,564,396,973,7,1940,25411
Winnebago,1448,2718,3049,36,7251,106,123,308,2,539,7790
Winneshiek,4041,4231,5407,62,13741,419,189,598,12,1218,14959
Woodbury,17371,19670,20037,436,57514,1602,1321,2211,46,5180,62694
Worth,1280,1850,2026,20,5176,75,71,172,1,319,5495
Wright,1718,3331,2570,38,7657,96,136,208,3,443,8100
Totals,"611,836","638,978","735,380","16,102","2,002,296","44,265","33,655","65,506","1,662","145,088","2,147,384"
