County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,025","1,913","1,975",10,"4,923",78,77,173,0,328,"5,251"
Adams,593,970,"1,150",3,"2,716",36,40,118,0,194,"2,910"
Allamakee,"2,093","4,248","3,021",16,"9,378",135,143,280,0,558,"9,936"
Appanoose,"2,361","2,904","2,897",12,"8,174",225,203,411,1,840,"9,014"
Audubon,968,"2,070","1,173",11,"4,222",41,58,113,0,212,"4,434"
Benton,"4,086","5,909","6,885",46,"16,926",281,231,632,3,"1,147","18,073"
Black Hawk,"29,714","21,137","29,299",406,"80,556","2,175","1,187","2,732",46,"6,140","86,696"
Boone,"5,240","5,760","6,676",63,"17,739",291,337,681,2,"1,311","19,050"
Bremer,"3,868","5,196","7,083",39,"16,186",234,235,571,11,"1,051","17,237"
Buchanan,"3,660","3,248","6,270",17,"13,195",171,137,514,1,823,"14,018"
Buena Vista,"2,998","4,129","4,401",27,"11,555",195,211,305,2,713,"12,268"
Butler,"1,716","4,490","3,373",10,"9,589",98,111,224,1,434,"10,023"
Calhoun,"1,303","2,512","2,469",9,"6,293",103,105,238,4,450,"6,743"
Carroll,"3,812","4,159","5,941",46,"13,958",239,210,584,4,"1,037","14,995"
Cass,"1,506","4,799","2,836",18,"9,159",123,269,358,0,750,"9,909"
Cedar,"3,128","3,792","4,414",35,"11,369",175,151,331,3,660,"12,029"
Cerro Gordo,"8,992","8,379","12,034",55,"29,460",664,416,"1,232",5,"2,317","31,777"
Cherokee,"1,547","3,758","2,638",16,"7,959",143,183,386,3,715,"8,674"
Chickasaw,"2,613","2,459","3,353",17,"8,442",129,120,324,1,574,"9,016"
Clarke,"1,528","1,820","2,113",13,"5,474",117,130,293,1,541,"6,015"
Clay,"1,933","5,778","3,331",21,"11,063",256,296,526,0,"1,078","12,141"
Clayton,"3,489","3,482","4,464",29,"11,464",152,136,308,2,598,"12,062"
Clinton,"10,101","7,681","12,963",74,"30,819","1,054",424,"1,445",6,"2,929","33,748"
Crawford,"2,473","3,266","3,373",10,"9,122",199,180,381,2,762,"9,884"
Dallas,"11,712","19,045","19,006",183,"49,946","1,094","1,626","2,591",16,"5,327","55,273"
Davis,"1,716","1,693","1,345",8,"4,762",123,83,192,1,399,"5,161"
Decatur,"1,426","1,761","1,318",11,"4,516",70,56,99,1,226,"4,742"
Delaware,"2,393","4,409","4,435",16,"11,253",88,113,214,0,415,"11,668"
Des Moines,"10,645","6,586","8,531",86,"25,848",839,444,"1,021",8,"2,312","28,160"
Dickinson,"2,431","5,400","4,465",28,"12,324",162,234,331,6,733,"13,057"
Dubuque,"25,777","15,566","21,357",232,"62,932","1,843","1,037","2,235",31,"5,146","68,078"
Emmet,"1,841","1,765","2,716",9,"6,331",243,174,558,0,975,"7,306"
Fayette,"3,501","4,001","3,960",35,"11,497",207,123,319,4,653,"12,150"
Floyd,"2,999","2,717","4,589",17,"10,322",203,140,357,4,704,"11,026"
Franklin,"1,194","3,173","2,113",5,"6,485",62,81,204,2,349,"6,834"
Fremont,"1,032","2,179","1,490",9,"4,710",159,215,319,1,694,"5,404"
Greene,"1,612","2,480","2,120",18,"6,230",111,125,255,3,494,"6,724"
Grundy,"1,408","4,064","2,997",15,"8,484",70,132,246,3,451,"8,935"
Guthrie,"1,691","2,761","2,867",24,"7,343",113,154,320,0,587,"7,930"
Hamilton,"2,363","3,983","3,402",30,"9,778",151,179,315,1,646,"10,424"
Hancock,"1,489","3,298","2,678",8,"7,473",113,134,317,2,566,"8,039"
Hardin,"2,531","4,674","3,782",21,"11,008",251,228,438,3,920,"11,928"
Harrison,"2,082","3,634","2,182",29,"7,927",36,55,69,1,161,"8,088"
Henry,"2,774","5,137","4,727",26,"12,664",411,375,747,2,"1,535","14,199"
Howard,"1,789","1,421","2,585",7,"5,802",112,90,291,0,493,"6,295"
Humboldt,"1,227","2,640","2,334",6,"6,207",102,110,223,0,435,"6,642"
Ida,815,"2,290","1,673",10,"4,788",50,109,205,0,364,"5,152"
Iowa,"2,674","3,991","4,796",36,"11,497",144,219,380,3,746,"12,243"
Jackson,"5,136","3,168","5,477",20,"13,801",291,171,579,5,"1,046","14,847"
Jasper,"8,561","7,259","8,265",43,"24,128",520,424,924,4,"1,872","26,000"
Jefferson,"3,907","3,300","2,948",59,"10,214",312,199,439,14,964,"11,178"
Johnson,"41,010","18,025","24,387",514,"83,936","8,025","3,852","9,402",167,"21,446","105,382"
Jones,"3,241","3,768","5,814",18,"12,841",141,133,392,1,667,"13,508"
Keokuk,"1,980","2,332","2,188",11,"6,511",156,105,276,2,539,"7,050"
Kossuth,"3,086","3,488","4,225",13,"10,812",93,104,237,1,435,"11,247"
Lee,"9,415","4,246","7,671",64,"21,396",838,367,"1,188",5,"2,398","23,794"
Linn,"50,255","38,266","47,681",788,"136,990","5,240","3,054","6,348",101,"14,743","151,733"
Louisa,"1,635","2,451","2,471",9,"6,566",210,146,419,1,776,"7,342"
Lucas,"1,312","2,252","1,918",9,"5,491",85,118,235,2,440,"5,931"
Lyon,862,"5,432","1,639",9,"7,942",96,207,185,0,488,"8,430"
Madison,"2,677","4,187","3,647",23,"10,534",172,245,409,3,829,"11,363"
Mahaska,"2,598","6,888","4,084",51,"13,621",309,311,559,2,"1,181","14,802"
Marion,"5,349","9,485","7,308",47,"22,189",414,605,793,10,"1,822","24,011"
Marshall,"7,185","7,552","8,633",48,"23,418",670,542,"1,106",4,"2,322","25,740"
Mills,"2,001","5,062","2,940",46,"10,049",199,297,431,3,930,"10,979"
Mitchell,"1,669","2,475","2,671",9,"6,824",110,114,203,0,427,"7,251"
Monona,"1,779","2,050","2,210",10,"6,049",126,142,246,1,515,"6,564"
Monroe,"1,543","1,624","1,481",3,"4,651",111,81,144,3,339,"4,990"
Montgomery,"1,047","3,594","2,103",9,"6,753",92,212,276,1,581,"7,334"
Muscatine,"7,966","8,132","9,646",70,"25,814",818,713,"1,434",3,"2,968","28,782"
O'Brien,"1,195","5,755","2,302",16,"9,268",107,237,318,2,664,"9,932"
Osceola,489,"2,517","1,076",5,"4,087",30,109,133,0,272,"4,359"
Page,"1,428","5,113","2,781",20,"9,342",176,273,536,6,991,"10,333"
Palo Alto,"2,063","1,773","2,119",9,"5,964",118,91,214,1,424,"6,388"
Plymouth,"3,040","8,197","5,223",43,"16,503",309,459,617,3,"1,388","17,891"
Pocahontas,965,"2,057","1,897",13,"4,932",57,79,182,1,319,"5,251"
Polk,"108,250","84,337","78,599","1,554","272,740","7,843","5,307","8,104",132,"21,386","294,126"
Pottawattamie,"15,300","20,699","18,544",309,"54,852","2,071","1,746","3,060",35,"6,912","61,764"
Poweshiek,"4,043","3,713","4,511",36,"12,303",905,195,760,10,"1,870","14,173"
Ringgold,834,"1,517",696,4,"3,051",49,45,75,0,169,"3,220"
Sac,"1,275","3,133","2,458",8,"6,874",80,139,235,0,454,"7,328"
Scott,"36,686","32,414","43,056",582,"112,738","3,877","2,732","5,970",57,"12,636","125,374"
Shelby,"1,783","3,567","2,425",9,"7,784",62,87,132,1,282,"8,066"
Sioux,"1,675","15,157","3,606",27,"20,465",122,532,428,3,"1,085","21,550"
Story,"18,897","17,867","18,815",421,"56,000","2,455","1,711","3,685",76,"7,927","63,927"
Tama,"3,174","3,379","4,473",16,"11,042",178,134,430,2,744,"11,786"
Taylor,690,"1,854","1,151",8,"3,703",81,117,231,0,429,"4,132"
Union,"1,731","2,749","3,118",12,"7,610",96,115,261,0,472,"8,082"
Van Buren,"1,006","2,131","1,550",16,"4,703",72,109,195,2,378,"5,081"
Wapello,"8,588","5,325","6,591",53,"20,557",744,389,924,3,"2,060","22,617"
Warren,"9,639","11,493","10,630",89,"31,851",669,656,"1,116",9,"2,450","34,301"
Washington,"2,974","6,215","4,788",71,"14,048",180,247,452,4,883,"14,931"
Wayne,948,"1,400","1,115",5,"3,468",58,80,94,0,232,"3,700"
Webster,"8,092","6,769","8,339",68,"23,268",720,492,"1,119",8,"2,339","25,607"
Winnebago,"1,499","2,846","2,752",10,"7,107",171,142,303,0,616,"7,723"
Winneshiek,"4,021","4,445","4,822",28,"13,316",217,124,352,0,693,"14,009"
Woodbury,"17,777","20,231","18,014",176,"56,198","1,757","1,269","2,292",24,"5,342","61,540"
Worth,"1,357","1,936","1,924",4,"5,221",123,81,259,3,466,"5,687"
Wright,"1,863","3,427","2,527",13,"7,830",157,223,325,2,707,"8,537"
Totals,"615,365","649,579","664,909","7,370","1,937,223","56,583","41,888","84,433",907,"183,811","2,121,034"
