County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,023","1,907","1,992",13,"4,935",77,78,172,0,327,"5,262"
Adams,595,969,"1,159",3,"2,726",34,40,117,0,191,"2,917"
Allamakee,"2,117","4,233","3,027",17,"9,394",131,142,280,0,553,"9,947"
Appanoose,"2,365","2,923","2,962",14,"8,264",220,197,404,1,822,"9,086"
Audubon,970,"2,060","1,179",11,"4,220",40,56,112,0,208,"4,428"
Benton,"4,090","5,894","6,949",54,"16,987",279,227,625,3,"1,134","18,121"
Black Hawk,"29,945","21,277","29,715",452,"81,389","2,140","1,178","2,703",45,"6,066","87,455"
Boone,"5,248","5,778","6,726",69,"17,821",286,333,675,2,"1,296","19,117"
Bremer,"3,865","5,196","7,111",42,"16,214",230,231,557,11,"1,029","17,243"
Buchanan,"3,654","3,247","6,298",19,"13,218",171,135,509,1,816,"14,034"
Buena Vista,"3,005","4,128","4,406",30,"11,569",195,206,302,2,705,"12,274"
Butler,"1,713","4,492","3,383",13,"9,601",97,110,223,1,431,"10,032"
Calhoun,"1,302","2,509","2,483",14,"6,308",99,105,235,4,443,"6,751"
Carroll,"3,815","4,158","5,959",48,"13,980",238,206,579,4,"1,027","15,007"
Cass,"1,502","4,797","2,861",20,"9,180",122,262,357,0,741,"9,921"
Cedar,"3,121","3,798","4,429",41,"11,389",170,150,323,4,647,"12,036"
Cerro Gordo,"8,998","8,374","12,091",57,"29,520",660,415,"1,222",5,"2,302","31,822"
Cherokee,"1,553","3,744","2,653",18,"7,968",139,182,378,3,702,"8,670"
Chickasaw,"2,609","2,458","3,366",17,"8,450",124,120,321,1,566,"9,016"
Clarke,"1,525","1,817","2,127",16,"5,485",114,127,288,1,530,"6,015"
Clay,"1,950","5,754","3,368",23,"11,095",254,292,525,1,"1,072","12,167"
Clayton,"3,480","3,481","4,473",28,"11,462",152,135,308,2,597,"12,059"
Clinton,"10,107","7,688","13,049",77,"30,921","1,046",420,"1,430",6,"2,902","33,823"
