State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,263","12,597","6,295",54,"22,209",221,465,496,3,"1,185","23,394"
State Representative District 002,"4,637","8,777","7,279",71,"20,764",365,364,727,3,"1,459","22,223"
State Representative District 003,"3,091","11,253","5,960",68,"20,372",231,397,647,4,"1,279","21,651"
State Representative District 004,"1,593","14,296","3,505",62,"19,456",101,432,337,2,872,"20,328"
State Representative District 005,"3,841","10,081","6,728",86,"20,736",299,468,636,4,"1,407","22,143"
State Representative District 006,"5,258","7,905","6,334",87,"19,584",401,364,590,4,"1,359","20,943"
State Representative District 007,"5,297","6,833","8,549",63,"20,742",438,346,918,0,"1,702","22,444"
State Representative District 008,"4,553","8,376","7,272",56,"20,257",258,336,610,7,"1,211","21,468"
State Representative District 009,"6,749","5,307","7,004",100,"19,160",576,354,858,5,"1,793","20,953"
State Representative District 010,"4,031","8,313","7,942",60,"20,346",251,270,591,6,"1,118","21,464"
State Representative District 011,"4,351","7,414","7,218",65,"19,048",249,304,482,2,"1,037","20,085"
State Representative District 012,"5,332","7,157","8,417",84,"20,990",261,250,666,5,"1,182","22,172"
State Representative District 013,"5,584","5,303","5,323",94,"16,304",573,388,706,9,"1,676","17,980"
State Representative District 014,"6,095","4,459","4,868",78,"15,500",516,295,588,8,"1,407","16,907"
State Representative District 015,"5,509","4,480","6,236",166,"16,391",801,484,966,15,"2,266","18,657"
State Representative District 016,"5,236","5,929","6,249",179,"17,593",763,591,"1,223",13,"2,590","20,183"
State Representative District 017,"4,569","8,194","6,786",83,"19,632",174,247,420,2,843,"20,475"
State Representative District 018,"4,502","7,536","6,269",60,"18,367",199,204,363,1,767,"19,134"
State Representative District 019,"5,513","10,085","9,419",128,"25,145",245,422,643,7,"1,317","26,462"
State Representative District 020,"4,737","6,816","7,717",90,"19,360",291,270,647,0,"1,208","20,568"
State Representative District 021,"3,859","8,674","7,549",66,"20,148",231,364,660,0,"1,255","21,403"
State Representative District 022,"4,790","10,555","6,999",116,"22,460",336,495,584,4,"1,419","23,879"
State Representative District 023,"3,891","10,155","6,291",100,"20,437",381,598,862,4,"1,845","22,282"
State Representative District 024,"3,330","9,791","5,616",65,"18,802",278,448,766,6,"1,498","20,300"
State Representative District 025,"5,846","8,706","7,833",104,"22,489",330,405,634,5,"1,374","23,863"
State Representative District 026,"6,611","7,466","7,512",101,"21,690",345,337,589,4,"1,275","22,965"
State Representative District 027,"4,882","6,810","6,437",70,"18,199",262,283,537,2,"1,084","19,283"
State Representative District 028,"5,277","7,303","7,286",67,"19,933",260,291,503,3,"1,057","20,990"
State Representative District 029,"7,677","5,801","7,304",70,"20,852",375,292,690,3,"1,360","22,212"
State Representative District 030,"7,027","8,145","7,501",186,"22,859",266,277,369,2,914,"23,773"
State Representative District 031,"7,842","4,877","5,624",157,"18,500",326,199,370,4,899,"19,399"
State Representative District 032,"8,265","2,717","4,613",138,"15,733",489,144,398,14,"1,045","16,778"
State Representative District 033,"8,430","3,288","5,108",137,"16,963",583,218,520,7,"1,328","18,291"
State Representative District 034,"9,092","3,794","5,440",182,"18,508",824,283,657,13,"1,777","20,285"
State Representative District 035,"7,984","2,285","4,195",147,"14,611",572,145,415,7,"1,139","15,750"
State Representative District 036,"9,998","5,030","5,977",194,"21,199",433,232,374,4,"1,043","22,242"
State Representative District 037,"7,001","10,866","8,583",252,"26,702",277,427,458,14,"1,176","27,878"
State Representative District 038,"6,919","7,555","6,931",170,"21,575",297,345,436,9,"1,087","22,662"
State Representative District 039,"6,876","10,149","8,258",189,"25,472",308,416,447,4,"1,175","26,647"
State Representative District 040,"7,154","7,814","6,154",170,"21,292",315,356,370,6,"1,047","22,339"
State Representative District 041,"11,741","4,897","5,089",191,"21,918",821,363,734,23,"1,941","23,859"
State Representative District 042,"7,417","7,505","6,344",203,"21,469",445,527,583,6,"1,561","23,030"
State Representative District 043,"7,582","7,596","5,834",138,"21,150",436,418,514,4,"1,372","22,522"
State Representative District 044,"6,684","10,354","10,510",171,"27,719",496,831,"1,175",5,"2,507","30,226"
State Representative District 045,"7,811","5,570","8,180",277,"21,838","1,129",699,"1,627",31,"3,486","25,324"
State Representative District 046,"7,463","6,208","8,518",274,"22,463",836,668,"1,261",32,"2,797","25,260"
State Representative District 047,"5,872","7,047","7,803",99,"20,821",282,343,685,2,"1,312","22,133"
State Representative District 048,"5,490","7,781","7,506",101,"20,878",262,299,517,4,"1,082","21,960"
State Representative District 049,"4,795","7,696","7,835",163,"20,489",260,279,517,8,"1,064","21,553"
State Representative District 050,"3,904","9,165","7,009",68,"20,146",279,300,584,3,"1,166","21,312"
State Representative District 051,"5,189","6,666","8,312",35,"20,202",309,264,709,3,"1,285","21,487"
State Representative District 052,"6,027","5,644","8,785",63,"20,519",294,222,609,7,"1,132","21,651"
State Representative District 053,"6,743","4,820","8,695",54,"20,312",443,237,797,2,"1,479","21,791"
State Representative District 054,"4,068","8,792","7,395",48,"20,303",206,250,506,1,963,"21,266"
State Representative District 055,"5,921","6,840","7,317",77,"20,155",293,179,453,2,927,"21,082"
State Representative District 056,"5,048","7,375","7,211",58,"19,692",260,252,538,3,"1,053","20,745"
State Representative District 057,"7,972","6,669","8,166",78,"22,885",217,210,364,2,793,"23,678"
State Representative District 058,"7,022","5,396","9,039",47,"21,504",306,200,659,7,"1,172","22,676"
State Representative District 059,"6,470","5,652","7,835",174,"20,131",468,335,712,18,"1,533","21,664"
State Representative District 060,"6,644","7,600","7,771",133,"22,148",382,342,587,10,"1,321","23,469"
State Representative District 061,"7,371","4,109","6,440",128,"18,048",422,187,458,5,"1,072","19,120"
State Representative District 062,"8,721","2,605","5,877",142,"17,345",561,129,473,4,"1,167","18,512"
State Representative District 063,"5,177","6,931","9,175",86,"21,369",247,235,563,8,"1,053","22,422"
State Representative District 064,"5,475","4,889","8,528",64,"18,956",209,141,560,2,912,"19,868"
State Representative District 065,"8,615","4,100","5,660",191,"18,566","1,248",454,"1,175",23,"2,900","21,466"
State Representative District 066,"7,109","5,741","6,542",163,"19,555",856,512,989,19,"2,376","21,931"
State Representative District 067,"6,173","7,219","7,732",150,"21,274",625,661,990,14,"2,290","23,564"
State Representative District 068,"6,800","6,260","7,729",170,"20,959",646,550,948,21,"2,165","23,124"
State Representative District 069,"7,290","4,055","7,142",180,"18,667","1,066",437,"1,149",22,"2,674","21,341"
State Representative District 070,"7,948","4,821","7,019",183,"19,971",880,436,919,10,"2,245","22,216"
State Representative District 071,"5,745","5,177","6,421",58,"17,401",482,374,783,4,"1,643","19,044"
State Representative District 072,"5,325","6,663","8,226",69,"20,283",280,256,626,2,"1,164","21,447"
State Representative District 073,"6,472","6,465","7,930",114,"20,981",306,222,492,8,"1,028","22,009"
State Representative District 074,"9,821","4,297","5,946",178,"20,242","1,281",538,"1,211",21,"3,051","23,293"
State Representative District 075,"4,821","7,043","8,706",84,"20,654",271,226,628,3,"1,128","21,782"
State Representative District 076,"6,245","6,800","8,493",92,"21,630",930,316,899,9,"2,154","23,784"
State Representative District 077,"8,355","6,021","8,183",169,"22,728",712,527,941,5,"2,185","24,913"
State Representative District 078,"4,802","8,048","6,932",104,"19,886",277,289,601,4,"1,171","21,057"
State Representative District 079,"3,661","10,428","6,312",91,"20,492",397,520,695,5,"1,617","22,109"
