County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,979,"1,993","2,053",29,"5,054",45,69,134,2,250,"5,304"
Adams,539,991,"1,085",8,"2,623",38,39,103,2,182,"2,805"
Allamakee,"2,054","4,024","3,002",40,"9,120",142,147,337,3,629,"9,749"
Appanoose,"2,144","2,949","2,840",38,"7,971",170,183,403,4,760,"8,731"
Audubon,936,"1,891","1,197",19,"4,043",34,55,95,0,184,"4,227"
Benton,"3,913","5,685","7,331",106,"17,035",173,195,415,9,792,"17,827"
Black Hawk,"29,523","20,670","30,185",808,"81,186","2,319","1,402","3,023",76,"6,820","88,006"
Boone,"5,091","5,749","7,068",161,"18,069",259,284,634,12,"1,189","19,258"
Bremer,"3,936","5,102","7,374",106,"16,518",228,219,561,10,"1,018","17,536"
Buchanan,"3,412","3,162","6,410",49,"13,033",151,94,459,5,709,"13,742"
Buena Vista,"2,854","4,031","4,256",78,"11,219",315,242,518,3,"1,078","12,297"
Butler,"1,671","4,431","3,405",52,"9,559",70,113,201,2,386,"9,945"
Calhoun,"1,263","2,504","2,537",45,"6,349",50,78,128,4,260,"6,609"
Carroll,"3,501","4,300","5,944",79,"13,824",126,135,248,9,518,"14,342"
Cass,"1,426","4,571","2,875",40,"8,912",112,259,352,2,725,"9,637"
Cedar,"3,102","3,764","4,826",77,"11,769",113,143,254,11,521,"12,290"
Cerro Gordo,"8,368","7,884","12,540",125,"28,917",444,376,995,8,"1,823","30,740"
Cherokee,"1,456","3,612","2,681",44,"7,793",65,98,238,2,403,"8,196"
Chickasaw,"2,324","2,406","3,296",28,"8,054",103,104,265,4,476,"8,530"
Clarke,"1,431","1,958","2,147",32,"5,568",71,85,197,5,358,"5,926"
Clay,"1,917","5,343","3,559",56,"10,875",137,246,377,6,766,"11,641"
Clayton,"3,118","3,641","4,633",53,"11,445",130,134,210,4,478,"11,923"
Clinton,"9,208","7,720","13,671",152,"30,751",674,352,"1,202",17,"2,245","32,996"
Crawford,"2,402","3,238","3,599",34,"9,273",95,102,238,2,437,"9,710"
Dallas,"14,445","19,928","22,795",524,"57,692",795,"1,210","1,898",49,"3,952","61,644"
Davis,"1,633","1,735","1,385",20,"4,773",74,80,130,3,287,"5,060"
Decatur,"1,249","1,750","1,359",32,"4,390",165,106,201,4,476,"4,866"
Delaware,"2,245","4,319","4,748",47,"11,359",94,115,257,6,472,"11,831"
Des Moines,"10,021","6,625","9,039",175,"25,860",660,338,868,21,"1,887","27,747"
Dickinson,"2,382","5,843","4,458",76,"12,759",161,253,425,8,847,"13,606"
Dubuque,"25,389","16,010","22,471",501,"64,371","1,567",961,"2,042",40,"4,610","68,981"
Emmet,"1,655","1,829","2,648",27,"6,159",94,118,267,1,480,"6,639"
Fayette,"3,274","3,955","4,323",60,"11,612",197,123,296,5,621,"12,233"
Floyd,"2,756","2,651","4,761",43,"10,211",218,137,418,7,780,"10,991"
Franklin,"1,166","2,934","2,127",31,"6,258",61,97,158,0,316,"6,574"
Fremont,994,"2,312","1,360",27,"4,693",82,130,175,2,389,"5,082"
Greene,"1,609","2,316","2,182",44,"6,151",66,89,169,7,331,"6,482"
Grundy,"1,406","3,905","3,145",46,"8,502",47,122,157,4,330,"8,832"
Guthrie,"1,583","2,823","3,023",52,"7,481",65,111,218,2,396,"7,877"
