County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,885,2150,1587,23,4645,121,203,439,8,771,5416
Adams,487,1093,820,10,2410,54,83,254,0,391,2801
Allamakee,1950,3955,2334,39,8278,295,416,756,12,1479,9757
Appanoose,1702,3282,2270,57,7311,378,375,771,10,1534,8845
Audubon,880,1845,922,18,3665,94,182,281,4,561,4226
Benton,3769,5983,6090,117,15959,475,488,1483,29,2475,18434
Black Hawk,27828,20317,23202,597,71944,5555,2625,7038,210,15428,87372
Boone,4887,6137,5645,124,16793,632,659,1733,48,3072,19865
Bremer,3948,5342,6164,88,15542,576,490,1328,24,2418,17960
Buchanan,3348,3645,4993,60,12046,342,304,1358,15,2019,14065
Buena Vista,2497,3943,2969,68,9477,778,563,1305,22,2668,12145
Butler,1708,4450,2631,57,8846,192,352,754,11,1309,10155
Calhoun,1127,2692,1994,41,5854,153,223,478,14,868,6722
Carroll,3070,4938,4640,88,12736,417,493,1106,24,2040,14776
Cass,1438,4292,2307,46,8083,215,521,750,18,1504,9587
Cedar,3051,4223,3870,83,11227,332,359,851,27,1569,12796
Cerro Gordo,8033,7935,9854,164,25986,1241,956,2955,48,5200,31186
Cherokee,1217,3954,1808,27,7006,224,335,729,9,1297,8303
Chickasaw,2038,2631,2413,36,7118,246,199,722,12,1179,8297
Clarke,1248,2178,1601,33,5060,230,247,562,17,1056,6116
Clay,1876,5177,2790,82,9925,310,588,991,20,1909,11834
Clayton,2867,3930,3760,76,10633,331,370,792,15,1508,12141
Clinton,8531,8810,10074,180,27595,1621,928,3424,76,6049,33644
Crawford,1979,3490,2724,58,8251,504,386,919,22,1831,10082
Dallas,17784,21295,21051,499,60629,2394,2541,4953,168,10056,70685
Davis,1271,2010,1119,19,4419,158,219,314,12,703,5122
Decatur,1027,1856,1209,21,4113,281,222,325,15,843,4956
Delaware,2296,4589,4014,48,10947,262,296,703,17,1278,12225
Des Moines,8391,6898,6812,183,22284,1813,964,2552,60,5389,27673
Dickinson,2485,6180,3661,87,12413,380,670,981,32,2063,14476
Dubuque,23637,18205,17469,480,59791,3651,2209,4897,165,10922,70713
Emmet,1414,1951,1971,36,5372,269,286,761,7,1323,6695
Fayette,3040,4177,3588,62,10867,406,367,864,26,1663,12530
Floyd,2476,2789,3667,60,8992,549,356,1181,20,2106,11098
Franklin,1115,2844,1664,33,5656,169,245,499,6,919,6575
Fremont,840,2451,875,28,4194,168,298,355,15,836,5030
Greene,1451,2424,1684,47,5606,186,222,499,7,914,6520
Grundy,1478,4074,2327,48,7927,171,319,579,9,1078,9005
Guthrie,1546,3020,2459,50,7075,212,297,660,8,1177,8252
Hamilton,2078,4065,2438,53,8634,298,375,786,16,1475,10109
Hancock,1304,3391,1964,37,6696,183,301,576,14,1074,7770
Hardin,2319,4720,2788,59,9886,400,485,920,19,1824,11710
Harrison,1811,4402,2109,77,8399,118,207,213,11,549,8948
Henry,2444,4969,3609,72,11094,578,693,1666,38,2975,14069
Howard,1446,1689,2257,26,5418,177,143,534,9,863,6281
Humboldt,1034,2763,1964,29,5790,139,242,455,8,844,6634
Ida,679,2206,1305,12,4202,107,201,377,7,692,4894
Iowa,2444,4531,3734,71,10780,313,363,892,27,1595,12375
Jackson,4315,3976,4032,50,12373,557,350,1378,9,2294,14667
Jasper,7042,8019,7369,153,22583,1042,825,2110,33,4010,26593
Jefferson,3835,3246,2374,84,9539,699,345,807,27,1878,11417
Johnson,45318,15873,25891,749,87831,10173,3893,9441,346,23853,111684
Jones,2924,4413,4614,55,12006,340,371,1197,17,1925,13931
Keokuk,1392,2615,1747,32,5786,227,245,496,5,973,6759
Kossuth,2323,4382,3055,42,9802,228,335,747,15,1325,11127
Lee,7027,5477,5847,143,18494,1309,664,2345,58,4376,22870
Linn,52797,37740,44291,1426,136254,8286,4858,11308,475,24927,161181
Louisa,1441,2564,1949,30,5984,300,256,711,9,1276,7260
Lucas,1044,2460,1566,30,5100,168,251,463,9,891,5991
