County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,018","1,911","2,017",14,"4,960",74,77,168,0,319,"5,279"
Adams,593,975,"1,159",3,"2,730",33,39,112,0,184,"2,914"
Allamakee,"2,125","4,244","3,063",20,"9,452",130,141,278,0,549,"10,001"
Appanoose,"2,392","2,923","2,964",16,"8,295",212,194,394,1,801,"9,096"
Audubon,971,"2,050","1,187",12,"4,220",40,54,108,0,202,"4,422"
Benton,"4,093","5,914","7,009",60,"17,076",268,221,606,3,"1,098","18,174"
Black Hawk,"30,091","21,477","30,083",506,"82,157","2,128","1,178","2,685",46,"6,037","88,194"
Boone,"5,300","5,822","6,778",78,"17,978",272,323,654,1,"1,250","19,228"
Bremer,"3,939","5,239","7,134",46,"16,358",223,227,540,11,"1,001","17,359"
Buchanan,"3,649","3,265","6,339",27,"13,280",166,132,494,1,793,"14,073"
Buena Vista,"3,021","4,155","4,438",38,"11,652",191,202,297,2,692,"12,344"
Butler,"1,727","4,528","3,383",15,"9,653",88,107,215,1,411,"10,064"
Calhoun,"1,308","2,516","2,493",17,"6,334",98,102,229,4,433,"6,767"
Carroll,"3,798","4,186","5,971",56,"14,011",235,201,564,4,"1,004","15,015"
Cass,"1,509","4,817","2,882",20,"9,228",118,256,352,0,726,"9,954"
Cedar,"3,138","3,828","4,461",49,"11,476",166,147,314,3,630,"12,106"
Cerro Gordo,"8,970","8,345","12,168",59,"29,542",645,408,"1,188",4,"2,245","31,787"
Cherokee,"1,566","3,752","2,639",22,"7,979",138,177,370,3,688,"8,667"
Chickasaw,"2,602","2,451","3,393",20,"8,466",122,118,312,1,553,"9,019"
Clarke,"1,529","1,834","2,148",19,"5,530",110,122,279,1,512,"6,042"
Clay,"1,975","5,751","3,391",26,"11,143",247,285,518,1,"1,051","12,194"
Clayton,"3,449","3,486","4,448",28,"11,411",181,156,349,3,689,"12,100"
Clinton,"10,125","7,716","13,191",81,"31,113","1,022",411,"1,401",6,"2,840","33,953"
Crawford,"2,470","3,270","3,444",15,"9,199",190,174,368,2,734,"9,933"
Dallas,"12,068","19,281","19,568",225,"51,142","1,023","1,559","2,470",14,"5,066","56,208"
Davis,"1,721","1,720","1,361",10,"4,812",121,81,185,1,388,"5,200"
Decatur,"1,429","1,762","1,357",15,"4,563",68,55,98,1,222,"4,785"
Delaware,"2,400","4,410","4,495",20,"11,325",85,112,204,0,401,"11,726"
Des Moines,"10,664","6,612","8,675",104,"26,055",812,433,"1,001",8,"2,254","28,309"
Dickinson,"2,445","5,430","4,599",34,"12,508",156,230,326,5,717,"13,225"
Dubuque,"25,891","15,868","21,719",278,"63,756","1,801","1,019","2,169",30,"5,019","68,775"
Emmet,"1,823","1,775","2,791",12,"6,401",239,172,549,0,960,"7,361"
Fayette,"3,507","4,025","4,057",37,"11,626",197,120,311,5,633,"12,259"
Floyd,"3,007","2,718","4,655",22,"10,402",195,131,350,6,682,"11,084"
Franklin,"1,201","3,163","2,125",7,"6,496",56,80,200,2,338,"6,834"
Fremont,"1,027","2,199","1,509",10,"4,745",154,210,313,1,678,"5,423"
Greene,"1,633","2,438","2,192",27,"6,290",104,121,242,2,469,"6,759"
Grundy,"1,400","4,042","3,068",17,"8,527",69,126,243,3,441,"8,968"
Guthrie,"1,677","2,781","2,947",29,"7,434",111,150,307,0,568,"8,002"
Hamilton,"2,360","3,971","3,465",34,"9,830",143,171,299,2,615,"10,445"
Hancock,"1,496","3,294","2,697",11,"7,498",111,129,306,2,548,"8,046"
Hardin,"2,530","4,671","3,812",34,"11,047",243,224,433,3,903,"11,950"
Harrison,"2,093","3,681","2,292",32,"8,098",35,51,65,1,152,"8,250"
Henry,"2,778","5,143","4,800",39,"12,760",399,371,724,2,"1,496","14,256"
Howard,"1,782","1,428","2,624",7,"5,841",110,89,282,0,481,"6,322"
Humboldt,"1,217","2,659","2,344",10,"6,230",95,105,218,0,418,"6,648"
Ida,818,"2,288","1,689",11,"4,806",49,104,197,0,350,"5,156"
Iowa,"2,678","3,990","4,832",37,"11,537",142,211,370,2,725,"12,262"
Jackson,"5,124","3,186","5,571",23,"13,904",277,164,562,5,"1,008","14,912"
Jasper,"8,543","7,341","8,438",58,"24,380",504,410,885,4,"1,803","26,183"
Jefferson,"3,914","3,313","3,009",76,"10,312",306,192,420,14,932,"11,244"
Johnson,"42,514","18,691","26,318",702,"88,225","7,707","3,759","9,099",163,"20,728","108,953"
Jones,"3,234","3,781","5,912",26,"12,953",132,132,375,1,640,"13,593"
Keokuk,"1,960","2,349","2,206",12,"6,527",149,101,266,2,518,"7,045"
Kossuth,"3,073","3,506","4,274",18,"10,871",80,93,217,1,391,"11,262"
Lee,"9,328","4,304","7,800",85,"21,517",830,371,"1,166",5,"2,372","23,889"
Linn,"47,986","37,077","46,252",897,"132,212","7,369","4,161","8,645",155,"20,330","152,542"
Louisa,"1,643","2,471","2,510",13,"6,637",203,142,414,2,761,"7,398"
Lucas,"1,311","2,276","1,938",11,"5,536",83,116,221,1,421,"5,957"
Lyon,873,"5,448","1,660",10,"7,991",96,204,184,0,484,"8,475"
Madison,"2,702","4,210","3,720",28,"10,660",165,244,393,3,805,"11,465"
Mahaska,"2,606","6,865","4,189",63,"13,723",297,301,547,2,"1,147","14,870"
Marion,"5,374","9,545","7,483",59,"22,461",398,593,759,6,"1,756","24,217"
Marshall,"7,210","7,586","8,768",57,"23,621",645,532,"1,077",4,"2,258","25,879"
Mills,"2,004","5,086","2,986",59,"10,135",196,290,422,3,911,"11,046"
Mitchell,"1,686","2,497","2,720",10,"6,913",106,113,197,0,416,"7,329"
Monona,"1,769","2,075","2,212",10,"6,066",86,110,153,1,350,"6,416"
Monroe,"1,546","1,640","1,500",6,"4,692",106,80,136,3,325,"5,017"
