County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,967,"2,002","2,101",30,"5,100",45,69,130,2,246,"5,346"
Adams,530,990,"1,106",11,"2,637",39,38,105,2,184,"2,821"
Allamakee,"2,039","4,045","3,042",44,"9,170",154,157,353,4,668,"9,838"
Appanoose,"2,126","2,966","2,884",37,"8,013",168,184,410,4,766,"8,779"
Audubon,939,"1,891","1,233",18,"4,081",34,55,93,0,182,"4,263"
Benton,"3,875","5,666","7,431",103,"17,075",165,190,394,7,756,"17,831"
Black Hawk,"29,697","20,703","30,799",810,"82,009","2,254","1,358","2,942",77,"6,631","88,640"
Boone,"5,063","5,780","7,270",167,"18,280",266,284,638,10,"1,198","19,478"
Bremer,"3,888","5,073","7,500",105,"16,566",255,225,591,11,"1,082","17,648"
Buchanan,"3,391","3,169","6,545",50,"13,155",148,95,454,5,702,"13,857"
Buena Vista,"2,887","4,045","4,334",83,"11,349",327,246,525,3,"1,101","12,450"
Butler,"1,636","4,422","3,445",51,"9,554",81,119,212,3,415,"9,969"
Calhoun,"1,249","2,489","2,583",46,"6,367",47,77,120,4,248,"6,615"
Carroll,"3,462","4,338","6,028",87,"13,915",127,136,261,7,531,"14,446"
Cass,"1,446","4,574","2,946",44,"9,010",104,251,342,1,698,"9,708"
Cedar,"3,098","3,765","4,926",77,"11,866",117,145,248,14,524,"12,390"
Cerro Gordo,"8,297","7,857","12,737",131,"29,022",455,406,"1,032",8,"1,901","30,923"
Cherokee,"1,427","3,590","2,727",41,"7,785",69,96,244,2,411,"8,196"
Chickasaw,"2,268","2,397","3,311",29,"8,005",110,107,264,4,485,"8,490"
Clarke,"1,424","1,973","2,222",36,"5,655",68,83,192,5,348,"6,003"
Clay,"1,927","5,293","3,666",55,"10,941",134,264,383,6,787,"11,728"
Clayton,"3,093","3,642","4,652",56,"11,443",142,145,227,5,519,"11,962"
Clinton,"9,078","7,720","13,905",151,"30,854",711,359,"1,237",14,"2,321","33,175"
Crawford,"2,409","3,258","3,633",40,"9,340",95,103,241,2,441,"9,781"
Dallas,"14,720","20,157","23,626",540,"59,043",761,"1,168","1,806",47,"3,782","62,825"
Davis,"1,624","1,753","1,419",21,"4,817",78,82,127,2,289,"5,106"
