County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,969,"1,999","2,084",29,"5,081",45,70,136,2,253,"5,334"
Adams,532,990,"1,106",11,"2,639",39,39,106,2,186,"2,825"
Allamakee,"2,040","4,039","3,038",43,"9,160",155,159,352,4,670,"9,830"
Appanoose,"2,126","2,956","2,861",39,"7,982",170,184,409,4,767,"8,749"
Audubon,941,"1,887","1,225",18,"4,071",35,55,93,0,183,"4,254"
Benton,"3,871","5,659","7,390",102,"17,022",167,192,398,7,764,"17,786"
Black Hawk,"29,707","20,690","30,677",814,"81,888","2,264","1,365","2,961",77,"6,667","88,555"
Boone,"5,057","5,783","7,196",167,"18,203",270,286,646,11,"1,213","19,416"
Bremer,"3,887","5,074","7,458",104,"16,523",259,230,595,11,"1,095","17,618"
Buchanan,"3,389","3,165","6,499",50,"13,103",149,98,457,5,709,"13,812"
Buena Vista,"2,879","4,054","4,320",83,"11,336",328,245,525,3,"1,101","12,437"
Butler,"1,634","4,413","3,431",52,"9,530",82,122,213,3,420,"9,950"
Calhoun,"1,258","2,496","2,577",46,"6,377",47,75,120,4,246,"6,623"
Carroll,"3,464","4,322","5,996",87,"13,869",128,137,262,7,534,"14,403"
Cass,"1,444","4,576","2,930",41,"8,991",105,252,344,3,704,"9,695"
Cedar,"3,098","3,756","4,905",77,"11,836",120,148,250,14,532,"12,368"
Cerro Gordo,"8,270","7,839","12,675",128,"28,912",459,406,"1,037",8,"1,910","30,822"
Cherokee,"1,430","3,583","2,687",42,"7,742",71,102,244,2,419,"8,161"
Chickasaw,"2,269","2,403","3,304",29,"8,005",112,107,265,4,488,"8,493"
Clarke,"1,420","1,970","2,210",36,"5,636",68,85,193,5,351,"5,987"
Clay,"1,925","5,290","3,644",56,"10,915",135,264,391,6,796,"11,711"
Clayton,"3,083","3,625","4,629",55,"11,392",143,146,231,5,525,"11,917"
Clinton,"9,077","7,699","13,848",153,"30,777",713,368,"1,244",16,"2,341","33,118"
Crawford,"2,409","3,262","3,625",39,"9,335",96,103,242,2,443,"9,778"
Dallas,"14,631","20,058","23,386",533,"58,608",771,"1,181","1,824",46,"3,822","62,430"
Davis,"1,625","1,749","1,411",21,"4,806",78,82,129,3,292,"5,098"
Decatur,"1,242","1,746","1,383",35,"4,406",165,105,198,4,472,"4,878"
Delaware,"2,221","4,316","4,776",48,"11,361",97,123,261,6,487,"11,848"
Des Moines,"9,883","6,602","9,169",189,"25,843",704,363,912,22,"2,001","27,844"
Dickinson,"2,413","5,837","4,506",71,"12,827",165,274,433,8,880,"13,707"
Dubuque,"25,100","15,999","22,644",496,"64,239","1,728","1,069","2,233",46,"5,076","69,315"
Emmet,"1,642","1,842","2,664",28,"6,176",102,125,289,1,517,"6,693"
Fayette,"3,261","3,950","4,368",64,"11,643",196,121,283,5,605,"12,248"
Floyd,"2,735","2,673","4,841",48,"10,297",228,140,429,7,804,"11,101"
Franklin,"1,154","2,892","2,154",31,"6,231",62,90,162,0,314,"6,545"
Fremont,973,"2,306","1,368",29,"4,676",86,131,179,3,399,"5,075"
Greene,"1,606","2,322","2,220",49,"6,197",64,92,170,7,333,"6,530"
Grundy,"1,383","3,881","3,197",47,"8,508",47,141,166,5,359,"8,867"
Guthrie,"1,581","2,837","3,067",58,"7,543",62,110,207,2,381,"7,924"
Hamilton,"2,254","3,860","3,521",63,"9,698",101,116,265,1,483,"10,181"
Hancock,"1,360","3,258","2,674",36,"7,328",76,101,207,4,388,"7,716"
Hardin,"2,437","4,618","3,877",72,"11,004",153,198,276,2,629,"11,633"
Harrison,"1,967","3,723","2,598",75,"8,363",32,65,69,2,168,"8,531"
Henry,"2,586","4,987","4,951",64,"12,588",250,278,584,4,"1,116","13,704"
Howard,"1,572","1,483","2,673",25,"5,753",86,60,211,0,357,"6,110"
Humboldt,"1,152","2,669","2,356",31,"6,208",62,99,162,1,324,"6,532"
Ida,755,"2,193","1,735",26,"4,709",28,57,97,1,183,"4,892"
Iowa,"2,464","4,016","4,883",85,"11,448",135,171,302,6,614,"12,062"
Jackson,"4,678","3,102","6,170",36,"13,986",191,123,382,2,698,"14,684"
Jasper,"7,913","7,524","9,486",132,"25,055",272,224,486,3,985,"26,040"
Jefferson,"4,114","3,127","2,978",99,"10,318",329,132,355,12,828,"11,146"
Johnson,"44,487","17,805","32,290",903,"95,485","5,253","2,205","4,740",177,"12,375","107,860"
Jones,"2,947","3,892","6,136",43,"13,018",118,127,367,6,618,"13,636"
Keokuk,"1,706","2,380","2,268",25,"6,379",85,87,158,2,332,"6,711"
Kossuth,"2,836","3,452","4,305",39,"10,632",103,144,308,4,559,"11,191"
Lee,"8,398","4,518","8,145",140,"21,201",557,286,972,26,"1,841","23,042"
Linn,"51,497","37,403","54,951","1,665","145,516","2,698","1,738","3,137",131,"7,704","153,220"
Louisa,"1,589","2,377","2,716",36,"6,718",90,72,193,3,358,"7,076"
Lucas,"1,191","2,299","2,030",25,"5,545",68,90,159,1,318,"5,863"
Lyon,770,"5,714","1,566",20,"8,070",70,159,144,4,377,"8,447"
Madison,"2,577","4,283","3,898",87,"10,845",139,236,339,3,717,"11,562"
Mahaska,"2,363","6,840","4,376",98,"13,677",227,295,516,8,"1,046","14,723"
Marion,"4,920","9,608","7,802",127,"22,457",346,462,688,11,"1,507","23,964"
Marshall,"6,995","7,125","8,701",183,"23,004",430,360,834,13,"1,637","24,641"
Mills,"1,974","5,157","3,084",114,"10,329",47,81,102,2,232,"10,561"
Mitchell,"1,576","2,479","2,767",36,"6,858",64,63,144,3,274,"7,132"
Monona,"1,520","2,069","2,115",37,"5,741",101,149,235,4,489,"6,230"
Monroe,"1,372","1,735","1,538",21,"4,666",59,66,143,1,269,"4,935"
Montgomery,"1,046","3,447","2,270",34,"6,797",82,143,223,6,454,"7,251"
Muscatine,"7,739","7,798","10,775",175,"26,487",493,388,916,13,"1,810","28,297"
O'Brien,"1,121","5,587","2,451",47,"9,206",108,202,209,4,523,"9,729"
Osceola,452,"2,420","1,124",15,"4,011",22,74,84,1,181,"4,192"
Page,"1,490","4,861","2,987",55,"9,393",140,253,369,6,768,"10,161"
Palo Alto,"1,787","1,902","2,195",29,"5,913",89,55,166,2,312,"6,225"
Plymouth,"2,936","8,308","5,499",100,"16,843",165,320,352,10,847,"17,690"
Pocahontas,897,"1,991","1,824",31,"4,743",81,67,178,2,328,"5,071"
Polk,"115,068","80,185","94,451","3,193","292,897","6,729","4,120","6,305",268,"17,422","310,319"
Pottawattamie,"15,276","21,068","20,449",679,"57,472","1,610","1,462","2,468",103,"5,643","63,115"
Poweshiek,"4,029","3,664","5,153",65,"12,911",571,148,445,8,"1,172","14,083"
