County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,927,"1,893",12,"2,070",5,"4,907",68,75,3,166,0,312,"5,219"
Adams,549,935,6,"1,160",1,"2,651",47,64,1,144,0,256,"2,907"
Allamakee,"1,996","4,132",19,"2,994",7,"9,148",173,181,4,391,0,749,"9,897"
Appanoose,"2,155","2,879",19,"2,904",8,"7,965",204,191,3,425,1,824,"8,789"
Audubon,911,"1,957",11,"1,219",4,"4,102",49,84,1,103,0,237,"4,339"
Benton,"3,804","5,784",62,"7,285",13,"16,948",237,262,7,569,2,"1,077","18,025"
Black Hawk,"28,512","20,787",407,"29,968",167,"79,841","2,639","1,636",53,"3,401",21,"7,750","87,591"
Boone,"5,014","5,686",74,"7,037",24,"17,835",335,399,17,733,0,"1,484","19,319"
Bremer,"3,723","5,107",57,"7,347",10,"16,244",283,295,6,660,3,"1,247","17,491"
Buchanan,"3,373","3,177",31,"6,424",4,"13,009",182,130,5,541,2,860,"13,869"
Buena Vista,"2,827","4,011",39,"4,338",21,"11,236",345,284,4,547,0,"1,180","12,416"
Butler,"1,623","4,411",25,"3,454",7,"9,520",98,154,2,254,0,508,"10,028"
Calhoun,"1,218","2,484",15,"2,589",6,"6,312",75,99,2,174,2,352,"6,664"
Carroll,"3,564","4,200",51,"5,889",15,"13,719",150,165,7,329,0,651,"14,370"
Cass,"1,380","4,621",25,"2,905",8,"8,939",128,252,3,355,0,738,"9,677"
Cedar,"2,998","3,778",48,"4,740",10,"11,574",145,175,5,302,2,629,"12,203"
Cerro Gordo,"8,449","8,005",65,"12,562",18,"29,099",546,448,5,"1,078",4,"2,081","31,180"
Cherokee,"1,488","3,611",19,"2,730",5,"7,853",86,139,1,250,0,476,"8,329"
Chickasaw,"2,375","2,389",14,"3,295",10,"8,083",119,132,3,335,0,589,"8,672"
Clarke,"1,470","1,821",19,"2,213",3,"5,526",75,90,3,243,1,412,"5,938"
Clay,"1,820","5,478",36,"3,471",4,"10,809",169,293,3,458,1,924,"11,733"
Clayton,"3,227","3,495",36,"4,607",4,"11,369",189,170,1,318,2,680,"12,049"
Clinton,"9,422","7,490",74,"13,630",37,"30,653",736,402,11,"1,205",9,"2,363","33,016"
Crawford,"2,424","3,219",19,"3,700",8,"9,370",158,178,2,314,0,652,"10,022"
Dallas,"12,213","19,126",287,"21,407",52,"53,085","1,206","1,830",36,"2,589",5,"5,666","58,751"
Davis,"1,604","1,722",7,"1,448",3,"4,784",92,103,1,153,2,351,"5,135"
Decatur,"1,280","1,725",22,"1,381",6,"4,414",170,125,4,197,1,497,"4,911"
Delaware,"2,235","4,317",25,"4,694",9,"11,280",118,128,2,270,1,519,"11,799"
Des Moines,"10,096","6,498",107,"8,880",37,"25,618",871,459,13,"1,106",5,"2,454","28,072"
Dickinson,"2,307","5,422",51,"4,597",6,"12,383",191,326,3,450,3,973,"13,356"
Dubuque,"24,699","15,985",286,"22,331",87,"63,388","1,773","1,074",31,"2,101",18,"4,997","68,385"
Emmet,"1,693","1,792",12,"2,725",2,"6,224",124,129,2,331,1,587,"6,811"
Fayette,"3,237","4,014",36,"4,260",13,"11,560",212,129,4,294,2,641,"12,201"
Floyd,"2,821","2,647",27,"4,706",10,"10,211",258,156,7,439,1,861,"11,072"
Franklin,"1,129","3,058",14,"2,080",3,"6,284",84,118,0,196,1,399,"6,683"
Fremont,967,"2,200",11,"1,460",7,"4,645",92,120,0,182,0,394,"5,039"
Greene,"1,550","2,370",24,"2,159",4,"6,107",84,119,6,201,1,411,"6,518"
Grundy,"1,341","3,950",20,"3,137",5,"8,453",75,182,4,246,2,509,"8,962"
Guthrie,"1,583","2,743",33,"3,070",3,"7,432",66,97,1,193,0,357,"7,789"
Hamilton,"2,207","3,879",29,"3,471",11,"9,597",138,157,2,331,1,629,"10,226"
Hancock,"1,380","3,251",11,"2,744",8,"7,394",87,124,3,266,0,480,"7,874"
Hardin,"2,406","4,558",43,"3,893",11,"10,911",156,250,3,335,1,745,"11,656"
Harrison,"2,023","3,684",36,"2,632",13,"8,388",50,104,1,122,2,279,"8,667"
Henry,"2,523","4,898",46,"4,843",9,"12,319",309,325,3,686,1,"1,324","13,643"
Howard,"1,644","1,427",14,"2,660",1,"5,746",101,71,0,244,0,416,"6,162"
Humboldt,"1,150","2,599",14,"2,413",3,"6,179",85,120,2,217,0,424,"6,603"
Ida,743,"2,181",15,"1,688",3,"4,630",41,75,0,130,0,246,"4,876"
Iowa,"2,490","3,862",45,"4,895",7,"11,299",143,205,0,351,0,699,"11,998"
Jackson,"4,729","3,100",24,"5,829",7,"13,689",264,162,2,508,1,937,"14,626"
Jasper,"7,935","7,227",64,"8,837",19,"24,082",451,363,8,711,1,"1,534","25,616"
Jefferson,"3,797","3,243",46,"3,016",42,"10,144",351,180,10,414,10,965,"11,109"
Johnson,"40,984","18,086",613,"29,533",207,"89,423","7,124","3,343",137,"7,552",62,"18,218","107,641"
Jones,"3,019","3,709",19,"6,084",7,"12,838",146,144,6,432,1,729,"13,567"
Keokuk,"1,774","2,335",12,"2,243",4,"6,368",135,110,0,215,0,460,"6,828"
Kossuth,"2,891","3,455",22,"4,351",9,"10,728",153,171,1,364,0,689,"11,417"
Lee,"8,748","4,351",86,"8,039",21,"21,245",649,347,12,"1,061",4,"2,073","23,318"
