County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,933,"1,908",12,"2,078",4,"4,935",63,66,3,153,0,285,"5,220"
Adams,550,932,6,"1,167",1,"2,656",44,58,1,135,0,238,"2,894"
Allamakee,"1,990","4,131",18,"3,020",7,"9,166",164,165,4,372,0,705,"9,871"
Appanoose,"2,150","2,890",20,"2,913",9,"7,982",193,181,3,413,1,791,"8,773"
Audubon,914,"1,954",11,"1,222",4,"4,105",44,66,0,101,0,211,"4,316"
Benton,"3,801","5,774",63,"7,322",13,"16,973",217,239,6,523,2,987,"17,960"
Black Hawk,"28,451","20,752",405,"30,086",165,"79,859","2,580","1,532",48,"3,281",21,"7,462","87,321"
Boone,"5,013","5,692",74,"7,094",24,"17,897",305,359,15,695,0,"1,374","19,271"
Bremer,"3,721","5,114",58,"7,366",10,"16,269",258,263,5,615,3,"1,144","17,413"
Buchanan,"3,364","3,176",31,"6,446",4,"13,021",169,119,5,523,2,818,"13,839"
Buena Vista,"2,832","4,026",39,"4,345",22,"11,264",334,257,3,531,0,"1,125","12,389"
Butler,"1,625","4,411",26,"3,463",7,"9,532",92,133,2,239,0,466,"9,998"
Calhoun,"1,214","2,484",17,"2,590",6,"6,311",70,90,2,165,2,329,"6,640"
Carroll,"3,547","4,198",50,"5,911",15,"13,721",146,141,7,305,0,599,"14,320"
Cass,"1,382","4,614",25,"2,924",7,"8,952",120,232,2,344,0,698,"9,650"
Cedar,"3,000","3,782",48,"4,756",10,"11,596",131,152,5,277,2,567,"12,163"
Cerro Gordo,"8,443","7,995",67,"12,592",18,"29,115",504,409,4,"1,016",4,"1,937","31,052"
Cherokee,"1,484","3,609",19,"2,741",5,"7,858",77,122,1,242,0,442,"8,300"
Chickasaw,"2,370","2,385",15,"3,306",10,"8,086",110,121,3,306,0,540,"8,626"
