County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,996,"2,024",25,"2,020",5,"5,070",57,56,2,147,0,262,"5,332"
Adams,570,"1,009",8,"1,117",1,"2,705",43,48,1,121,0,213,"2,918"
Allamakee,"2,123","4,090",29,"3,084",10,"9,336",154,152,3,355,0,664,"10,000"
Appanoose,"2,227","2,985",29,"2,908",8,"8,157",168,178,3,382,0,731,"8,888"
Audubon,968,"1,938",18,"1,227",2,"4,153",37,47,0,82,0,166,"4,319"
Benton,"3,995","5,766",84,"7,387",17,"17,249",188,184,7,421,2,802,"18,051"
Black Hawk,"30,360","21,173",694,"30,720",161,"83,108","2,358","1,366",45,"2,980",16,"6,765","89,873"
Boone,"5,284","5,858",148,"7,137",22,"18,449",256,305,9,606,0,"1,176","19,625"
Bremer,"4,038","5,169",97,"7,394",9,"16,707",229,207,5,533,3,977,"17,684"
Buchanan,"3,513","3,229",47,"6,448",5,"13,242",153,102,4,470,0,729,"13,971"
Buena Vista,"2,917","4,096",45,"4,350",23,"11,431",314,239,3,497,0,"1,053","12,484"
Butler,"1,701","4,502",42,"3,388",6,"9,639",72,117,0,211,0,400,"10,039"
Calhoun,"1,297","2,535",34,"2,557",8,"6,431",55,72,2,126,2,257,"6,688"
Carroll,"3,623","4,305",66,"5,932",16,"13,942",128,116,7,252,0,503,"14,445"
Cass,"1,474","4,660",33,"2,907",8,"9,082",100,210,0,304,0,614,"9,696"
Cedar,"3,186","3,858",63,"4,912",16,"12,035",115,119,5,227,2,468,"12,503"
Cerro Gordo,"8,702","8,140",93,"12,852",24,"29,811",451,360,3,946,4,"1,764","31,575"
Cherokee,"1,502","3,699",37,"2,733",7,"7,978",64,97,1,220,0,382,"8,360"
Chickasaw,"2,401","2,413",19,"3,323",11,"8,167",101,112,2,268,0,483,"8,650"
Clarke,"1,482","2,004",28,"2,203",5,"5,722",61,76,3,201,0,341,"6,063"
Clay,"1,976","5,455",50,"3,549",5,"11,035",150,251,2,393,1,797,"11,832"
Clayton,"3,219","3,684",50,"4,628",7,"11,588",160,137,0,273,2,572,"12,160"
Clinton,"9,497","7,825",114,"13,740",37,"31,213",662,328,7,"1,124",7,"2,128","33,341"
Crawford,"2,475","3,301",27,"3,727",10,"9,540",135,141,2,268,0,546,"10,086"
Dallas,"14,840","20,386",494,"22,827",58,"58,605",782,"1,273",29,"1,932",5,"4,021","62,626"
Davis,"1,686","1,744",14,"1,417",3,"4,864",81,78,1,140,2,302,"5,166"
Decatur,"1,327","1,782",27,"1,423",7,"4,566",150,111,3,179,1,444,"5,010"
Delaware,"2,311","4,346",44,"4,763",10,"11,474",95,105,2,219,1,422,"11,896"
Des Moines,"10,253","6,704",142,"9,097",37,"26,233",788,391,12,"1,022",5,"2,218","28,451"
Dickinson,"2,472","5,899",71,"4,553",7,"13,002",145,223,3,359,2,732,"13,734"
Dubuque,"26,103","16,272",418,"22,731",93,"65,617","1,574",919,25,"1,940",19,"4,477","70,094"
Emmet,"1,694","1,875",24,"2,720",3,"6,316",112,117,0,299,1,529,"6,845"
Fayette,"3,390","4,040",46,"4,401",14,"11,891",171,103,4,267,2,547,"12,438"
Floyd,"2,838","2,703",35,"4,835",11,"10,422",216,123,6,385,1,731,"11,153"
Franklin,"1,202","3,001",28,"2,125",4,"6,360",66,93,0,156,1,316,"6,676"
Fremont,"1,027","2,369",17,"1,396",6,"4,815",87,110,0,163,1,361,"5,176"
Greene,"1,645","2,383",37,"2,190",5,"6,260",63,83,4,172,0,322,"6,582"
Grundy,"1,424","3,929",40,"3,087",6,"8,486",53,126,3,182,2,366,"8,852"
Guthrie,"1,631","2,839",49,"3,004",3,"7,526",54,90,0,171,0,315,"7,841"
Hamilton,"2,322","3,944",49,"3,489",11,"9,815",109,125,1,272,0,507,"10,322"
Hancock,"1,412","3,351",24,"2,724",9,"7,520",64,86,3,217,0,370,"7,890"
Hardin,"2,520","4,674",61,"3,833",9,"11,097",128,199,2,281,0,610,"11,707"
Harrison,"2,078","3,869",56,"2,659",13,"8,675",37,69,1,90,2,199,"8,874"
Henry,"2,671","5,050",60,"4,880",8,"12,669",258,269,3,599,1,"1,130","13,799"
Howard,"1,653","1,509",20,"2,702",2,"5,886",89,62,0,201,0,352,"6,238"
Humboldt,"1,209","2,714",31,"2,361",2,"6,317",63,98,2,171,0,334,"6,651"
Ida,772,"2,185",21,"1,706",4,"4,688",30,66,0,106,0,202,"4,890"
Iowa,"2,561","4,095",68,"4,887",12,"11,623",114,161,0,289,0,564,"12,187"
Jackson,"4,850","3,137",30,"6,031",9,"14,057",202,125,2,425,1,755,"14,812"
Jasper,"8,128","7,531",106,"9,145",20,"24,930",309,263,2,572,1,"1,147","26,077"
Jefferson,"4,204","3,216",76,"2,982",28,"10,506",308,148,8,382,10,856,"11,362"
Johnson,"45,590","18,524",776,"32,160",195,"97,245","6,377","2,971",122,"7,010",51,"16,531","113,776"
Jones,"3,090","3,995",36,"6,011",5,"13,137",115,109,5,360,1,590,"13,727"
Keokuk,"1,781","2,405",19,"2,280",5,"6,490",110,82,0,175,0,367,"6,857"
Kossuth,"2,991","3,486",32,"4,332",9,"10,850",123,146,2,311,0,582,"11,432"
Lee,"8,783","4,569",124,"8,225",21,"21,722",575,291,13,981,3,"1,863","23,585"
Linn,"52,755","38,338","1,384","53,738",307,"146,522","3,137","1,923",92,"3,969",28,"9,149","155,671"
Louisa,"1,667","2,406",25,"2,686",6,"6,790",101,99,1,220,1,422,"7,212"
Lucas,"1,244","2,318",18,"2,014",4,"5,598",62,104,1,176,1,344,"5,942"
Lyon,781,"5,699",17,"1,551",1,"8,049",91,190,2,182,1,466,"8,515"
Madison,"2,675","4,364",71,"3,962",10,"11,082",127,229,4,329,0,689,"11,771"
Mahaska,"2,423","7,016",92,"4,303",13,"13,847",271,287,4,494,1,"1,057","14,904"
Marion,"5,088","9,748",102,"7,676",19,"22,633",317,460,8,666,1,"1,452","24,085"
Marshall,"7,206","7,343",148,"8,681",30,"23,408",442,323,9,765,0,"1,539","24,947"
Mills,"1,984","5,127",91,"3,024",19,"10,245",63,96,3,119,1,282,"10,527"
Mitchell,"1,598","2,535",25,"2,757",5,"6,920",70,72,1,161,0,304,"7,224"
Monona,"1,605","2,122",32,"2,200",8,"5,967",62,74,2,128,1,267,"6,234"
Monroe,"1,443","1,752",20,"1,578",0,"4,793",65,72,1,126,1,265,"5,058"
Montgomery,"1,095","3,541",30,"2,288",7,"6,961",66,153,3,199,1,422,"7,383"
Muscatine,"7,953","7,975",121,"10,619",50,"26,718",571,413,9,"1,022",2,"2,017","28,735"
O'Brien,"1,150","5,729",31,"2,418",10,"9,338",96,162,5,217,1,481,"9,819"
Osceola,455,"2,495",8,"1,115",5,"4,078",21,63,0,82,1,167,"4,245"
Page,"1,547","4,958",47,"2,948",12,"9,512",124,221,6,341,0,692,"10,204"
Palo Alto,"1,863","1,905",25,"2,289",7,"6,089",83,48,0,144,0,275,"6,364"
Plymouth,"3,045","8,435",77,"5,448",22,"17,027",148,286,4,335,0,773,"17,800"
Pocahontas,957,"2,009",29,"1,847",3,"4,845",71,66,3,171,0,311,"5,156"
Polk,"116,891","82,392","2,662","88,972",506,"291,423","6,921","4,407",173,"7,012",51,"18,564","309,987"
Pottawattamie,"15,575","21,322",508,"20,229",135,"57,769","2,371","2,084",61,"3,662",21,"8,199","65,968"
Poweshiek,"4,230","3,765",56,"5,088",13,"13,152",685,144,7,655,4,"1,495","14,647"
Ringgold,848,"1,498",8,769,1,"3,124",38,55,0,58,0,151,"3,275"
Sac,"1,247","3,250",19,"2,370",8,"6,894",63,85,0,186,0,334,"7,228"
Scott,"35,978","31,454",755,"47,787",179,"116,153","3,761","2,590",89,"5,480",28,"11,948","128,101"
Shelby,"1,745","3,623",29,"2,668",3,"8,068",74,110,4,154,0,342,"8,410"
Sioux,"1,796","15,480",54,"4,162",18,"21,510",112,418,6,314,3,853,"22,363"
Story,"20,878","17,836",723,"24,663",162,"64,262","2,274","1,590",86,"3,338",25,"7,313","71,575"
Tama,"3,007","3,362",42,"4,790",11,"11,212",142,91,1,322,0,556,"11,768"
Taylor,681,"1,880",25,"1,224",0,"3,810",30,56,1,88,0,175,"3,985"
Union,"1,714","2,739",40,"3,187",6,"7,686",96,118,0,323,1,538,"8,224"
Van Buren,944,"2,027",18,"1,719",8,"4,716",47,59,4,118,0,228,"4,944"
Wapello,"8,019","5,394",77,"6,869",31,"20,390",595,302,5,856,1,"1,759","22,149"
