County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,041","1,906","2,032",8,"4,987",66,61,157,0,284,"5,271"
Adams,608,965,"1,165",3,"2,741",27,29,100,0,156,"2,897"
Allamakee,"2,132","4,196","3,192",10,"9,530",102,122,192,0,416,"9,946"
Appanoose,"2,437","2,793","3,007",7,"8,244",212,179,364,0,755,"8,999"
Audubon,"1,228","1,540","1,393",8,"4,169",41,51,106,0,198,"4,367"
Benton,"4,295","4,979","7,491",33,"16,798",261,191,561,3,"1,016","17,814"
Black Hawk,"28,502","20,284","31,471",334,"80,591","1,793",971,"2,226",31,"5,021","85,612"
Boone,"5,129","5,447","7,035",49,"17,660",220,252,490,2,964,"18,624"
Bremer,"3,608","4,960","7,451",38,"16,057",193,191,467,4,855,"16,912"
Buchanan,"3,662","3,063","6,410",16,"13,151",179,126,425,0,730,"13,881"
Buena Vista,"2,872","3,994","4,704",19,"11,589",119,144,196,1,460,"12,049"
Butler,"1,676","4,462","3,471",12,"9,621",81,94,180,0,355,"9,976"
Calhoun,"1,337","2,349","2,643",14,"6,343",83,94,207,3,387,"6,730"
Carroll,"3,887","3,875","6,142",47,"13,951",201,191,552,3,947,"14,898"
Cass,"1,525","4,693","3,001",13,"9,232",107,221,300,0,628,"9,860"
Cedar,"3,076","3,657","4,641",28,"11,402",150,126,284,2,562,"11,964"
Cerro Gordo,"8,996","7,900","12,450",50,"29,396",550,371,"1,043",2,"1,966","31,362"
Cherokee,"1,824","3,156","3,010",18,"8,008",135,166,353,2,656,"8,664"
Chickasaw,"2,656","2,183","3,551",12,"8,402",133,107,280,1,521,"8,923"
Clarke,"1,506","1,769","2,225",10,"5,510",110,122,254,1,487,"5,997"
Clay,"2,353","4,464","4,204",13,"11,034",235,249,439,0,923,"11,957"
Clayton,"3,305","3,286","4,784",23,"11,398",123,109,226,2,460,"11,858"
Clinton,"10,025","7,195","13,163",47,"30,430","1,214",520,"1,693",6,"3,433","33,863"
Crawford,"2,582","3,119","3,460",7,"9,168",121,92,223,0,436,"9,604"
Dallas,"10,215","16,852","19,293",142,"46,502",940,"1,447","2,225",11,"4,623","51,125"
Davis,"1,814","1,508","1,432",3,"4,757",111,64,157,1,333,"5,090"
Decatur,"1,395","1,556","1,489",10,"4,450",56,40,63,0,159,"4,609"
Delaware,"2,485","3,790","4,993",4,"11,272",77,96,171,0,344,"11,616"
Des Moines,"10,898","5,973","8,675",55,"25,601",704,404,860,5,"1,973","27,574"
Dickinson,"2,349","5,066","4,484",25,"11,924",125,196,280,3,604,"12,528"
Dubuque,"24,835","15,022","22,674",192,"62,723","1,386",836,"1,686",19,"3,927","66,650"
Emmet,"1,902","1,626","2,824",8,"6,360",216,150,485,1,852,"7,212"
Fayette,"3,510","3,917","4,218",34,"11,679",191,120,279,3,593,"12,272"
Floyd,"3,069","2,584","4,745",12,"10,410",153,102,284,3,542,"10,952"
Franklin,"1,249","3,046","2,300",7,"6,602",49,61,151,1,262,"6,864"
