County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,030","1,917","1,966",10,"4,923",78,79,174,0,331,"5,254"
Adams,594,968,"1,146",3,"2,711",37,40,120,0,197,"2,908"
Allamakee,"2,075","4,271","2,994",14,"9,354",137,145,283,0,565,"9,919"
Appanoose,"2,366","2,904","2,878",12,"8,160",226,205,414,1,846,"9,006"
Audubon,965,"2,083","1,164",11,"4,223",41,58,115,0,214,"4,437"
Benton,"4,092","5,910","6,826",44,"16,872",287,234,636,3,"1,160","18,032"
Black Hawk,"29,728","21,104","29,192",386,"80,410","2,193","1,197","2,761",44,"6,195","86,605"
Boone,"5,237","5,759","6,629",58,"17,683",290,338,690,3,"1,321","19,004"
Bremer,"3,864","5,195","7,037",39,"16,135",237,244,578,11,"1,070","17,205"
Buchanan,"3,668","3,244","6,253",15,"13,180",171,144,520,1,836,"14,016"
Buena Vista,"2,981","4,124","4,384",26,"11,515",195,212,312,2,721,"12,236"
Butler,"1,721","4,493","3,348",10,"9,572",99,113,225,1,438,"10,010"
Calhoun,"1,300","2,524","2,455",9,"6,288",103,105,238,4,450,"6,738"
Carroll,"3,813","4,146","5,904",45,"13,908",240,211,587,4,"1,042","14,950"
Cass,"1,508","4,814","2,832",15,"9,169",125,269,361,0,755,"9,924"
Cedar,"3,133","3,794","4,410",31,"11,368",177,153,333,3,666,"12,034"
Cerro Gordo,"8,989","8,368","11,943",52,"29,352",672,422,"1,244",5,"2,343","31,695"
Cherokee,"1,543","3,764","2,620",16,"7,943",147,185,389,3,724,"8,667"
Chickasaw,"2,615","2,461","3,329",13,"8,418",133,122,327,1,583,"9,001"
Clarke,"1,525","1,814","2,107",10,"5,456",119,132,298,1,550,"6,006"
Clay,"1,910","5,839","3,291",20,"11,060",259,296,528,0,"1,083","12,143"
Clayton,"3,508","3,478","4,443",29,"11,458",153,137,310,2,602,"12,060"
Clinton,"10,100","7,660","12,908",69,"30,737","1,069",428,"1,462",6,"2,965","33,702"
Crawford,"2,472","3,248","3,318",9,"9,047",195,183,378,2,758,"9,805"
Dallas,"11,662","18,985","18,758",171,"49,576","1,106","1,644","2,621",16,"5,387","54,963"
Davis,"1,721","1,682","1,339",5,"4,747",123,84,193,1,401,"5,148"
Decatur,"1,425","1,766","1,316",11,"4,518",70,56,100,1,227,"4,745"
Delaware,"2,391","4,421","4,415",16,"11,243",88,114,217,0,419,"11,662"
Des Moines,"10,653","6,579","8,478",75,"25,785",848,447,"1,031",8,"2,334","28,119"
Dickinson,"2,432","5,408","4,433",26,"12,299",162,238,331,6,737,"13,036"
