County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,024","1,894","2,011",9,"4,938",69,70,172,0,311,"5,249"
Adams,600,955,"1,165",3,"2,723",30,32,108,0,170,"2,893"
Allamakee,"2,088","4,139","3,122",11,"9,360",130,135,256,0,521,"9,881"
Appanoose,"2,390","2,771","2,982",9,"8,152",226,192,400,0,818,"8,970"
Audubon,"1,212","1,523","1,403",10,"4,148",46,54,108,0,208,"4,356"
Benton,"4,245","4,957","7,448",36,"16,686",283,201,617,3,"1,104","17,790"
Black Hawk,"28,080","20,116","31,105",362,"79,663","2,019","1,033","2,528",38,"5,618","85,281"
Boone,"5,065","5,385","7,012",55,"17,517",255,277,602,3,"1,137","18,654"
Bremer,"3,565","4,915","7,480",43,"16,003",212,192,494,4,902,"16,905"
Buchanan,"3,625","3,050","6,402",17,"13,094",186,132,460,1,779,"13,873"
Buena Vista,"2,835","3,926","4,658",20,"11,439",171,181,257,2,611,"12,050"
Butler,"1,650","4,422","3,478",12,"9,562",90,103,198,0,391,"9,953"
Calhoun,"1,317","2,340","2,639",13,"6,309",91,92,217,3,403,"6,712"
Carroll,"3,838","3,842","6,155",47,"13,882",212,204,558,4,978,"14,860"
Cass,"1,497","4,648","2,993",13,"9,151",113,241,338,0,692,"9,843"
Cedar,"3,021","3,641","4,629",31,"11,322",179,137,305,2,623,"11,945"
Cerro Gordo,"8,867","7,796","12,370",52,"29,085",612,413,"1,183",3,"2,211","31,296"
Cherokee,"1,794","3,139","2,980",18,"7,931",138,174,380,2,694,"8,625"
Chickasaw,"2,642","2,177","3,572",13,"8,404",132,110,297,1,540,"8,944"
Clarke,"1,499","1,756","2,194",10,"5,459",106,123,281,1,511,"5,970"
Clay,"2,310","4,418","4,160",14,"10,902",245,269,492,0,"1,006","11,908"
Clayton,"3,268","3,269","4,783",26,"11,346",142,118,272,2,534,"11,880"
Clinton,"9,887","7,151","13,146",51,"30,235","1,248",515,"1,757",6,"3,526","33,761"
Crawford,"2,542","3,091","3,435",7,"9,075",147,110,265,0,522,"9,597"
Dallas,"10,183","16,929","19,627",157,"46,896",934,"1,416","2,258",10,"4,618","51,514"
Davis,"1,792","1,493","1,426",3,"4,714",114,75,182,1,372,"5,086"
Decatur,"1,358","1,533","1,475",10,"4,376",68,48,83,0,199,"4,575"
