County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,999,"2,010",25,"1,999",5,"5,038",59,59,2,148,0,268,"5,306"
Adams,571,"1,002",6,"1,112",1,"2,692",45,50,1,124,0,220,"2,912"
Allamakee,"2,125","4,106",29,"3,075",10,"9,345",156,158,4,359,0,677,"10,022"
Appanoose,"2,225","2,971",27,"2,874",8,"8,105",174,179,3,390,0,746,"8,851"
Audubon,970,"1,939",20,"1,225",2,"4,156",38,47,0,81,0,166,"4,322"
Benton,"3,987","5,742",82,"7,352",16,"17,179",193,204,7,449,2,855,"18,034"
Black Hawk,"30,130","21,078",674,"30,164",161,"82,207","2,432","1,428",45,"3,087",18,"7,010","89,217"
Boone,"5,293","5,841",145,"7,027",21,"18,327",274,328,11,643,0,"1,256","19,583"
Bremer,"3,985","5,138",96,"7,283",9,"16,511",246,223,5,564,3,"1,041","17,552"
Buchanan,"3,531","3,222",47,"6,418",5,"13,223",153,105,4,487,0,749,"13,972"
Buena Vista,"2,903","4,103",46,"4,328",23,"11,403",324,237,3,506,0,"1,070","12,473"
Butler,"1,710","4,525",41,"3,404",6,"9,686",77,120,0,216,0,413,"10,099"
Calhoun,"1,297","2,522",32,"2,532",7,"6,390",57,76,2,135,2,272,"6,662"
Carroll,"3,611","4,300",61,"5,897",17,"13,886",133,122,7,267,0,529,"14,415"
Cass,"1,481","4,656",31,"2,890",8,"9,066",104,217,0,319,0,640,"9,706"
Cedar,"3,186","3,836",59,"4,824",15,"11,920",119,134,5,238,2,498,"12,418"
Cerro Gordo,"8,686","8,108",93,"12,758",24,"29,669",461,375,3,970,4,"1,813","31,482"
Cherokee,"1,495","3,711",37,"2,708",7,"7,958",68,100,1,225,0,394,"8,352"
Chickasaw,"2,409","2,389",19,"3,316",11,"8,144",101,114,2,279,0,496,"8,640"
