County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,058","1,947","2,008",6,"5,019",113,114,283,0,510,"5,529"
Adams,627,981,"1,163",4,"2,775",46,48,181,0,275,"3,050"
Allamakee,"2,174","4,249","3,148",9,"9,580",131,148,304,0,583,"10,163"
Appanoose,"2,454","2,808","3,026",5,"8,293",261,225,455,0,941,"9,234"
Audubon,"1,243","1,561","1,406",4,"4,214",74,82,179,0,335,"4,549"
Benton,"4,383","5,005","7,512",30,"16,930",304,229,630,2,"1,165","18,095"
Black Hawk,"29,202","20,605","31,850",288,"81,945","2,544","1,304","3,495",31,"7,374","89,319"
Boone,"5,179","5,489","6,955",42,"17,665",276,322,660,1,"1,259","18,924"
Bremer,"3,664","5,006","7,460",29,"16,159",388,292,788,3,"1,471","17,630"
Buchanan,"3,755","3,104","6,347",15,"13,221",229,160,554,0,943,"14,164"
Buena Vista,"2,926","4,069","4,699",15,"11,709",226,177,345,2,750,"12,459"
Butler,"1,712","4,523","3,455",12,"9,702",123,139,271,0,533,"10,235"
Calhoun,"1,352","2,331","2,621",13,"6,317",147,156,421,3,727,"7,044"
Carroll,"3,956","3,906","6,154",44,"14,060",243,217,609,1,"1,070","15,130"
Cass,"1,543","4,763","3,013",10,"9,329",158,318,503,1,980,"10,309"
Cedar,"3,115","3,689","4,578",23,"11,405",236,153,450,0,839,"12,244"
Cerro Gordo,"9,191","7,995","12,476",38,"29,700",687,499,"1,312",1,"2,499","32,199"
Cherokee,"1,887","3,200","3,024",15,"8,126",123,153,349,2,627,"8,753"
Chickasaw,"2,723","2,213","3,546",9,"8,491",142,118,345,0,605,"9,096"
Clarke,"1,543","1,795","2,187",9,"5,534",142,134,342,1,619,"6,153"
Clay,"2,392","4,490","4,206",12,"11,100",269,293,524,0,"1,086","12,186"
Clayton,"3,333","3,283","4,730",20,"11,366",231,197,498,2,928,"12,294"
Clinton,"10,186","7,293","13,055",37,"30,571","1,251",548,"1,746",6,"3,551","34,122"
Crawford,"2,607","3,150","3,437",7,"9,201",222,152,404,1,779,"9,980"
Dallas,"10,313","16,841","18,963",120,"46,237","1,373","1,803","3,280",6,"6,462","52,699"
Davis,"1,885","1,519","1,414",3,"4,821",141,82,216,1,440,"5,261"
Decatur,"1,511","1,617","1,567",9,"4,704",320,234,554,4,"1,112","5,816"
Delaware,"2,532","3,838","4,981",4,"11,355",146,147,393,0,686,"12,041"
Des Moines,"11,066","6,044","8,638",47,"25,795",945,442,"1,084",3,"2,474","28,269"
Dickinson,"2,389","5,148","4,478",22,"12,037",139,202,305,2,648,"12,685"
Dubuque,"25,041","15,015","22,545",169,"62,770","1,800","1,030","2,218",18,"5,066","67,836"
Emmet,"1,956","1,632","2,832",8,"6,428",229,157,537,1,924,"7,352"
Fayette,"3,584","3,965","4,195",30,"11,774",216,117,304,1,638,"12,412"
Floyd,"3,143","2,600","4,770",11,"10,524",168,125,306,3,602,"11,126"
Franklin,"1,264","3,107","2,304",5,"6,680",92,106,260,1,459,"7,139"
Fremont,"1,151","2,008","1,619",5,"4,783",182,302,416,1,901,"5,684"
Greene,"1,828","2,119","2,297",10,"6,254",120,130,280,2,532,"6,786"
Grundy,"1,420","4,038","3,007",13,"8,478",69,151,252,3,475,"8,953"
Guthrie,"1,776","2,687","2,853",20,"7,336",129,157,312,1,599,"7,935"
Hamilton,"2,567","3,519","3,807",15,"9,908",207,224,497,1,929,"10,837"
Hancock,"1,490","3,245","2,797",5,"7,537",117,139,257,1,514,"8,051"
Hardin,"2,516","4,613","3,859",15,"11,003",313,269,578,0,"1,160","12,163"
Harrison,"2,093","3,596","2,247",24,"7,960",34,31,37,0,102,"8,062"
Henry,"2,790","5,187","4,911",18,"12,906",334,287,596,2,"1,219","14,125"
Howard,"1,795","1,423","2,564",4,"5,786",111,78,265,0,454,"6,240"
Humboldt,"1,295","2,629","2,410",2,"6,336",118,131,337,1,587,"6,923"
Ida,852,"2,185","1,789",8,"4,834",57,120,200,0,377,"5,211"
Iowa,"2,652","3,823","4,797",13,"11,285",179,205,424,1,809,"12,094"
Jackson,"5,365","2,822","5,583",16,"13,786",370,172,645,2,"1,189","14,975"
Jasper,"8,194","7,076","8,110",31,"23,411",991,716,"1,557",3,"3,267","26,678"
Jefferson,"3,385","3,418","3,343",65,"10,211",418,286,747,9,"1,460","11,671"
Johnson,"39,000","18,405","31,951",540,"89,896","7,931","3,593","8,688",108,"20,320","110,216"
Jones,"3,336","3,700","5,848",17,"12,901",188,155,472,0,815,"13,716"
Keokuk,"2,085","2,296","2,313",3,"6,697",158,101,285,1,545,"7,242"
Kossuth,"3,307","3,383","4,252",10,"10,952",168,146,467,1,782,"11,734"
Lee,"9,671","4,033","8,090",43,"21,837",717,328,"1,009",1,"2,055","23,892"
Linn,"45,500","35,928","48,045",475,"129,948","8,580","4,731","9,943",106,"23,360","153,308"
Louisa,"1,684","2,383","2,461",8,"6,536",254,142,484,0,880,"7,416"
Lucas,"1,353","2,227","1,970",3,"5,553",124,132,285,0,541,"6,094"
Lyon,858,"5,406","1,668",3,"7,935",109,217,260,0,586,"8,521"
Madison,"2,757","3,932","3,735",18,"10,442",215,253,459,0,927,"11,369"
Mahaska,"2,972","5,921","4,908",32,"13,833",395,409,778,3,"1,585","15,418"
Marion,"5,299","9,144","7,574",32,"22,049",711,732,"1,218",2,"2,663","24,712"
Marshall,"7,120","7,468","9,069",25,"23,682",717,571,"1,136",3,"2,427","26,109"
Mills,"1,886","4,823","3,011",25,"9,745",205,304,463,1,973,"10,718"
Mitchell,"1,750","2,466","2,707",11,"6,934",111,104,198,0,413,"7,347"
Monona,"1,942","1,866","2,340",7,"6,155",142,142,221,1,506,"6,661"
Monroe,"1,652","1,502","1,540",7,"4,701",97,71,144,2,314,"5,015"
Montgomery,998,"3,739","2,057",6,"6,800",155,289,417,0,861,"7,661"
Muscatine,"7,590","8,024","10,454",40,"26,108",833,768,"1,498",1,"3,100","29,208"
O'Brien,"1,304","5,334","2,675",12,"9,325",163,271,442,0,876,"10,201"
Osceola,500,"2,532","1,070",4,"4,106",61,143,240,0,444,"4,550"
Page,"1,526","4,234","3,328",11,"9,099",241,351,748,4,"1,344","10,443"
Palo Alto,"2,272","1,581","2,141",8,"6,002",191,120,330,0,641,"6,643"
Plymouth,"3,107","7,748","5,461",26,"16,342",307,435,648,3,"1,393","17,735"
Pocahontas,"1,067","1,688","2,239",17,"5,011",99,116,320,0,535,"5,546"
Polk,"102,106","81,739","82,738","1,061","267,644","5,798","3,823","6,269",68,"15,958","283,602"
Pottawattamie,"15,549","20,746","19,150",171,"55,616","2,050","1,521","2,778",18,"6,367","61,983"
Poweshiek,"3,670","3,689","5,198",37,"12,594","1,194",153,676,4,"2,027","14,621"
Ringgold,869,"1,472",726,2,"3,069",30,37,57,0,124,"3,193"
Sac,"1,310","3,077","2,521",4,"6,912",128,189,396,0,713,"7,625"
Scott,"34,994","30,651","45,481",347,"111,473","5,013","2,977","7,643",29,"15,662","127,135"
Shelby,"1,796","3,587","2,579",8,"7,970",272,247,621,0,"1,140","9,110"
Sioux,"1,636","14,433","3,964",21,"20,054",128,516,410,2,"1,056","21,110"
Story,"15,871","15,796","21,434",315,"53,416","3,465","2,387","5,247",91,"11,190","64,606"
Tama,"3,228","3,309","4,621",11,"11,169",245,171,591,0,"1,007","12,176"
Taylor,726,"1,855","1,203",7,"3,791",94,123,271,1,489,"4,280"
Union,"1,690","2,766","3,149",11,"7,616",87,95,222,0,404,"8,020"
Van Buren,"1,003","2,146","1,524",10,"4,683",81,141,222,0,444,"5,127"
Wapello,"8,942","5,052","6,979",36,"21,009",770,396,873,4,"2,043","23,052"
Warren,"9,449","10,761","10,932",57,"31,199",677,649,"1,141",6,"2,473","33,672"
Washington,"2,929","5,630","5,172",40,"13,771",209,267,509,4,989,"14,760"
Wayne,974,"1,351","1,134",3,"3,462",95,93,151,0,339,"3,801"
Webster,"8,469","6,452","8,367",40,"23,328",769,516,"1,180",5,"2,470","25,798"
Winnebago,"1,544","2,921","2,789",5,"7,259",156,145,337,0,638,"7,897"
Winneshiek,"3,535","4,364","5,243",21,"13,163",838,304,904,7,"2,053","15,216"
Woodbury,"18,215","18,866","18,724",137,"55,942","1,949","1,383","2,500",13,"5,845","61,787"
Worth,"1,471","1,723","2,029",3,"5,226",134,88,248,1,471,"5,697"
Wright,"1,869","3,457","2,655",12,"7,993",137,191,321,0,649,"8,642"
Totals,"600,439","618,775","703,955","5,130","1,928,299","65,075","45,057","97,225",614,"207,971","2,136,270"
