County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,964,"1,934",14,"2,071",5,"4,988",46,44,1,123,0,214,"5,202"
Adams,564,961,7,"1,176",1,"2,709",39,39,0,120,0,198,"2,907"
Allamakee,"2,025","4,174",21,"3,002",6,"9,228",149,147,2,334,0,632,"9,860"
Appanoose,"2,212","2,915",18,"2,952",9,"8,106",172,140,1,355,0,668,"8,774"
Audubon,928,"1,991",11,"1,237",5,"4,172",40,54,0,84,0,178,"4,350"
Benton,"3,923","5,889",63,"7,348",17,"17,240",166,180,4,418,0,768,"18,008"
Black Hawk,"29,290","21,401",414,"30,431",167,"81,703","2,119","1,154",45,"2,689",16,"6,023","87,726"
Boone,"5,171","5,843",81,"7,095",25,"18,215",237,274,5,559,0,"1,075","19,290"
Bremer,"3,795","5,236",57,"7,391",13,"16,492",213,186,6,495,1,901,"17,393"
Buchanan,"3,463","3,258",32,"6,459",5,"13,217",139,95,1,420,1,656,"13,873"
Buena Vista,"2,897","4,094",36,"4,406",21,"11,454",282,213,3,474,0,972,"12,426"
Butler,"1,671","4,496",24,"3,485",7,"9,683",71,100,0,188,0,359,"10,042"
Calhoun,"1,262","2,536",16,"2,665",6,"6,485",48,56,1,107,2,214,"6,699"
Carroll,"3,632","4,255",51,"5,960",16,"13,914",117,113,5,246,0,481,"14,395"
Cass,"1,434","4,710",24,"2,917",8,"9,093",99,202,2,299,0,602,"9,695"
Cedar,"3,041","3,881",50,"4,814",13,"11,799",114,116,5,227,1,463,"12,262"
Cerro Gordo,"8,611","8,228",62,"12,646",19,"29,566",411,291,2,810,3,"1,517","31,083"
Cherokee,"1,521","3,665",19,"2,729",5,"7,939",69,90,0,202,0,361,"8,300"
Chickasaw,"2,418","2,414",16,"3,343",9,"8,200",106,108,2,271,0,487,"8,687"
Clarke,"1,503","1,859",18,"2,249",5,"5,634",58,62,2,178,0,300,"5,934"
Clay,"1,869","5,610",35,"3,503",4,"11,021",144,207,0,364,1,716,"11,737"
Clayton,"3,290","3,543",35,"4,619",6,"11,493",164,128,0,274,1,567,"12,060"
Clinton,"9,650","7,657",72,"13,664",44,"31,087",602,266,8,947,3,"1,826","32,913"
Crawford,"2,462","3,268",18,"3,720",7,"9,475",132,136,2,253,0,523,"9,998"
Dallas,"12,671","19,887",298,"21,678",54,"54,588",698,"1,027",11,"1,654",4,"3,394","57,982"
Davis,"1,654","1,750",7,"1,449",3,"4,863",76,72,0,127,1,276,"5,139"
Decatur,"1,332","1,760",22,"1,399",5,"4,518",147,96,3,173,1,420,"4,938"
Delaware,"2,272","4,386",28,"4,723",7,"11,416",95,94,2,206,1,398,"11,814"
Des Moines,"10,280","6,630",109,"8,974",40,"26,033",731,351,8,896,4,"1,990","28,023"
Dickinson,"2,365","5,522",50,"4,678",9,"12,624",154,228,1,350,2,735,"13,359"
Dubuque,"25,252","16,292",282,"22,297",90,"64,213","1,441",793,19,"1,717",13,"3,983","68,196"
Emmet,"1,723","1,828",15,"2,769",2,"6,337",105,97,0,277,1,480,"6,817"
Fayette,"3,336","4,099",39,"4,316",13,"11,803",146,73,2,212,2,435,"12,238"
Floyd,"2,896","2,702",26,"4,752",10,"10,386",207,106,5,339,1,658,"11,044"
Franklin,"1,172","3,110",15,"2,106",3,"6,406",62,88,0,161,1,312,"6,718"
Fremont,993,"2,231",12,"1,480",7,"4,723",71,88,0,154,0,313,"5,036"
Greene,"1,578","2,415",26,"2,178",5,"6,202",65,70,3,160,0,298,"6,500"
Grundy,"1,364","4,042",20,"3,168",5,"8,599",56,106,3,182,2,349,"8,948"
Guthrie,"1,581","2,745",32,"2,954",3,"7,315",68,101,1,203,0,373,"7,688"
Hamilton,"2,275","3,985",30,"3,464",10,"9,764",101,110,3,263,0,477,"10,241"
Hancock,"1,431","3,289",10,"2,777",7,"7,514",57,79,2,212,0,350,"7,864"
Hardin,"2,454","4,672",40,"3,940",10,"11,116",118,160,3,261,1,543,"11,659"
Harrison,"2,063","3,784",36,"2,688",14,"8,585",29,44,1,73,1,148,"8,733"
Henry,"2,582","5,003",46,"4,884",9,"12,524",277,255,2,589,1,"1,124","13,648"
Howard,"1,683","1,456",13,"2,703",1,"5,856",80,50,0,186,0,316,"6,172"
Humboldt,"1,184","2,642",13,"2,451",3,"6,293",62,84,2,160,0,308,"6,601"
Ida,767,"2,221",14,"1,702",3,"4,707",28,56,0,107,0,191,"4,898"
Iowa,"2,557","3,929",43,"4,921",6,"11,456",108,136,0,278,0,522,"11,978"
Jackson,"4,824","3,144",27,"5,791",8,"13,794",211,123,2,416,1,753,"14,547"
Jasper,"8,179","7,362",70,"8,880",19,"24,510",287,229,2,519,1,"1,038","25,548"
Jefferson,"3,888","3,313",51,"3,050",47,"10,349",274,129,7,343,8,761,"11,110"
Johnson,"42,197","18,774",641,"29,911",220,"91,743","5,936","2,786",101,"6,636",54,"15,513","107,256"
Jones,"3,099","3,775",22,"6,103",7,"13,006",109,87,2,329,1,528,"13,534"
Keokuk,"1,815","2,375",15,"2,270",4,"6,479",113,77,0,166,0,356,"6,835"
Kossuth,"2,943","3,505",21,"4,353",9,"10,831",125,134,1,311,0,571,"11,402"
Lee,"8,932","4,436",85,"8,061",23,"21,537",561,275,11,927,2,"1,776","23,313"
Linn,"49,930","38,607","1,041","51,904",324,"141,806","2,854","1,590",65,"3,579",23,"8,111","149,917"
Louisa,"1,611","2,472",15,"2,657",5,"6,760",95,84,1,204,1,385,"7,145"
Lucas,"1,233","2,290",13,"2,007",2,"5,545",59,102,0,169,1,331,"5,876"
Lyon,841,"5,450",12,"1,667",2,"7,972",84,182,2,179,0,447,"8,419"
Madison,"2,591","4,325",39,"3,818",10,"10,783",128,194,2,300,1,625,"11,408"
Mahaska,"2,432","6,845",58,"4,365",14,"13,714",270,255,4,484,0,"1,013","14,727"
Marion,"5,130","9,459",71,"7,800",20,"22,480",288,422,7,600,0,"1,317","23,797"
Marshall,"6,928","7,401",69,"8,921",24,"23,343",381,270,5,666,0,"1,322","24,665"
Mills,"1,945","5,023",62,"3,081",18,"10,129",18,22,1,27,1,69,"10,198"
Mitchell,"1,614","2,526",8,"2,775",5,"6,928",66,73,1,144,0,284,"7,212"
Monona,"1,675","2,040",16,"2,224",7,"5,962",60,62,1,111,0,234,"6,196"
Monroe,"1,482","1,705",10,"1,592",0,"4,789",61,53,1,102,1,218,"5,007"
Montgomery,"1,003","3,584",14,"2,246",7,"6,854",62,116,1,179,0,358,"7,212"
Muscatine,"7,800","8,048",83,"10,362",44,"26,337",544,394,5,936,0,"1,879","28,216"
O'Brien,"1,137","5,711",27,"2,379",9,"9,263",92,163,3,197,1,456,"9,719"
Osceola,454,"2,506",3,"1,139",5,"4,107",18,56,0,70,1,145,"4,252"
Page,"1,438","5,114",25,"2,821",11,"9,409",114,199,5,312,0,630,"10,039"
Palo Alto,"1,948","1,781",15,"2,303",4,"6,051",75,32,0,101,0,208,"6,259"
Plymouth,"2,998","8,336",56,"5,394",25,"16,809",155,274,2,321,0,752,"17,561"
Pocahontas,920,"2,031",16,"1,898",4,"4,869",57,60,2,159,0,278,"5,147"
Polk,"109,114","84,928","2,040","87,828",542,"284,452","6,383","3,913",136,"6,363",35,"16,830","301,282"
Pottawattamie,"15,148","21,001",397,"19,839",116,"56,501","2,158","1,936",41,"3,344",16,"7,495","63,996"
Poweshiek,"3,978","3,720",42,"4,870",11,"12,621",691,129,8,622,4,"1,454","14,075"
Ringgold,813,"1,521",6,778,0,"3,118",36,34,0,53,0,123,"3,241"
Sac,"1,233","3,117",13,"2,463",5,"6,831",59,93,0,189,0,341,"7,172"
Scott,"35,314","31,855",637,"46,771",191,"114,768","3,176","2,110",65,"4,689",19,"10,059","124,827"
Shelby,"1,706","3,606",21,"2,697",3,"8,033",63,98,2,128,1,292,"8,325"
Sioux,"1,695","15,419",47,"4,085",17,"21,263",109,397,6,278,2,792,"22,055"
Story,"18,901","17,912",556,"23,199",163,"60,731","2,144","1,553",70,"3,191",22,"6,980","67,711"
Tama,"2,995","3,368",27,"4,801",8,"11,199",145,85,1,302,0,533,"11,732"
Taylor,663,"1,875",21,"1,248",0,"3,807",27,50,1,70,0,148,"3,955"
Union,"1,628","2,699",21,"3,312",5,"7,665",88,113,0,298,0,499,"8,164"
Van Buren,944,"2,059",13,"1,629",9,"4,654",47,58,4,107,1,217,"4,871"
Wapello,"7,996","5,394",65,"6,933",37,"20,425",561,265,3,790,0,"1,619","22,044"
Warren,"9,428","11,564",150,"11,828",26,"32,996",458,513,7,834,3,"1,815","34,811"
Washington,"2,924","6,081",68,"5,107",26,"14,206",137,188,4,363,1,693,"14,899"
Wayne,903,"1,434",10,"1,243",2,"3,592",31,47,1,56,0,135,"3,727"
Webster,"7,597","6,820",84,"8,671",45,"23,217",492,309,3,833,1,"1,638","24,855"
Winnebago,"1,480","2,815",20,"2,980",7,"7,302",138,112,1,274,0,525,"7,827"
Winneshiek,"3,941","4,397",27,"5,260",21,"13,646",270,133,3,436,3,845,"14,491"
Woodbury,"17,501","20,147",219,"19,271",79,"57,217","1,428","1,079",21,"1,900",8,"4,436","61,653"
Worth,"1,323","1,953",5,"2,042",1,"5,324",103,77,2,215,0,397,"5,721"
Wright,"1,791","3,390",23,"2,645",8,"7,857",100,116,2,207,1,426,"8,283"
Totals,"605,064","653,211","9,517","717,605","2,941","1,988,338","42,660","30,616",783,"63,406",279,"137,744","2,126,082"
