County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,978,"1,989","2,064",30,"5,061",47,75,139,2,263,"5,324"
Adams,533,990,"1,091",8,"2,622",38,40,102,2,182,"2,804"
Allamakee,"2,051","4,028","3,019",40,"9,138",142,148,333,3,626,"9,764"
Appanoose,"2,143","2,953","2,844",39,"7,979",166,180,401,4,751,"8,730"
Audubon,939,"1,885","1,205",18,"4,047",33,55,93,0,181,"4,228"
Benton,"3,889","5,674","7,332",105,"17,000",172,192,407,8,779,"17,779"
Black Hawk,"29,572","20,646","30,454",807,"81,479","2,300","1,388","2,993",76,"6,757","88,236"
Boone,"5,073","5,753","7,145",165,"18,136",256,280,622,12,"1,170","19,306"
Bremer,"3,939","5,089","7,441",105,"16,574",223,215,552,11,"1,001","17,575"
Buchanan,"3,399","3,169","6,452",49,"13,069",149,95,452,5,701,"13,770"
Buena Vista,"2,880","4,054","4,282",81,"11,297",305,240,509,2,"1,056","12,353"
Butler,"1,664","4,419","3,432",53,"9,568",68,113,203,2,386,"9,954"
Calhoun,"1,257","2,494","2,556",46,"6,353",50,77,122,4,253,"6,606"
Carroll,"3,481","4,313","5,988",83,"13,865",124,133,244,7,508,"14,373"
Cass,"1,443","4,579","2,902",39,"8,963",108,255,343,3,709,"9,672"
Cedar,"3,094","3,751","4,847",74,"11,766",126,152,260,14,552,"12,318"
Cerro Gordo,"8,332","7,881","12,666",126,"29,005",432,372,982,8,"1,794","30,799"
Cherokee,"1,439","3,580","2,676",44,"7,739",71,104,245,2,422,"8,161"
Chickasaw,"2,308","2,404","3,309",27,"8,048",102,104,258,4,468,"8,516"
Clarke,"1,425","1,959","2,172",32,"5,588",69,84,194,5,352,"5,940"
Clay,"1,934","5,341","3,630",54,"10,959",135,241,370,6,752,"11,711"
Clayton,"3,118","3,646","4,646",53,"11,463",129,131,207,4,471,"11,934"
Clinton,"9,179","7,725","13,804",149,"30,857",667,341,"1,192",16,"2,216","33,073"
Crawford,"2,414","3,251","3,643",36,"9,344",87,100,239,2,428,"9,772"
Dallas,"14,507","20,012","23,137",521,"58,177",783,"1,196","1,863",47,"3,889","62,066"
Davis,"1,631","1,740","1,398",20,"4,789",74,79,129,3,285,"5,074"
Decatur,"1,248","1,750","1,367",32,"4,397",164,105,199,4,472,"4,869"
Delaware,"2,246","4,320","4,760",47,"11,373",92,115,256,6,469,"11,842"
Des Moines,"9,979","6,628","9,138",182,"25,927",656,335,860,21,"1,872","27,799"
Dickinson,"2,387","5,845","4,491",76,"12,799",160,246,418,8,832,"13,631"
Dubuque,"25,277","15,983","22,586",498,"64,344","1,635","1,014","2,110",40,"4,799","69,143"
Emmet,"1,649","1,845","2,676",27,"6,197",96,114,266,1,477,"6,674"
Fayette,"3,266","3,943","4,340",61,"11,610",197,122,292,5,616,"12,226"
Floyd,"2,738","2,653","4,763",47,"10,201",229,145,430,7,811,"11,012"
Franklin,"1,163","2,909","2,146",32,"6,250",59,94,158,0,311,"6,561"
Fremont,985,"2,314","1,363",27,"4,689",82,130,174,2,388,"5,077"
Greene,"1,602","2,311","2,179",47,"6,139",67,92,178,7,344,"6,483"
Grundy,"1,392","3,895","3,164",46,"8,497",47,122,149,4,322,"8,819"
Guthrie,"1,578","2,840","3,041",54,"7,513",63,110,213,2,388,"7,901"
Hamilton,"2,264","3,872","3,485",60,"9,681",105,116,276,2,499,"10,180"
Hancock,"1,364","3,266","2,676",34,"7,340",74,98,201,3,376,"7,716"
Hardin,"2,418","4,586","3,823",71,"10,898",145,195,269,2,611,"11,509"
Harrison,"1,970","3,718","2,540",73,"8,301",34,64,69,2,169,"8,470"
Henry,"2,596","4,974","4,899",69,"12,538",250,278,582,4,"1,114","13,652"
Howard,"1,574","1,481","2,660",24,"5,739",89,61,212,0,362,"6,101"
Humboldt,"1,159","2,673","2,346",32,"6,210",63,96,161,1,321,"6,531"
Ida,761,"2,182","1,724",24,"4,691",28,56,100,1,185,"4,876"
Iowa,"2,489","4,036","4,873",83,"11,481",133,170,295,6,604,"12,085"
Jackson,"4,715","3,102","6,112",35,"13,964",194,129,392,2,717,"14,681"
Jasper,"7,949","7,514","9,379",130,"24,972",276,231,492,3,"1,002","25,974"
Jefferson,"4,094","3,138","2,936",95,"10,263",325,134,355,11,825,"11,088"
Johnson,"44,653","17,962","32,381",927,"95,923","4,559","1,942","4,195",151,"10,847","106,770"
Jones,"2,987","3,904","6,085",42,"13,018",116,121,365,6,608,"13,626"
Keokuk,"1,719","2,384","2,264",21,"6,388",85,82,154,2,323,"6,711"
Kossuth,"2,866","3,419","4,268",40,"10,593",107,147,315,4,573,"11,166"
Lee,"8,461","4,516","8,165",142,"21,284",527,265,923,23,"1,738","23,022"
Linn,"51,657","37,554","54,546","1,657","145,414","2,404","1,595","2,900",122,"7,021","152,435"
Louisa,"1,595","2,373","2,690",34,"6,692",94,73,199,3,369,"7,061"
Lucas,"1,195","2,306","2,014",23,"5,538",72,91,162,1,326,"5,864"
Lyon,769,"5,709","1,561",19,"8,058",70,152,141,4,367,"8,425"
Madison,"2,578","4,266","3,885",84,"10,813",139,235,347,3,724,"11,537"
Mahaska,"2,370","6,880","4,339",98,"13,687",219,280,490,8,997,"14,684"
Marion,"4,942","9,625","7,755",126,"22,448",323,441,665,11,"1,440","23,888"
Marshall,"6,983","7,119","8,590",178,"22,870",444,363,851,14,"1,672","24,542"
Mills,"1,967","5,131","3,055",115,"10,268",47,81,103,3,234,"10,502"
Mitchell,"1,563","2,456","2,714",29,"6,762",64,63,142,3,272,"7,034"
