State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,3243,12791,5673,73,21780,251,558,619,15,1443,23223
State Representative District 002,4471,8354,6840,100,19765,283,459,740,11,1493,21258
State Representative District 003,2888,10799,5664,93,19444,205,376,532,8,1121,20565
State Representative District 004,1820,13842,3738,55,19455,118,537,296,13,964,20419
State Representative District 005,3742,9866,6577,108,20293,214,431,469,11,1125,21418
State Representative District 006,5263,7806,6538,129,19736,444,529,738,18,1729,21465
State Representative District 007,4893,6582,8014,81,19570,324,445,926,6,1701,21271
State Representative District 008,4239,8072,6729,88,19128,232,343,565,8,1148,20276
State Representative District 009,6049,5145,6923,142,18259,561,390,940,10,1901,20160
State Representative District 010,3820,8011,7478,113,19422,222,329,568,11,1130,20552
State Representative District 011,4208,7135,6579,105,18027,432,393,745,6,1576,19603
State Representative District 012,5004,7034,8119,114,20271,193,243,447,9,892,21163
State Representative District 013,5437,4868,5313,116,15734,661,485,920,23,2089,17823
State Representative District 014,5834,4179,4908,111,15032,633,360,679,13,1685,16717
State Representative District 015,5335,4435,6154,243,16167,687,487,912,39,2125,18292
State Representative District 016,5244,5668,6211,249,17372,751,643,1182,50,2626,19998
State Representative District 017,4075,7894,6413,129,18511,215,325,499,16,1055,19566
State Representative District 018,4312,7337,5988,75,17712,217,278,472,7,974,18686
State Representative District 019,6561,10051,10304,218,27134,246,521,769,11,1547,28681
State Representative District 020,4627,6607,7618,132,18984,229,340,654,16,1239,20223
State Representative District 021,3720,8162,7094,109,19085,285,468,908,8,1669,20754
State Representative District 022,4943,10360,7045,165,22513,328,542,626,17,1513,24026
State Representative District 023,3888,9843,5664,156,19551,298,498,612,24,1432,20983
State Representative District 024,3372,9301,5201,89,17963,229,475,646,8,1358,19321
State Representative District 025,6055,8655,8222,173,23105,337,564,766,20,1687,24792
State Representative District 026,6637,6939,7356,135,21067,422,455,738,19,1634,22701
State Representative District 027,4440,6649,5907,101,17097,364,380,687,17,1448,18545
State Representative District 028,4875,7363,7188,105,19531,260,354,571,7,1192,20723
State Representative District 029,7178,5858,7718,102,20856,318,244,549,7,1118,21974
State Representative District 030,7612,8068,8386,248,24314,241,306,450,12,1009,25323
State Representative District 031,7762,4418,5909,183,18272,356,236,365,11,968,19240
State Representative District 032,8204,2447,4742,183,15576,571,156,458,12,1197,16773
State Representative District 033,8774,3047,5314,174,17309,510,202,433,15,1160,18469
State Representative District 034,9893,3220,5497,197,18807,837,318,676,30,1861,20668
State Representative District 035,7755,1932,4023,169,13879,763,184,521,28,1496,15375
State Representative District 036,10470,3903,5627,209,20209,598,268,474,20,1360,21569
State Representative District 037,8517,10191,9915,253,28876,401,650,667,34,1752,30628
State Representative District 038,7650,7376,7716,221,22963,377,400,473,22,1272,24235
