State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,023","12,771","5,793",84,"21,671",225,437,542,12,"1,216","22,887"
State Representative District 002,"4,293","8,421","7,154",106,"19,974",250,340,634,8,"1,232","21,206"
State Representative District 003,"2,810","10,842","5,853",100,"19,605",184,318,464,6,972,"20,577"
State Representative District 004,"1,598","14,002","3,709",60,"19,369",98,398,242,14,752,"20,121"
State Representative District 005,"3,653","9,870","6,643",114,"20,280",177,374,411,9,971,"21,251"
State Representative District 006,"5,104","7,682","6,818",148,"19,752",377,436,623,11,"1,447","21,199"
State Representative District 007,"4,840","6,549","8,312",88,"19,789",255,321,744,5,"1,325","21,114"
State Representative District 008,"4,262","8,077","6,911",89,"19,339",200,275,492,7,974,"20,313"
State Representative District 009,"6,009","5,262","7,015",154,"18,440",498,307,833,6,"1,644","20,084"
State Representative District 010,"3,814","8,037","7,578",120,"19,549",212,267,496,8,983,"20,532"
State Representative District 011,"4,063","7,231","6,663",101,"18,058",379,330,688,5,"1,402","19,460"
State Representative District 012,"4,960","7,004","8,186",111,"20,261",172,208,391,10,781,"21,042"
State Representative District 013,"5,307","4,836","5,530",124,"15,797",555,428,784,22,"1,789","17,586"
State Representative District 014,"5,716","4,117","5,166",125,"15,124",545,302,592,9,"1,448","16,572"
State Representative District 015,"5,240","4,438","6,310",228,"16,216",621,411,791,38,"1,861","18,077"
State Representative District 016,"5,055","5,732","6,317",253,"17,357",660,572,"1,076",45,"2,353","19,710"
State Representative District 017,"4,112","7,899","6,537",136,"18,684",161,246,410,9,826,"19,510"
State Representative District 018,"4,255","7,234","6,127",78,"17,694",179,237,414,4,834,"18,528"
State Representative District 019,"5,987","10,236","10,415",221,"26,859",191,406,630,8,"1,235","28,094"
State Representative District 020,"4,526","6,643","7,680",140,"18,989",198,279,558,10,"1,045","20,034"
State Representative District 021,"3,612","8,256","7,166",99,"19,133",270,417,811,8,"1,506","20,639"
State Representative District 022,"4,736","10,362","7,194",169,"22,461",291,437,523,15,"1,266","23,727"
State Representative District 023,"3,759","9,956","6,027",169,"19,911",196,313,456,10,975,"20,886"
State Representative District 024,"3,227","9,112","5,550",96,"17,985",217,374,550,9,"1,150","19,135"
State Representative District 025,"5,816","8,648","8,353",182,"22,999",275,423,633,15,"1,346","24,345"
State Representative District 026,"6,408","7,047","7,604",145,"21,204",347,335,602,13,"1,297","22,501"
State Representative District 027,"4,365","6,635","6,026",100,"17,126",320,313,574,13,"1,220","18,346"
State Representative District 028,"4,837","7,446","7,245",97,"19,625",213,264,478,5,960,"20,585"
State Representative District 029,"7,097","5,836","7,844",119,"20,896",261,201,441,3,906,"21,802"
State Representative District 030,"7,288","8,142","8,362",255,"24,047",179,207,330,9,725,"24,772"
State Representative District 031,"7,601","4,495","5,935",185,"18,216",274,164,283,13,734,"18,950"
State Representative District 032,"7,870","2,508","4,788",212,"15,378",458,111,348,6,923,"16,301"
State Representative District 033,"8,345","3,131","5,405",195,"17,076",400,135,324,11,870,"17,946"
State Representative District 034,"9,351","3,372","5,808",226,"18,757",670,246,540,24,"1,480","20,237"
State Representative District 035,"7,326","1,967","4,108",193,"13,594",559,145,404,17,"1,125","14,719"
State Representative District 036,"9,824","4,153","5,994",248,"20,219",440,204,329,9,982,"21,201"
State Representative District 037,"7,760","10,425","9,993",278,"28,456",282,492,483,27,"1,284","29,740"
State Representative District 038,"7,177","7,490","7,857",233,"22,757",298,275,334,18,925,"23,682"
State Representative District 039,"7,480","9,585","9,386",262,"26,713",340,471,493,31,"1,335","28,048"
State Representative District 040,"7,170","6,921","6,335",198,"20,624",309,265,306,12,892,"21,516"
State Representative District 041,"11,699","3,952","4,903",231,"20,785",820,290,572,27,"1,709","22,494"
State Representative District 042,"7,398","6,643","6,524",244,"20,809",482,366,535,18,"1,401","22,210"
State Representative District 043,"7,815","6,628","5,948",178,"20,569",431,299,390,19,"1,139","21,708"
State Representative District 044,"7,651","10,036","11,858",288,"29,833",549,770,"1,124",35,"2,478","32,311"
State Representative District 045,"7,708","4,796","7,738",348,"20,590","1,078",650,"1,385",66,"3,179","23,769"
State Representative District 046,"7,210","5,116","8,024",268,"20,618",999,702,"1,532",66,"3,299","23,917"
State Representative District 047,"5,633","6,807","7,732",171,"20,343",262,306,673,13,"1,254","21,597"
State Representative District 048,"5,245","7,570","7,844",138,"20,797",222,257,516,13,"1,008","21,805"
State Representative District 049,"4,778","7,503","7,957",214,"20,452",229,296,433,11,969,"21,421"
State Representative District 050,"3,820","8,851","7,080",105,"19,856",156,295,387,4,842,"20,698"
State Representative District 051,"4,765","6,413","8,142",74,"19,394",221,200,545,4,970,"20,364"
State Representative District 052,"5,427","5,399","8,640",78,"19,544",328,247,691,11,"1,277","20,821"
State Representative District 053,"6,158","4,414","8,548",81,"19,201",353,246,745,8,"1,352","20,553"
State Representative District 054,"3,864","8,161","7,393",101,"19,519",175,277,489,2,943,"20,462"
State Representative District 055,"5,736","6,381","7,141",84,"19,342",399,247,624,13,"1,283","20,625"
State Representative District 056,"4,644","7,180","7,140",91,"19,055",260,258,511,7,"1,036","20,091"
State Representative District 057,"7,825","6,711","8,459",126,"23,121",197,205,402,2,806,"23,927"
State Representative District 058,"6,530","5,282","9,428",57,"21,297",255,184,550,6,995,"22,292"
State Representative District 059,"6,396","5,205","7,694",216,"19,511",629,467,"1,093",28,"2,217","21,728"
State Representative District 060,"6,722","7,088","7,891",183,"21,884",458,455,681,17,"1,611","23,495"
State Representative District 061,"6,868","3,827","6,405",180,"17,280",568,238,594,23,"1,423","18,703"
State Representative District 062,"7,994","2,441","5,705",186,"16,326",614,168,536,6,"1,324","17,650"
State Representative District 063,"4,987","6,536","9,184",135,"20,842",262,262,630,12,"1,166","22,008"
State Representative District 064,"5,040","4,596","8,387",79,"18,102",228,128,571,8,935,"19,037"
State Representative District 065,"8,905","3,890","6,205",268,"19,268",484,189,424,22,"1,119","20,387"
State Representative District 066,"7,362","5,449","7,225",222,"20,258",383,236,427,18,"1,064","21,322"
State Representative District 067,"6,629","7,116","8,525",235,"22,505",257,312,430,11,"1,010","23,515"
State Representative District 068,"7,062","6,109","8,629",263,"22,063",281,271,394,20,966,"23,029"
State Representative District 069,"7,560","4,189","7,839",266,"19,854",406,220,513,18,"1,157","21,011"
State Representative District 070,"8,147","4,640","7,564",235,"20,586",380,200,388,23,991,"21,577"
State Representative District 071,"5,482","4,683","5,996",136,"16,297",351,267,671,10,"1,299","17,596"
State Representative District 072,"4,970","6,416","8,200",109,"19,695",209,200,489,7,905,"20,600"
State Representative District 073,"6,428","6,136","8,054",135,"20,753",220,216,430,14,880,"21,633"
State Representative District 074,"10,032","3,726","6,471",187,"20,416",932,333,717,22,"2,004","22,420"
State Representative District 075,"4,575","6,713","8,668",126,"20,082",213,231,505,10,959,"21,041"
State Representative District 076,"5,753","6,702","8,614",127,"21,196",509,268,617,13,"1,407","22,603"
State Representative District 077,"8,624","5,804","9,065",209,"23,702",443,366,599,25,"1,433","25,135"
State Representative District 078,"4,566","7,472","7,093",128,"19,259",240,296,530,16,"1,082","20,341"
State Representative District 079,"3,273","10,030","6,092",126,"19,521",340,476,721,13,"1,550","21,071"
State Representative District 080,"4,990","7,182","6,466",102,"18,740",311,325,723,11,"1,370","20,110"
State Representative District 081,"6,697","4,322","5,495",80,"16,594",516,276,701,7,"1,500","18,094"
State Representative District 082,"6,348","6,308","5,721",133,"18,510",449,288,596,18,"1,351","19,861"
State Representative District 083,"7,322","3,546","6,632",126,"17,626",495,236,838,18,"1,587","19,213"
State Representative District 084,"4,185","7,123","7,180",102,"18,590",306,355,736,11,"1,408","19,998"
State Representative District 085,"12,266","3,611","7,220",251,"23,348","1,663",703,"1,484",52,"3,902","27,250"
State Representative District 086,"10,357","2,890","6,672",230,"20,149","1,457",502,"1,290",52,"3,301","23,450"
State Representative District 087,"7,879","4,216","6,562",154,"18,811",588,258,739,18,"1,603","20,414"
State Representative District 088,"5,410","6,313","7,496",96,"19,315",230,208,459,9,906,"20,221"
State Representative District 089,"6,971","4,327","8,614",168,"20,080",646,296,871,17,"1,830","21,910"
State Representative District 090,"6,979","2,725","7,463",191,"17,358","1,133",343,"1,320",33,"2,829","20,187"
State Representative District 091,"5,572","5,703","7,465",114,"18,854",407,320,731,10,"1,468","20,322"
State Representative District 092,"5,652","5,893","9,044",147,"20,736",528,345,809,17,"1,699","22,435"
State Representative District 093,"6,923","5,882","8,462",190,"21,457",705,476,"1,064",25,"2,270","23,727"
State Representative District 094,"6,264","8,610","10,328",162,"25,364",521,682,"1,011",28,"2,242","27,606"
State Representative District 095,"6,267","6,467","8,739",169,"21,642",244,191,360,10,805,"22,447"
State Representative District 096,"4,056","6,470","8,232",74,"18,832",173,195,500,9,877,"19,709"
State Representative District 097,"5,346","6,837","9,512",123,"21,818",310,365,745,3,"1,423","23,241"
State Representative District 098,"5,841","3,993","7,965",88,"17,887",631,286,"1,023",17,"1,957","19,844"
State Representative District 099,"9,149","4,960","6,910",188,"21,207",652,347,778,20,"1,797","23,004"
State Representative District 100,"7,797","3,928","6,449",176,"18,350",700,395,829,17,"1,941","20,291"
