State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,151","12,151","6,048",22,"21,372",282,502,698,1,"1,483","22,855"
State Representative District 002,"5,241","7,067","7,706",30,"20,044",458,417,912,1,"1,788","21,832"
State Representative District 003,"3,440","10,092","6,465",32,"20,029",292,456,834,2,"1,584","21,613"
State Representative District 004,"1,498","13,279","3,555",22,"18,354",112,435,356,2,905,"19,259"
State Representative District 005,"3,930","9,152","6,740",33,"19,855",324,467,726,3,"1,520","21,375"
State Representative District 006,"5,360","7,348","6,341",49,"19,098",448,410,687,2,"1,547","20,645"
State Representative District 007,"5,534","6,497","8,340",20,"20,391",488,391,"1,182",2,"2,063","22,454"
State Representative District 008,"4,609","8,158","7,184",22,"19,973",291,359,681,1,"1,332","21,305"
State Representative District 009,"6,929","4,859","6,606",37,"18,431",658,414,994,4,"2,070","20,501"
State Representative District 010,"4,276","7,553","8,181",40,"20,050",373,399,"1,096",5,"1,873","21,923"
State Representative District 011,"4,215","7,131","7,293",23,"18,662",345,341,724,2,"1,412","20,074"
State Representative District 012,"5,780","6,235","8,643",60,"20,718",343,309,861,1,"1,514","22,232"
State Representative District 013,"5,402","4,873","5,280",51,"15,606",731,426,834,5,"1,996","17,602"
State Representative District 014,"6,080","4,153","4,929",42,"15,204",642,345,733,6,"1,726","16,930"
State Representative District 015,"5,540","4,239","5,940",66,"15,785",935,460,"1,066",7,"2,468","18,253"
State Representative District 016,"5,147","5,690","6,340",78,"17,255",712,504,963,7,"2,186","19,441"
State Representative District 017,"4,810","7,537","6,729",32,"19,108",249,308,516,1,"1,074","20,182"
State Representative District 018,"4,514","7,206","5,921",28,"17,669",444,364,915,1,"1,724","19,393"
State Representative District 019,"4,850","8,775","9,061",65,"22,751",443,573,"1,153",5,"2,174","24,925"
State Representative District 020,"4,713","6,535","7,632",49,"18,929",439,411,"1,098",1,"1,949","20,878"
State Representative District 021,"3,867","8,494","7,428",23,"19,812",291,439,844,1,"1,575","21,387"
State Representative District 022,"4,625","10,287","6,710",46,"21,668",348,491,641,4,"1,484","23,152"
State Representative District 023,"3,790","9,586","6,244",36,"19,656",497,782,"1,189",2,"2,470","22,126"
State Representative District 024,"3,378","8,606","5,964",22,"17,970",373,542,"1,109",5,"2,029","19,999"
State Representative District 025,"5,719","7,884","7,657",43,"21,303",406,446,803,4,"1,659","22,962"
State Representative District 026,"6,487","6,887","7,187",39,"20,600",417,366,695,3,"1,481","22,081"
State Representative District 027,"4,903","6,231","6,336",26,"17,496",626,547,"1,238",4,"2,415","19,911"
State Representative District 028,"5,331","6,969","7,217",30,"19,547",555,472,974,1,"2,002","21,549"
State Representative District 029,"7,347","5,557","7,002",33,"19,939",809,514,"1,307",2,"2,632","22,571"
State Representative District 030,"6,637","7,253","7,068",79,"21,037",189,194,295,1,679,"21,716"
State Representative District 031,"7,452","4,493","5,591",70,"17,606",264,165,306,1,736,"18,342"
