State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,3534,14054,5265,110,22963,95,210,224,8,537,23500
State Representative District 002,4720,9369,6660,142,20891,96,194,303,5,598,21489
State Representative District 003,2999,12012,5078,112,20201,127,217,275,4,623,20824
State Representative District 004,1970,14721,3594,82,20367,55,306,148,5,514,20881
State Representative District 005,3951,11012,6142,128,21233,81,143,182,8,414,21647
State Representative District 006,5637,9115,6135,179,21066,197,209,312,9,727,21793
State Representative District 007,5146,7879,7308,116,20449,158,224,502,3,887,21336
State Representative District 008,4413,9311,6166,104,19994,82,139,189,6,416,20410
State Representative District 009,6340,5988,6581,180,19089,220,182,382,6,790,19879
State Representative District 010,3955,9251,6937,135,20278,86,110,218,6,420,20698
State Representative District 011,4400,7998,6152,108,18658,136,146,246,2,530,19188
State Representative District 012,5195,8194,7616,121,21126,70,91,164,3,328,21454
State Representative District 013,5842,5623,5203,160,16828,250,162,341,10,763,17591
State Representative District 014,6287,4833,4828,141,16089,213,119,273,7,612,16701
State Representative District 015,5839,5199,6085,302,17425,239,201,342,20,802,18227
State Representative District 016,5868,6523,6033,276,18700,221,185,327,18,751,19451
State Representative District 017,4308,9420,5914,151,19793,89,116,184,8,397,20190
State Representative District 018,4544,8571,5651,118,18884,114,150,246,5,515,19399
State Representative District 019,7676,11675,10332,279,29962,99,196,270,3,568,30530
State Representative District 020,5016,7496,7266,136,19914,79,140,263,10,492,20406
State Representative District 021,3964,9401,6546,127,20038,100,156,313,5,574,20612
State Representative District 022,5462,11585,6536,181,23764,111,207,228,4,550,24314
State Representative District 023,4072,11084,5420,203,20779,133,230,254,14,631,21410
State Representative District 024,3326,10553,4813,126,18818,106,223,308,6,643,19461
State Representative District 025,6748,10245,8174,220,25387,145,199,256,7,607,25994
State Representative District 026,7099,8192,7004,183,22478,163,171,292,8,634,23112
State Representative District 027,4548,7887,5874,140,18449,133,140,245,3,521,18970
State Representative District 028,5125,8602,6749,142,20618,97,127,186,3,413,21031
State Representative District 029,7456,6814,7276,145,21691,108,86,201,2,397,22088
State Representative District 030,8407,9210,8321,276,26214,117,137,192,5,451,26665
State Representative District 031,8295,5183,5847,222,19547,161,107,167,3,438,19985
State Representative District 032,8968,2912,4867,236,16983,260,80,243,6,589,17572
State Representative District 033,9656,3614,5505,213,18988,221,79,211,9,520,19508
State Representative District 034,10689,3861,5788,280,20618,404,126,305,17,852,21470
State Representative District 035,8301,2259,4208,220,14988,373,95,242,16,726,15714
State Representative District 036,11397,4354,5621,244,21616,273,102,209,13,597,22213
State Representative District 037,10026,11751,10326,330,32433,190,267,294,16,767,33200
State Representative District 038,8558,8496,7751,279,25084,173,173,228,6,580,25664
State Representative District 039,9856,10361,9312,268,29797,199,225,292,15,731,30528
State Representative District 040,8657,7084,5800,204,21745,165,133,198,11,507,22252
