State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,3089,13198,4483,100,20870,479,1159,1278,31,2947,23817
State Representative District 002,4148,8780,5527,128,18583,553,804,1685,39,3081,21664
State Representative District 003,2566,11181,4079,97,17923,484,964,1414,27,2889,20812
State Representative District 004,1723,13942,3177,69,18911,275,1122,768,23,2188,21099
State Representative District 005,3398,10219,5169,115,18901,536,956,1440,34,2966,21867
State Representative District 006,4904,8241,5084,145,18374,921,993,1766,44,3724,22098
State Representative District 007,4527,7342,6125,105,18099,640,733,1930,26,3329,21428
State Representative District 008,3831,8617,5211,81,17740,497,689,1380,31,2597,20337
State Representative District 009,5267,5380,4931,133,15711,1148,776,2210,56,4190,19901
State Representative District 010,3431,8665,5883,114,18093,476,696,1479,33,2684,20777
State Representative District 011,3634,7350,4714,93,15791,881,803,1829,26,3539,19330
State Representative District 012,4509,7684,6437,111,18741,558,697,1566,28,2849,21590
State Representative District 013,4670,4915,3928,119,13632,1295,791,1860,49,3995,17627
State Representative District 014,5011,4159,3533,120,12823,1353,688,1856,30,3927,16750
State Representative District 015,4500,4306,4331,224,13361,1518,1096,2368,114,5096,18457
State Representative District 016,4942,5678,4590,203,15413,1093,1048,2063,92,4296,19709
State Representative District 017,3736,8807,4987,129,17659,531,718,1263,35,2547,20206
State Representative District 018,3893,7973,4768,92,16726,678,715,1287,40,2720,19446
State Representative District 019,7285,11178,9810,249,28522,522,817,1614,40,2993,31515
State Representative District 020,4374,6965,6035,121,17495,625,685,1740,35,3085,20580
State Representative District 021,3467,8683,5373,104,17627,485,822,1865,34,3206,20833
State Representative District 022,4897,10848,5635,160,21540,614,989,1429,46,3078,24618
State Representative District 023,3495,10127,4319,169,18110,646,1206,1618,63,3533,21643
State Representative District 024,2838,9843,3978,114,16773,513,913,1394,29,2849,19622
State Representative District 025,6201,9619,7543,199,23562,619,828,1416,56,2919,26481
State Representative District 026,6387,7734,6155,158,20434,745,698,1470,41,2954,23388
State Representative District 027,3832,7247,4902,103,16084,703,733,1395,33,2864,18948
State Representative District 028,4456,8065,5813,131,18465,596,703,1428,21,2748,21213
State Representative District 029,6508,6282,6028,137,18955,890,580,1775,25,3270,22225
State Representative District 030,7693,8763,7642,241,24339,712,679,1313,52,2756,27095
State Representative District 031,7064,4656,4800,185,16705,1183,522,1421,38,3164,19869
State Representative District 032,7166,2400,3730,178,13474,1675,491,1543,54,3763,17237
State Representative District 033,7992,3159,4428,164,15743,1585,450,1459,61,3555,19298
State Representative District 034,8890,3329,4713,220,17152,1869,544,1667,82,4162,21314
State Representative District 035,6362,1766,3160,158,11446,1997,458,1434,73,3962,15408
State Representative District 036,10318,3813,4893,202,19226,1174,515,1154,51,2894,22120
State Representative District 037,9500,11138,9902,305,30845,790,1005,1426,62,3283,34128
State Representative District 038,7832,7913,7125,235,23105,819,727,1359,52,2957,26062
State Representative District 039,9282,9749,8949,247,28227,822,854,1381,44,3101,31328
State Representative District 040,7866,6506,5288,183,19843,756,554,1069,39,2418,22261
State Representative District 041,11770,3391,3950,183,19294,1757,533,1179,59,3528,22822
State Representative District 042,8026,6236,5813,187,20262,875,661,1199,73,2808,23070
State Representative District 043,8372,5945,4904,174,19395,887,588,1096,52,2623,22018
State Representative District 044,10608,11111,11212,301,33232,1053,1097,2213,82,4445,37677
State Representative District 045,8273,4378,6348,291,19290,2003,1083,2385,140,5611,24901
State Representative District 046,6920,3757,5251,163,16091,2015,1491,2882,109,6497,22588
State Representative District 047,5431,7227,6048,145,18851,661,709,1807,38,3215,22066
State Representative District 048,5214,8119,5969,147,19449,585,700,1556,34,2875,22324
State Representative District 049,5061,7738,6618,204,19621,544,697,1408,43,2692,22313
State Representative District 050,3976,9095,5269,112,18452,505,769,1513,24,2811,21263
State Representative District 051,4633,6889,6713,100,18335,548,560,1577,24,2709,21044
State Representative District 052,4986,5778,6604,98,17466,798,556,1921,31,3306,20772
State Representative District 053,6066,4493,6633,111,17303,897,503,2077,27,3504,20807
State Representative District 054,3841,8232,5807,103,17983,495,695,1539,27,2756,20739
State Representative District 055,5716,6707,5683,90,18196,868,526,1282,35,2711,20907
State Representative District 056,4429,7352,5580,102,17463,560,724,1458,27,2769,20232
State Representative District 057,7598,8193,6676,126,22593,619,599,1144,31,2393,24986
State Representative District 058,6278,6504,6595,81,19458,695,483,1922,18,3118,22576
State Representative District 059,6587,4834,5416,150,16987,999,692,1604,49,3344,20331
State Representative District 060,7143,7081,6582,150,20956,954,665,1353,43,3015,23971
State Representative District 061,6430,3941,4882,142,15395,1324,523,1576,43,3466,18861
State Representative District 062,7048,2577,4160,135,13920,1687,389,1736,53,3865,17785
State Representative District 063,5120,6998,7617,114,19849,620,514,1523,28,2685,22534
State Representative District 064,4999,5172,6531,85,16787,558,391,1751,25,2725,19512
State Representative District 065,8646,3686,4630,224,17186,1586,637,1595,74,3892,21078
State Representative District 066,7856,5250,5814,216,19136,1040,628,1440,60,3168,22304
State Representative District 067,7720,7442,7285,212,22659,795,707,1415,56,2973,25632
State Representative District 068,7709,6287,7064,202,21262,834,667,1376,51,2928,24190
State Representative District 069,7820,4602,6503,250,19175,1290,657,1852,74,3873,23048
State Representative District 070,8220,4564,6010,213,19007,1129,578,1545,79,3331,22338
State Representative District 071,5440,4626,4024,99,14189,985,574,1812,40,3411,17600
State Representative District 072,4777,6813,6204,134,17928,604,563,1665,23,2855,20783
State Representative District 073,6687,6847,6634,152,20320,644,540,1343,41,2568,22888
State Representative District 074,11390,3641,5985,192,21208,1615,567,1513,52,3747,24955
State Representative District 075,4489,7203,6930,139,18761,551,543,1738,32,2864,21625
State Representative District 076,5566,7186,6751,124,19627,1501,627,1785,39,3952,23579
State Representative District 077,9945,6047,8168,203,24363,1055,671,1673,50,3449,27812
State Representative District 078,4419,7615,5689,128,17851,601,771,1562,39,2973,20824
State Representative District 079,3349,9902,4996,147,18394,588,953,1506,29,3076,21470
State Representative District 080,4132,7935,5326,123,17516,737,719,1486,33,2975,20491
State Representative District 081,5459,4671,4480,101,14711,1212,644,1699,34,3589,18300
State Representative District 082,5808,7111,4305,122,17346,857,678,1380,40,2955,20301
State Representative District 083,6166,4314,4661,117,15258,1191,518,2040,54,3803,19061
State Representative District 084,4027,7469,5395,112,17003,701,822,2040,49,3612,20615
State Representative District 085,12426,2446,4769,170,19811,3086,1225,2592,118,7021,26832
State Representative District 086,10552,2356,5079,167,18154,2492,862,2350,82,5786,23940
State Representative District 087,6829,4344,4830,153,16156,1489,665,2009,47,4210,20366
State Representative District 088,4965,6811,5594,105,17475,828,661,1776,32,3297,20772
State Representative District 089,6556,4307,5988,176,17027,1629,721,2755,54,5159,22186
State Representative District 090,5951,2748,4917,186,13802,2348,765,3346,90,6549,20351
State Representative District 091,5239,5834,5404,156,16633,1198,794,2178,62,4232,20865
State Representative District 092,5686,6172,7145,166,19169,1156,745,2284,60,4245,23414
State Representative District 093,7293,5488,6319,186,19286,1526,969,2596,76,5167,24453
State Representative District 094,7412,8703,8603,157,24875,1168,1188,2472,62,4890,29765
State Representative District 095,6574,7032,7229,155,20990,749,514,1398,34,2695,23685
State Representative District 096,4155,7025,6628,81,17889,437,493,1372,19,2321,20210
State Representative District 097,5582,7618,7532,162,20894,669,665,1832,42,3208,24102
State Representative District 098,5584,4654,5672,111,16021,1170,556,2334,41,4101,20122
State Representative District 099,8783,5402,5297,194,19676,1273,656,1534,57,3520,23196
State Representative District 100,7255,4322,4739,172,16488,1426,756,1853,58,4093,20581
Totals,"610,476","666,441","576,638","15,342","1,868,897","98,923","72,668","168,659","4,787","345,037","2,213,934"
