State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,098","12,021","5,966",23,"21,108",229,464,479,2,"1,174","22,282"
State Representative District 002,"5,158","6,977","7,603",32,"19,770",380,383,762,1,"1,526","21,296"
State Representative District 003,"3,363","9,970","6,374",32,"19,739",250,437,663,3,"1,353","21,092"
State Representative District 004,"1,477","13,172","3,487",22,"18,158",90,430,308,2,830,"18,988"
State Representative District 005,"3,853","9,013","6,659",32,"19,557",326,509,693,4,"1,532","21,089"
State Representative District 006,"5,254","7,243","6,302",45,"18,844",420,408,604,3,"1,435","20,279"
State Representative District 007,"5,433","6,408","8,196",22,"20,059",398,341,905,2,"1,646","21,705"
State Representative District 008,"4,530","8,088","7,111",22,"19,751",302,349,614,1,"1,266","21,017"
State Representative District 009,"6,813","4,792","6,514",38,"18,157",610,374,901,3,"1,888","20,045"
State Representative District 010,"4,211","7,467","8,042",41,"19,761",238,279,620,4,"1,141","20,902"
State Representative District 011,"4,164","7,068","7,242",24,"18,498",196,258,366,1,821,"19,319"
State Representative District 012,"5,724","6,160","8,520",58,"20,462",261,273,738,3,"1,275","21,737"
State Representative District 013,"5,332","4,796","5,176",46,"15,350",580,404,705,13,"1,702","17,052"
State Representative District 014,"5,959","4,055","4,895",44,"14,953",530,316,563,4,"1,413","16,366"
State Representative District 015,"5,515","4,249","5,967",76,"15,807",565,317,648,8,"1,538","17,345"
State Representative District 016,"5,140","5,686","6,358",81,"17,265",432,327,559,5,"1,323","18,588"
State Representative District 017,"4,747","7,429","6,627",34,"18,837",234,305,519,1,"1,059","19,896"
State Representative District 018,"4,453","7,106","5,867",29,"17,455",339,287,641,1,"1,268","18,723"
State Representative District 019,"4,762","8,657","8,944",70,"22,433",270,473,734,7,"1,484","23,917"
State Representative District 020,"4,629","6,471","7,490",48,"18,638",292,284,675,1,"1,252","19,890"
State Representative District 021,"3,790","8,374","7,301",25,"19,490",230,361,602,0,"1,193","20,683"
State Representative District 022,"4,616","10,278","6,764",49,"21,707",225,325,389,3,942,"22,649"
State Representative District 023,"3,744","9,420","6,187",33,"19,384",376,655,865,5,"1,901","21,285"
State Representative District 024,"3,254","8,427","5,714",21,"17,416",363,521,"1,022",5,"1,911","19,327"
State Representative District 025,"5,589","7,799","7,509",43,"20,940",378,419,686,4,"1,487","22,427"
State Representative District 026,"6,364","6,762","7,075",39,"20,240",389,377,629,2,"1,397","21,637"
State Representative District 027,"4,739","6,103","6,151",25,"17,018",284,312,534,1,"1,131","18,149"
State Representative District 028,"5,248","6,888","7,112",31,"19,279",275,310,508,3,"1,096","20,375"
State Representative District 029,"7,216","5,505","6,953",33,"19,707",459,337,799,3,"1,598","21,305"
State Representative District 030,"6,585","7,190","7,041",86,"20,902",212,253,300,0,765,"21,667"
State Representative District 031,"7,383","4,466","5,554",73,"17,476",289,175,311,2,777,"18,253"
State Representative District 032,"7,472","2,564","4,483",83,"14,602",422,136,323,4,885,"15,487"
State Representative District 033,"7,988","3,069","4,853",83,"15,993",420,200,423,4,"1,047","17,040"
State Representative District 034,"8,449","3,462","5,401",94,"17,406",576,226,481,5,"1,288","18,694"
State Representative District 035,"7,285","2,162","4,205",76,"13,728",399,116,330,6,851,"14,579"
State Representative District 036,"9,025","5,001","5,935",115,"20,076",368,227,364,3,962,"21,038"
State Representative District 037,"5,798","9,319","7,642",110,"22,869",274,408,455,12,"1,149","24,018"
State Representative District 038,"6,328","6,791","6,539",83,"19,741",278,306,387,3,974,"20,715"
State Representative District 039,"5,777","9,092","7,662",95,"22,626",281,399,442,4,"1,126","23,752"
State Representative District 040,"6,389","7,521","6,116",80,"20,106",291,332,342,4,969,"21,075"
State Representative District 041,"9,720","4,870","5,404",128,"20,122",608,293,566,12,"1,479","21,601"
State Representative District 042,"6,252","7,165","6,353",99,"19,869",502,507,686,13,"1,708","21,577"
State Representative District 043,"6,738","7,612","5,784",75,"20,209",427,404,493,5,"1,329","21,538"
State Representative District 044,"4,626","8,170","9,168",72,"22,036",631,979,"1,438",5,"3,053","25,089"
State Representative District 045,"5,595","4,464","7,022",131,"17,212","1,245",757,"1,773",27,"3,802","21,014"
State Representative District 046,"5,434","4,727","7,205",140,"17,506",686,570,"1,116",20,"2,392","19,898"
State Representative District 047,"5,872","6,341","7,839",44,"20,096",288,334,633,3,"1,258","21,354"
State Representative District 048,"5,455","6,906","7,757",53,"20,171",256,324,534,2,"1,116","21,287"
State Representative District 049,"4,518","7,184","7,838",68,"19,608",224,277,468,5,974,"20,582"
State Representative District 050,"3,812","8,840","7,044",34,"19,730",289,330,588,4,"1,211","20,941"
State Representative District 051,"5,252","6,105","8,010",18,"19,385",348,269,714,3,"1,334","20,719"
State Representative District 052,"6,125","5,106","8,820",22,"20,073",306,221,594,4,"1,125","21,198"
State Representative District 053,"6,708","4,416","8,435",34,"19,593",437,248,784,2,"1,471","21,064"
State Representative District 054,"4,017","8,390","7,510",23,"19,940",217,248,512,1,978,"20,918"
State Representative District 055,"5,141","6,434","7,063",46,"18,684",287,182,404,1,874,"19,558"
State Representative District 056,"4,930","7,015","7,384",32,"19,361",216,227,398,2,843,"20,204"
State Representative District 057,"7,452","6,037","8,351",37,"21,877",200,192,346,3,741,"22,618"
State Representative District 058,"7,180","4,747","8,833",27,"20,787",348,197,617,5,"1,167","21,954"
State Representative District 059,"5,408","5,106","7,953",122,"18,589",478,329,688,16,"1,511","20,100"
State Representative District 060,"5,872","6,889","7,768",67,"20,596",400,330,575,10,"1,315","21,911"
State Representative District 061,"7,111","3,883","6,752",59,"17,805",363,197,449,2,"1,011","18,816"
State Representative District 062,"8,600","2,383","6,311",62,"17,356",457,111,411,2,981,"18,337"
State Representative District 063,"4,715","6,349","9,222",43,"20,329",248,241,577,5,"1,071","21,400"
State Representative District 064,"5,449","4,452","8,300",29,"18,230",272,175,564,2,"1,013","19,243"
State Representative District 065,"7,801","4,046","5,843",101,"17,791","1,084",374,"1,004",13,"2,475","20,266"
State Representative District 066,"6,520","5,735","6,821",86,"19,162",767,412,914,13,"2,106","21,268"
State Representative District 067,"5,479","6,785","7,739",86,"20,089",553,526,872,7,"1,958","22,047"
State Representative District 068,"6,268","5,962","7,757",95,"20,082",572,495,868,18,"1,953","22,035"
State Representative District 069,"6,820","3,576","6,915",94,"17,405",970,395,"1,125",13,"2,503","19,908"
State Representative District 070,"7,648","4,599","7,095",72,"19,414",780,363,821,3,"1,967","21,381"
State Representative District 071,"5,362","5,030","6,402",22,"16,816",470,385,754,2,"1,611","18,427"
State Representative District 072,"5,316","6,230","8,146",32,"19,724",279,256,589,1,"1,125","20,849"
State Representative District 073,"6,212","5,833","7,610",56,"19,711",296,244,502,5,"1,047","20,758"
State Representative District 074,"8,244","3,989","5,903",97,"18,233","1,143",504,"1,134",16,"2,797","21,030"
State Representative District 075,"5,002","5,898","8,838",37,"19,775",323,236,686,3,"1,248","21,023"
