State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,4856,3421,3590,125,11992,1544,691,2034,39,4308,16300
State Representative District 002,4657,5917,4203,115,14892,1223,931,1860,50,4064,18956
State Representative District 003,2782,11399,4486,115,18782,525,1108,1248,36,2917,21699
State Representative District 004,1393,14650,2664,48,18755,269,1230,795,17,2311,21066
State Representative District 005,2731,11392,4272,96,18491,578,1139,1622,29,3368,21859
State Representative District 006,3773,7507,4832,128,16240,967,994,1984,40,3985,20225
State Representative District 007,3603,9662,6091,123,19479,534,828,1669,33,3064,22543
State Representative District 008,5497,5822,5447,130,16896,1247,892,2396,65,4600,21496
State Representative District 009,4787,8257,6707,109,19860,724,846,2148,32,3750,23610
State Representative District 010,4784,10103,6359,133,21379,671,979,1711,50,3411,24790
State Representative District 011,4622,8595,6679,123,20019,591,823,1621,34,3069,23088
State Representative District 012,3831,8292,5495,97,17715,785,837,1651,42,3315,21030
State Representative District 013,3808,10273,5790,99,19970,590,906,1602,40,3138,23108
State Representative District 014,4637,7721,4938,140,17436,988,1039,1781,47,3855,21291
State Representative District 015,4759,10647,5227,180,20813,479,777,961,42,2259,23072
State Representative District 016,3842,11399,5091,191,20523,660,1357,1690,68,3775,24298
State Representative District 017,3405,9659,5143,120,18327,583,935,1837,32,3387,21714
State Representative District 018,3318,10575,5189,123,19205,620,1286,1918,44,3868,23073
State Representative District 019,5155,6084,4918,210,16367,1213,1202,2168,99,4682,21049
State Representative District 020,4682,4577,4573,238,14070,1611,1210,2604,131,5556,19626
State Representative District 021,5611,7477,5955,156,19199,821,820,1636,42,3319,22518
State Representative District 022,6062,7997,6692,170,20921,707,772,1363,59,2901,23822
State Representative District 023,4381,8841,6646,145,20013,561,824,1649,38,3072,23085
State Representative District 024,3973,7987,5298,106,17364,769,858,1509,43,3179,20543
State Representative District 025,5556,4899,4691,102,15248,1268,721,1832,38,3859,19107
State Representative District 026,4523,7821,5396,111,17851,797,857,1578,41,3273,21124
State Representative District 027,6134,6961,6986,158,20239,728,808,1478,45,3059,23298
State Representative District 028,5625,6727,6709,165,19226,894,945,1746,63,3648,22874
State Representative District 029,6784,2855,4104,157,13900,1533,480,1381,59,3453,17353
State Representative District 030,7859,3194,4244,160,15457,1514,470,1434,73,3491,18948
State Representative District 031,7789,6262,5904,163,20118,1108,831,1421,94,3454,23572
State Representative District 032,8391,5638,4993,181,19203,1077,704,1285,62,3128,22331
State Representative District 033,6963,2340,3912,177,13392,1878,533,1631,58,4100,17492
State Representative District 034,7872,1877,3472,173,13394,2611,596,1688,97,4992,18386
State Representative District 035,10110,3660,4886,202,18858,1317,582,1227,53,3179,22037
State Representative District 036,11082,3082,4268,196,18628,2288,617,1567,73,4545,23173
State Representative District 037,4002,10436,6060,141,20639,590,955,1405,20,2970,23609
State Representative District 038,6159,6415,5998,124,18696,920,692,1824,33,3469,22165
State Representative District 039,6877,4644,4806,181,16508,1127,552,1433,39,3151,19659
State Representative District 040,6588,6022,5953,196,18759,762,633,1278,41,2714,21473
State Representative District 041,6545,7424,7056,219,21244,691,815,1137,46,2689,23933
State Representative District 042,6337,6745,6243,193,19518,692,809,1171,54,2726,22244
State Representative District 043,7011,7044,5995,182,20232,777,726,1033,41,2577,22809
State Representative District 044,7813,6448,5441,182,19884,872,650,1174,50,2746,22630
State Representative District 045,5574,8253,6715,194,20736,488,599,956,34,2077,22813
State Representative District 046,5810,7249,7247,176,20482,621,728,1263,34,2646,23128
