State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,127","12,907",79,"5,878",10,"22,001",226,439,4,540,4,"1,213","23,214"
State Representative District 002,"4,418","8,544",93,"7,201",15,"20,271",263,334,3,612,1,"1,213","21,484"
State Representative District 003,"2,903","11,056",78,"5,885",19,"19,941",169,286,6,473,1,935,"20,876"
State Representative District 004,"1,630","14,127",47,"3,693",17,"19,514",102,394,6,283,3,788,"20,302"
State Representative District 005,"3,746","10,015",92,"6,653",25,"20,531",165,341,4,396,1,907,"21,438"
State Representative District 006,"5,271","7,829",129,"6,789",27,"20,045",381,409,8,583,2,"1,383","21,428"
State Representative District 007,"4,976","6,664",73,"8,411",14,"20,138",332,339,2,822,1,"1,496","21,634"
State Representative District 008,"4,358","8,233",69,"6,988",22,"19,670",209,269,6,520,1,"1,005","20,675"
State Representative District 009,"6,280","5,424",109,"7,166",46,"19,025",429,228,3,677,2,"1,339","20,364"
State Representative District 010,"3,965","8,161",104,"7,642",13,"19,885",204,257,7,510,2,980,"20,865"
State Representative District 011,"4,172","7,352",64,"6,748",32,"18,368",369,313,3,673,0,"1,358","19,726"
State Representative District 012,"5,118","7,055",91,"8,196",21,"20,481",181,185,9,378,0,753,"21,234"
State Representative District 013,"5,472","4,991",107,"5,513",20,"16,103",545,422,13,754,5,"1,739","17,842"
State Representative District 014,"5,886","4,216",101,"5,118",26,"15,347",560,307,6,586,2,"1,461","16,808"
State Representative District 015,"5,373","4,552",172,"6,373",55,"16,525",909,578,22,"1,183",4,"2,696","19,221"
State Representative District 016,"5,151","5,818",195,"6,372",48,"17,584",993,808,26,"1,625",16,"3,468","21,052"
State Representative District 017,"4,280","8,022",117,"6,666",25,"19,110",141,215,3,360,4,723,"19,833"
State Representative District 018,"4,388","7,423",63,"6,269",13,"18,156",204,241,4,394,0,843,"18,999"
State Representative District 019,"6,049","10,320",201,"10,299",19,"26,888",196,415,7,626,2,"1,246","28,134"
State Representative District 020,"4,645","6,737",123,"7,661",22,"19,188",224,234,4,554,0,"1,016","20,204"
State Representative District 021,"3,754","8,392",87,"7,226",15,"19,474",256,393,1,783,1,"1,434","20,908"
State Representative District 022,"4,809","10,435",139,"7,133",30,"22,546",414,610,13,755,3,"1,795","24,341"
State Representative District 023,"3,828","10,042",132,"6,078",32,"20,112",209,327,6,436,3,981,"21,093"
State Representative District 024,"3,338","9,296",88,"5,594",14,"18,330",196,362,7,527,0,"1,092","19,422"
State Representative District 025,"5,937","8,745",152,"8,352",24,"23,210",279,420,10,617,2,"1,328","24,538"
State Representative District 026,"6,593","7,162",139,"7,643",15,"21,552",318,338,5,599,2,"1,262","22,814"
State Representative District 027,"4,532","6,772",86,"6,151",16,"17,557",290,318,7,561,2,"1,178","18,735"
State Representative District 028,"4,968","7,473",77,"7,198",16,"19,732",216,255,4,495,1,971,"20,703"
State Representative District 029,"7,255","5,867",95,"7,687",21,"20,925",286,220,2,501,1,"1,010","21,935"
State Representative District 030,"7,396","8,273",225,"8,101",32,"24,027",242,252,9,404,0,907,"24,934"
State Representative District 031,"7,846","4,649",158,"5,772",33,"18,458",328,189,6,372,3,898,"19,356"
State Representative District 032,"8,177","2,589",164,"4,808",43,"15,781",494,118,13,385,2,"1,012","16,793"
State Representative District 033,"8,599","3,197",160,"5,335",42,"17,333",529,193,11,436,2,"1,171","18,504"
State Representative District 034,"9,742","3,529",194,"5,759",36,"19,260",840,283,15,669,4,"1,811","21,071"
State Representative District 035,"7,662","2,050",148,"4,111",54,"14,025",631,157,9,503,6,"1,306","15,331"
State Representative District 036,"10,146","4,365",206,"5,984",48,"20,749",505,247,6,386,2,"1,146","21,895"
State Representative District 037,"7,848","10,695",279,"9,707",27,"28,556",302,493,19,497,3,"1,314","29,870"
