State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,095","12,363",46,"6,102",14,"21,620",227,437,3,523,3,"1,193","22,813"
State Representative District 002,"4,386","8,495",67,"7,140",10,"20,098",249,274,0,548,1,"1,072","21,170"
State Representative District 003,"2,926","10,998",51,"5,805",16,"19,796",167,276,3,435,1,882,"20,678"
State Representative District 004,"1,521","14,078",41,"3,585",16,"19,241",103,386,6,252,2,749,"19,990"
State Representative District 005,"3,727","9,875",63,"6,532",27,"20,224",174,330,2,391,1,898,"21,122"
State Representative District 006,"5,017","7,779",72,"6,523",25,"19,416",355,333,4,533,2,"1,227","20,643"
State Representative District 007,"5,044","6,631",51,"8,380",14,"20,120",329,304,1,783,1,"1,418","21,538"
State Representative District 008,"4,349","8,187",41,"7,112",19,"19,708",197,241,5,503,1,947,"20,655"
State Representative District 009,"6,251","5,116",72,"6,640",43,"18,122",462,258,3,729,1,"1,453","19,575"
State Representative District 010,"3,885","8,117",53,"7,845",12,"19,912",184,223,5,477,2,891,"20,803"
State Representative District 011,"4,128","7,214",49,"6,847",26,"18,264",344,308,3,664,0,"1,319","19,583"
State Representative District 012,"5,118","7,045",65,"8,219",22,"20,469",176,190,7,380,0,753,"21,222"
State Representative District 013,"5,312","5,073",70,"5,326",28,"15,809",517,389,10,695,3,"1,614","17,423"
State Representative District 014,"5,806","4,294",57,"4,920",20,"15,097",525,285,7,545,2,"1,364","16,461"
State Representative District 015,"5,330","4,420",135,"6,247",52,"16,184",851,516,16,"1,093",2,"2,478","18,662"
State Representative District 016,"4,988","5,750",151,"6,206",38,"17,133",859,719,16,"1,398",10,"3,002","20,135"
State Representative District 017,"4,384","7,960",61,"6,638",25,"19,068",130,169,2,326,1,628,"19,696"
State Representative District 018,"4,312","7,361",50,"6,296",11,"18,030",191,230,2,361,1,785,"18,815"
State Representative District 019,"5,394","9,977",125,"9,673",21,"25,190",191,357,6,572,1,"1,127","26,317"
State Representative District 020,"4,497","6,610",77,"7,608",22,"18,814",211,222,3,533,0,969,"19,783"
