State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,544","14,079","5,231",109,"22,963",227,453,528,13,"1,221","24,184"
State Representative District 002,"4,734","9,377","6,661",142,"20,914",231,371,614,8,"1,224","22,138"
State Representative District 003,"3,006","12,026","5,060",113,"20,205",185,322,443,7,957,"21,162"
State Representative District 004,"1,971","14,748","3,572",81,"20,372",114,476,253,12,855,"21,227"
State Representative District 005,"3,956","11,021","6,115",122,"21,214",174,352,397,10,933,"22,147"
State Representative District 006,"5,646","9,159","6,062",176,"21,043",405,480,651,16,"1,552","22,595"
State Representative District 007,"5,168","7,908","7,274",113,"20,463",273,362,799,5,"1,439","21,902"
State Representative District 008,"4,431","9,360","6,126",103,"20,020",176,262,436,7,881,"20,901"
State Representative District 009,"6,362","6,011","6,546",178,"19,097",495,326,812,10,"1,643","20,740"
State Representative District 010,"3,973","9,280","6,915",130,"20,298",181,245,443,11,880,"21,178"
State Representative District 011,"4,411","8,008","6,111",109,"18,639",388,330,653,4,"1,375","20,014"
State Representative District 012,"5,209","8,191","7,591",121,"21,112",164,188,356,8,716,"21,828"
State Representative District 013,"5,846","5,641","5,189",159,"16,835",591,450,813,26,"1,880","18,715"
State Representative District 014,"6,300","4,853","4,788",141,"16,082",580,327,632,12,"1,551","17,633"
State Representative District 015,"5,852","5,219","6,056",300,"17,427",622,442,818,35,"1,917","19,344"
State Representative District 016,"5,881","6,566","5,984",272,"18,703",670,551,"1,054",45,"2,320","21,023"
State Representative District 017,"4,322","9,450","5,886",149,"19,807",168,245,378,14,805,"20,612"
State Representative District 018,"4,556","8,589","5,633",118,"18,896",189,244,396,7,836,"19,732"
State Representative District 019,"7,679","11,722","10,230",272,"29,903",172,385,551,7,"1,115","31,018"
State Representative District 020,"5,022","7,509","7,252",136,"19,919",178,258,489,12,937,"20,856"
State Representative District 021,"3,976","9,431","6,527",127,"20,061",237,376,748,5,"1,366","21,427"
State Representative District 022,"5,457","11,634","6,495",180,"23,766",273,474,536,14,"1,297","25,063"
State Representative District 023,"4,072","11,116","5,360",197,"20,745",240,402,495,18,"1,155","21,900"
State Representative District 024,"3,338","10,559","4,806",122,"18,825",213,427,621,9,"1,270","20,095"
State Representative District 025,"6,762","10,297","8,125",215,"25,399",281,398,541,15,"1,235","26,634"
State Representative District 026,"7,126","8,236","6,955",179,"22,496",315,332,548,13,"1,208","23,704"
State Representative District 027,"4,572","7,909","5,880",140,"18,501",311,305,533,8,"1,157","19,658"
State Representative District 028,"5,132","8,626","6,702",140,"20,600",202,269,423,6,900,"21,500"
State Representative District 029,"7,473","6,839","7,262",142,"21,716",238,196,414,2,850,"22,566"
State Representative District 030,"8,430","9,250","8,272",275,"26,227",206,233,352,7,798,"27,025"
State Representative District 031,"8,313","5,220","5,808",221,"19,562",287,188,298,9,782,"20,344"
State Representative District 032,"8,999","2,939","4,846",235,"17,019",452,131,372,11,966,"17,985"
State Representative District 033,"9,683","3,634","5,476",215,"19,008",399,140,325,11,875,"19,883"
State Representative District 034,"10,725","3,888","5,760",282,"20,655",687,246,525,27,"1,485","22,140"
State Representative District 035,"8,324","2,267","4,201",217,"15,009",625,159,442,24,"1,250","16,259"
State Representative District 036,"11,422","4,389","5,592",243,"21,646",499,193,356,14,"1,062","22,708"
State Representative District 037,"10,047","11,834","10,235",330,"32,446",320,497,494,26,"1,337","33,783"
State Representative District 038,"8,567","8,559","7,685",281,"25,092",331,310,369,15,"1,025","26,117"
State Representative District 039,"9,868","10,451","9,211",262,"29,792",376,449,504,28,"1,357","31,149"
State Representative District 040,"8,668","7,131","5,760",204,"21,763",310,270,333,16,929,"22,692"
State Representative District 041,"13,315","3,985","4,504",234,"22,038",964,348,640,31,"1,983","24,021"
State Representative District 042,"8,870","6,861","6,247",252,"22,230",486,383,503,20,"1,392","23,622"
State Representative District 043,"9,232","6,673","5,379",207,"21,491",478,318,437,17,"1,250","22,741"
State Representative District 044,"11,277","11,898","11,615",342,"35,132",560,690,"1,012",32,"2,294","37,426"
State Representative District 045,"9,839","5,225","7,823",378,"23,265","1,140",635,"1,309",65,"3,149","26,414"
State Representative District 046,"8,576","5,096","7,455",240,"21,367","1,026",685,"1,465",60,"3,236","24,603"
State Representative District 047,"6,146","7,826","7,185",163,"21,320",249,288,636,12,"1,185","22,505"
State Representative District 048,"5,878","8,779","6,925",166,"21,748",200,259,490,13,962,"22,710"
State Representative District 049,"5,589","8,323","7,511",229,"21,652",212,269,396,17,894,"22,546"
State Representative District 050,"4,524","9,813","6,351",128,"20,816",150,281,376,6,813,"21,629"
State Representative District 051,"5,199","7,380","7,743",116,"20,438",247,248,581,5,"1,081","21,519"
State Representative District 052,"5,724","6,248","7,975",123,"20,070",342,244,654,8,"1,248","21,318"
State Representative District 053,"6,963","4,911","8,082",134,"20,090",333,253,735,3,"1,324","21,414"
State Representative District 054,"4,362","8,882","6,879",129,"20,252",171,279,453,4,907,"21,159"
State Representative District 055,"6,502","7,146","6,483",112,"20,243",515,255,727,15,"1,512","21,755"
State Representative District 056,"5,039","8,004","6,659",115,"19,817",268,260,499,5,"1,032","20,849"
State Representative District 057,"8,224","8,581","7,186",145,"24,136",210,252,414,3,879,"25,015"
State Representative District 058,"7,102","6,916","7,931",90,"22,039",228,168,517,4,917,"22,956"
State Representative District 059,"7,486","5,478","6,342",202,"19,508",616,436,973,20,"2,045","21,553"
State Representative District 060,"7,998","7,753","7,109",168,"23,028",460,441,620,18,"1,539","24,567"
State Representative District 061,"7,762","4,435","5,857",175,"18,229",516,233,550,23,"1,322","19,551"
State Representative District 062,"8,729","2,995","5,413",183,"17,320",570,157,482,9,"1,218","18,538"
State Representative District 063,"5,793","7,480","8,583",133,"21,989",243,217,535,10,"1,005","22,994"
State Representative District 064,"5,619","5,550","7,793",98,"19,060",184,116,498,6,804,"19,864"
State Representative District 065,"10,044","4,293","5,615",271,"20,223",538,214,486,21,"1,259","21,482"
State Representative District 066,"8,715","5,839","6,648",261,"21,463",394,261,460,19,"1,134","22,597"
State Representative District 067,"8,298","7,913","7,857",240,"24,308",297,391,489,18,"1,195","25,503"
State Representative District 068,"8,494","6,897","7,796",245,"23,432",298,294,424,16,"1,032","24,464"
State Representative District 069,"8,949","5,115","7,612",296,"21,972",411,233,527,28,"1,199","23,171"
State Representative District 070,"9,301","5,147","6,973",263,"21,684",400,231,398,27,"1,056","22,740"
State Representative District 071,"6,399","5,190","5,308",129,"17,026",337,264,633,9,"1,243","18,269"
State Representative District 072,"5,391","7,333","7,404",146,"20,274",196,197,441,7,841,"21,115"
State Representative District 073,"7,321","7,374","7,416",176,"22,287",265,215,413,16,909,"23,196"
State Representative District 074,"12,421","4,078","6,391",210,"23,100","1,138",379,861,35,"2,413","25,513"
State Representative District 075,"5,071","7,682","8,104",156,"21,013",188,207,430,9,834,"21,847"
State Representative District 076,"6,665","7,734","7,846",147,"22,392",648,244,582,13,"1,487","23,879"
State Representative District 077,"10,755","6,514","8,794",234,"26,297",474,376,615,23,"1,488","27,785"
State Representative District 078,"5,048","8,285","6,818",142,"20,293",213,267,463,16,959,"21,252"
State Representative District 079,"3,890","10,684","5,908",163,"20,645",359,479,691,10,"1,539","22,184"
State Representative District 080,"4,933","8,472","6,181",143,"19,729",266,295,632,10,"1,203","20,932"
State Representative District 081,"6,692","5,177","5,600",124,"17,593",463,237,639,4,"1,343","18,936"
State Representative District 082,"6,651","7,702","5,241",149,"19,743",419,263,533,18,"1,233","20,976"
State Representative District 083,"7,356","4,762","6,164",155,"18,437",488,260,856,19,"1,623","20,060"
State Representative District 084,"4,645","8,045","6,557",135,"19,382",262,338,669,13,"1,282","20,664"
State Representative District 085,"13,905","3,004","5,504",205,"22,618","2,616","1,169","2,425",92,"6,302","28,920"
State Representative District 086,"11,963","2,829","5,917",211,"20,920","2,062",767,"1,901",60,"4,790","25,710"
State Representative District 087,"8,353","4,972","6,283",183,"19,791",554,239,674,16,"1,483","21,274"
State Representative District 088,"5,851","7,467","6,965",120,"20,403",197,201,402,6,806,"21,209"
State Representative District 089,"7,920","4,953","7,898",208,"20,979",693,322,912,16,"1,943","22,922"
State Representative District 090,"7,882","3,306","7,140",252,"18,580","1,130",379,"1,389",44,"2,942","21,522"
State Representative District 091,"6,397","6,572","6,973",197,"20,139",377,312,676,11,"1,376","21,515"
State Representative District 092,"6,627","6,721","8,487",188,"22,023",549,372,841,21,"1,783","23,806"
State Representative District 093,"8,531","6,252","7,664",231,"22,678",775,528,"1,158",32,"2,493","25,171"
State Representative District 094,"8,234","9,437","9,568",194,"27,433",605,752,"1,135",28,"2,520","29,953"
State Representative District 095,"7,248","7,444","7,987",175,"22,854",299,210,394,10,913,"23,767"
State Representative District 096,"4,655","7,449","7,576",94,"19,774",145,183,429,6,763,"20,537"
State Representative District 097,"6,193","8,093","8,591",181,"23,058",308,331,675,5,"1,319","24,377"
State Representative District 098,"6,671","5,171","7,188",137,"19,167",540,210,845,13,"1,608","20,775"
State Representative District 099,"9,942","5,960","6,087",222,"22,211",741,391,828,26,"1,986","24,197"
State Representative District 100,"8,443","4,943","5,862",206,"19,454",754,433,901,19,"2,107","21,561"
