State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,453","13,573","4,880",75,"21,981",246,527,608,14,"1,395","23,376"
State Representative District 002,"4,665","8,780","6,343",100,"19,888",272,438,715,10,"1,435","21,323"
State Representative District 003,"2,928","11,636","4,874",86,"19,524",196,369,521,8,"1,094","20,618"
State Representative District 004,"1,919","14,363","3,280",48,"19,610",115,527,291,13,946,"20,556"
State Representative District 005,"3,902","10,585","5,868",95,"20,450",201,417,462,10,"1,090","21,540"
State Representative District 006,"5,366","8,674","5,771",123,"19,934",428,522,722,17,"1,689","21,623"
State Representative District 007,"5,155","7,504","6,974",82,"19,715",315,434,909,6,"1,664","21,379"
State Representative District 008,"4,399","8,809","5,937",77,"19,222",223,330,553,8,"1,114","20,336"
State Representative District 009,"6,317","5,642","6,241",129,"18,329",553,381,912,11,"1,857","20,186"
State Representative District 010,"3,978","8,835","6,629",95,"19,537",214,320,537,11,"1,082","20,619"
State Representative District 011,"4,366","7,705","5,932",95,"18,098",431,390,738,6,"1,565","19,663"
State Representative District 012,"5,235","7,810","7,227",102,"20,374",188,237,436,8,869,"21,243"
State Representative District 013,"5,616","5,324","4,836",116,"15,892",648,472,907,23,"2,050","17,942"
State Representative District 014,"5,974","4,572","4,497",96,"15,139",625,358,666,13,"1,662","16,801"
State Representative District 015,"5,699","4,766","5,682",237,"16,384",672,476,900,38,"2,086","18,470"
State Representative District 016,"5,658","6,136","5,559",230,"17,583",745,625,"1,159",48,"2,577","20,160"
State Representative District 017,"4,232","8,815","5,533",112,"18,692",209,305,485,16,"1,015","19,707"
State Representative District 018,"4,470","8,088","5,194",67,"17,819",216,274,462,6,958,"18,777"
State Representative District 019,"7,205","10,725","9,464",199,"27,593",236,497,728,10,"1,471","29,064"
State Representative District 020,"4,977","7,090","6,950",118,"19,135",216,328,637,17,"1,198","20,333"
State Representative District 021,"3,957","8,994","6,171",88,"19,210",274,447,887,8,"1,616","20,826"
State Representative District 022,"5,350","11,165","6,039",146,"22,700",322,540,613,17,"1,492","24,192"
State Representative District 023,"4,020","10,660","4,918",144,"19,742",286,480,594,24,"1,384","21,126"
State Representative District 024,"3,285","10,107","4,517",82,"17,991",242,516,689,11,"1,458","19,449"
State Representative District 025,"6,442","9,347","7,513",168,"23,470",326,551,748,20,"1,645","25,115"
State Representative District 026,"6,972","7,498","6,607",127,"21,204",392,440,698,18,"1,548","22,752"
State Representative District 027,"4,553","7,227","5,341",93,"17,214",353,365,668,16,"1,402","18,616"
State Representative District 028,"5,104","8,112","6,341",104,"19,661",256,343,556,5,"1,160","20,821"
State Representative District 029,"7,450","6,271","7,092",98,"20,911",298,236,528,7,"1,069","21,980"
State Representative District 030,"8,138","8,604","7,689",230,"24,661",228,291,430,9,958,"25,619"
State Representative District 031,"8,071","4,750","5,422",169,"18,412",345,231,357,11,944,"19,356"
State Representative District 032,"8,619","2,647","4,384",173,"15,823",550,152,444,12,"1,158","16,981"
State Representative District 033,"9,194","3,292","4,896",169,"17,551",498,194,403,14,"1,109","18,660"
State Representative District 034,"10,291","3,494","5,094",199,"19,078",799,303,644,29,"1,775","20,853"
State Representative District 035,"8,063","2,033","3,751",165,"14,012",729,179,508,27,"1,443","15,455"
State Representative District 036,"11,129","4,092","5,055",181,"20,457",576,259,442,19,"1,296","21,753"
State Representative District 037,"9,415","10,804","9,093",241,"29,553",386,619,631,33,"1,669","31,222"
State Representative District 038,"8,261","7,919","6,985",206,"23,371",356,377,459,22,"1,214","24,585"
State Representative District 039,"9,263","9,799","8,286",219,"27,567",458,560,674,37,"1,729","29,296"
State Representative District 040,"8,373","6,842","5,482",158,"20,855",375,339,418,18,"1,150","22,005"
State Representative District 041,"13,171","3,789","4,029",188,"21,177","1,067",388,721,36,"2,212","23,389"
State Representative District 042,"8,505","6,576","5,706",203,"20,990",602,478,656,24,"1,760","22,750"
State Representative District 043,"8,938","6,427","4,999",162,"20,526",568,397,542,23,"1,530","22,056"
State Representative District 044,"9,981","10,545","10,388",261,"31,175",711,929,"1,365",41,"3,046","34,221"
State Representative District 045,"9,289","4,837","6,507",284,"20,917","1,294",746,"1,541",80,"3,661","24,578"
State Representative District 046,"8,606","5,062","7,066",222,"20,956","1,156",753,"1,652",69,"3,630","24,586"
State Representative District 047,"6,079","7,267","6,905",133,"20,384",310,355,787,16,"1,468","21,852"
State Representative District 048,"5,758","8,269","6,785",128,"20,940",235,313,599,18,"1,165","22,105"
State Representative District 049,"5,501","7,981","7,073",187,"20,742",252,353,501,21,"1,127","21,869"
State Representative District 050,"4,369","9,194","6,275",94,"19,932",191,356,492,7,"1,046","20,978"
State Representative District 051,"5,122","6,789","7,234",80,"19,225",297,298,715,7,"1,317","20,542"
State Representative District 052,"5,780","5,944","7,665",80,"19,469",386,294,786,11,"1,477","20,946"
State Representative District 053,"6,842","4,650","7,544",82,"19,118",386,298,869,8,"1,561","20,679"
State Representative District 054,"4,285","8,398","6,558",83,"19,324",207,347,567,5,"1,126","20,450"
State Representative District 055,"6,394","6,685","5,903",83,"19,065",561,298,798,17,"1,674","20,739"
State Representative District 056,"5,074","7,496","6,293",87,"18,950",307,299,576,9,"1,191","20,141"
State Representative District 057,"8,237","8,043","6,911",104,"23,295",246,282,468,5,"1,001","24,296"
State Representative District 058,"7,185","6,495","7,606",60,"21,346",269,203,626,6,"1,104","22,450"
State Representative District 059,"7,367","5,302","6,300",163,"19,132",705,526,"1,161",27,"2,419","21,551"
State Representative District 060,"7,636","7,304","6,819",136,"21,895",520,504,754,20,"1,798","23,693"
State Representative District 061,"7,435","3,981","5,716",157,"17,289",598,267,658,27,"1,550","18,839"
State Representative District 062,"8,365","2,663","5,238",156,"16,422",635,186,576,10,"1,407","17,829"
State Representative District 063,"5,757","7,011","8,231",104,"21,103",273,255,644,13,"1,185","22,288"
State Representative District 064,"5,645","5,184","7,327",78,"18,234",249,157,631,9,"1,046","19,280"
State Representative District 065,"9,910","3,976","5,114",228,"19,228",653,228,561,25,"1,467","20,695"
State Representative District 066,"8,560","5,632","5,989",196,"20,377",454,300,537,20,"1,311","21,688"
State Representative District 067,"8,104","7,501","7,155",212,"22,972",333,436,554,19,"1,342","24,314"
State Representative District 068,"8,331","6,622","7,199",210,"22,362",355,339,522,19,"1,235","23,597"
State Representative District 069,"8,678","4,669","6,799",218,"20,364",507,277,628,32,"1,444","21,808"
State Representative District 070,"9,189","4,911","6,405",190,"20,695",453,279,493,29,"1,254","21,949"
State Representative District 071,"6,034","4,852","5,306",114,"16,306",392,298,752,13,"1,455","17,761"
State Representative District 072,"5,334","6,906","7,253",92,"19,585",229,252,563,6,"1,050","20,635"
State Representative District 073,"7,205","6,898","6,659",123,"20,885",305,278,514,18,"1,115","22,000"
State Representative District 074,"11,704","3,756","5,325",142,"20,927","1,323",455,"1,025",41,"2,844","23,771"
State Representative District 075,"5,020","7,315","7,647",109,"20,091",228,280,585,11,"1,104","21,195"
State Representative District 076,"6,686","7,378","7,453",103,"21,620",683,304,699,19,"1,705","23,325"
State Representative District 077,"10,313","6,082","7,680",181,"24,256",577,486,801,29,"1,893","26,149"
State Representative District 078,"5,053","7,838","6,350",121,"19,362",276,354,595,19,"1,244","20,606"
State Representative District 079,"3,823","10,245","5,383",109,"19,560",403,567,832,13,"1,815","21,375"
State Representative District 080,"4,939","7,767","5,945",97,"18,748",325,368,766,15,"1,474","20,222"
State Representative District 081,"6,662","4,810","5,159",81,"16,712",531,305,767,7,"1,610","18,322"
State Representative District 082,"6,581","7,146","4,986",124,"18,837",481,315,631,19,"1,446","20,283"
