State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,155","12,138","5,877",18,"21,188",292,544,736,1,"1,573","22,761"
State Representative District 002,"5,245","7,006","7,542",26,"19,819",494,448,947,1,"1,890","21,709"
State Representative District 003,"3,465","10,079","6,373",26,"19,943",307,488,864,2,"1,661","21,604"
State Representative District 004,"1,469","13,186","3,445",17,"18,117",122,486,364,2,974,"19,091"
State Representative District 005,"3,902","9,111","6,666",27,"19,706",350,517,754,3,"1,624","21,330"
State Representative District 006,"5,294","7,247","6,198",42,"18,781",479,443,699,2,"1,623","20,404"
State Representative District 007,"5,557","6,522","8,123",17,"20,219",508,412,"1,220",2,"2,142","22,361"
State Representative District 008,"4,624","8,171","7,050",17,"19,862",319,382,716,1,"1,418","21,280"
State Representative District 009,"6,974","4,814","6,423",21,"18,232",692,450,"1,029",4,"2,175","20,407"
State Representative District 010,"4,349","7,572","8,182",37,"20,140",364,397,"1,051",3,"1,815","21,955"
State Representative District 011,"4,223","7,159","7,141",16,"18,539",364,369,752,2,"1,487","20,026"
State Representative District 012,"5,823","6,222","8,446",51,"20,542",366,340,901,1,"1,608","22,150"
State Representative District 013,"5,360","4,831","5,083",45,"15,319",744,460,856,4,"2,064","17,383"
State Representative District 014,"6,039","4,126","4,789",36,"14,990",660,369,759,6,"1,794","16,784"
State Representative District 015,"5,494","4,212","5,774",58,"15,538",951,483,"1,118",7,"2,559","18,097"
State Representative District 016,"5,139","5,692","6,169",66,"17,066",733,520,986,7,"2,246","19,312"
State Representative District 017,"4,796","7,497","6,524",24,"18,841",272,331,527,1,"1,131","19,972"
State Representative District 018,"4,543","7,213","5,697",24,"17,477",464,392,950,1,"1,807","19,284"
State Representative District 019,"4,818","8,545","8,602",46,"22,011",479,655,"1,236",6,"2,376","24,387"
State Representative District 020,"4,744","6,584","7,405",35,"18,768",473,442,"1,168",2,"2,085","20,853"
State Representative District 021,"3,871","8,561","7,263",23,"19,718",311,480,909,1,"1,701","21,419"
State Representative District 022,"4,655","10,299","6,555",35,"21,544",359,508,663,4,"1,534","23,078"
State Representative District 023,"3,760","9,551","6,065",31,"19,407",524,836,"1,227",2,"2,589","21,996"
State Representative District 024,"3,379","8,571","5,733",17,"17,700",403,590,"1,174",5,"2,172","19,872"
State Representative District 025,"5,674","7,736","7,440",36,"20,886",432,493,870,3,"1,798","22,684"
State Representative District 026,"6,425","6,798","6,974",33,"20,230",477,409,734,3,"1,623","21,853"
State Representative District 027,"4,912","6,197","6,072",22,"17,203",668,584,"1,291",5,"2,548","19,751"
State Representative District 028,"5,347","6,972","6,986",23,"19,328",595,524,"1,027",1,"2,147","21,475"
State Representative District 029,"7,310","5,451","6,654",25,"19,440",918,609,"1,411",4,"2,942","22,382"
State Representative District 030,"6,564","7,143","6,749",55,"20,511",219,225,326,1,771,"21,282"
State Representative District 031,"7,432","4,470","5,418",50,"17,370",295,186,321,3,805,"18,175"
State Representative District 032,"7,572","2,605","4,407",59,"14,643",545,169,475,3,"1,192","15,835"
State Representative District 033,"7,988","3,074","4,733",57,"15,852",520,221,487,6,"1,234","17,086"
State Representative District 034,"8,425","3,509","5,188",71,"17,193",696,242,597,8,"1,543","18,736"
State Representative District 035,"7,205","2,139","4,047",55,"13,446",590,149,497,5,"1,241","14,687"
State Representative District 036,"9,038","5,118","5,759",93,"20,008",389,231,405,2,"1,027","21,035"
State Representative District 037,"5,723","9,107","7,211",74,"22,115",277,379,419,7,"1,082","23,197"
State Representative District 038,"6,228","6,726","6,257",58,"19,269",283,277,393,2,955,"20,224"
