State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 001,"3,262","12,619","6,292",54,"22,227",218,462,495,3,"1,178","23,405"
State Representative District 002,"4,623","8,774","7,284",69,"20,750",357,356,719,3,"1,435","22,185"
State Representative District 003,"3,074","11,223","5,962",70,"20,329",231,400,650,4,"1,285","21,614"
State Representative District 004,"1,594","14,301","3,531",62,"19,488",98,417,318,2,835,"20,323"
State Representative District 005,"3,854","10,095","6,738",86,"20,773",279,454,616,4,"1,353","22,126"
State Representative District 006,"5,272","7,987","6,572",97,"19,928",396,361,578,4,"1,339","21,267"
State Representative District 007,"5,283","6,831","8,575",67,"20,756",436,342,905,0,"1,683","22,439"
State Representative District 008,"4,546","8,385","7,284",59,"20,274",251,322,598,3,"1,174","21,448"
State Representative District 009,"6,730","5,300","7,013",101,"19,144",576,354,851,5,"1,786","20,930"
State Representative District 010,"4,024","8,303","7,937",60,"20,324",249,267,589,6,"1,111","21,435"
State Representative District 011,"4,363","7,404","7,202",64,"19,033",240,295,474,2,"1,011","20,044"
State Representative District 012,"5,316","7,137","8,409",84,"20,946",261,250,663,6,"1,180","22,126"
State Representative District 013,"5,631","5,367","5,514",98,"16,610",565,378,688,9,"1,640","18,250"
State Representative District 014,"6,168","4,517","5,062",80,"15,827",509,283,580,6,"1,378","17,205"
State Representative District 015,"5,541","4,505","6,349",172,"16,567",792,481,957,14,"2,244","18,811"
State Representative District 016,"5,268","5,968","6,337",179,"17,752",753,587,"1,201",14,"2,555","20,307"
State Representative District 017,"4,562","8,204","6,837",86,"19,689",164,243,406,1,814,"20,503"
State Representative District 018,"4,496","7,552","6,318",62,"18,428",199,204,349,1,753,"19,181"
State Representative District 019,"5,503","10,082","9,437",131,"25,153",243,421,636,7,"1,307","26,460"
State Representative District 020,"4,724","6,800","7,708",91,"19,323",290,271,640,0,"1,201","20,524"
State Representative District 021,"3,854","8,670","7,570",68,"20,162",231,364,647,0,"1,242","21,404"
State Representative District 022,"4,786","10,555","7,016",117,"22,474",332,491,580,5,"1,408","23,882"
State Representative District 023,"3,893","10,159","6,301",100,"20,453",378,594,856,4,"1,832","22,285"
State Representative District 024,"3,322","9,785","5,627",66,"18,800",277,449,761,6,"1,493","20,293"
State Representative District 025,"5,868","8,759","7,957",107,"22,691",318,390,620,4,"1,332","24,023"
State Representative District 026,"6,588","7,459","7,530",101,"21,678",337,325,585,4,"1,251","22,929"
State Representative District 027,"4,877","6,792","6,446",73,"18,188",257,286,531,2,"1,076","19,264"
State Representative District 028,"5,275","7,323","7,358",69,"20,025",253,280,489,4,"1,026","21,051"
State Representative District 029,"7,665","5,804","7,309",70,"20,848",371,290,683,3,"1,347","22,195"
State Representative District 030,"7,064","8,229","7,619",190,"23,102",238,247,336,1,822,"23,924"
State Representative District 031,"7,846","4,865","5,645",156,"18,512",309,191,345,3,848,"19,360"
State Representative District 032,"8,300","2,732","4,687",142,"15,861",472,136,375,13,996,"16,857"
State Representative District 033,"8,487","3,319","5,186",139,"17,131",526,206,483,7,"1,222","18,353"
State Representative District 034,"9,137","3,813","5,515",182,"18,647",776,268,626,11,"1,681","20,328"
State Representative District 035,"8,011","2,294","4,220",144,"14,669",540,135,404,7,"1,086","15,755"
State Representative District 036,"10,003","5,046","6,012",199,"21,260",409,216,360,4,989,"22,249"
State Representative District 037,"7,009","10,900","8,640",257,"26,806",261,411,435,11,"1,118","27,924"
State Representative District 038,"6,926","7,556","6,946",173,"21,601",272,325,415,9,"1,021","22,622"
State Representative District 039,"6,915","10,188","8,321",189,"25,613",278,393,425,4,"1,100","26,713"
State Representative District 040,"7,173","7,835","6,160",173,"21,341",298,329,348,6,981,"22,322"
State Representative District 041,"11,746","4,903","5,114",192,"21,955",774,342,702,21,"1,839","23,794"
State Representative District 042,"7,446","7,548","6,424",208,"21,626",408,503,555,6,"1,472","23,098"
State Representative District 043,"7,602","7,612","5,890",140,"21,244",419,399,497,4,"1,319","22,563"
