State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,486","13,801","5,007",95,"22,389",238,502,583,13,"1,336","23,725"
State Representative District 002,"4,722","9,038","6,443",111,"20,314",259,412,683,10,"1,364","21,678"
State Representative District 003,"2,970","11,810","4,888",98,"19,766",190,356,495,8,"1,049","20,815"
State Representative District 004,"1,950","14,529","3,357",62,"19,898",112,514,280,14,920,"20,818"
State Representative District 005,"3,914","10,748","5,960",108,"20,730",192,398,446,10,"1,046","21,776"
State Representative District 006,"5,462","8,884","5,892",142,"20,380",420,506,696,16,"1,638","22,018"
State Representative District 007,"5,175","7,714","7,049",98,"20,036",288,402,871,6,"1,567","21,603"
State Representative District 008,"4,431","9,041","5,968",89,"19,529",208,308,515,7,"1,038","20,567"
State Representative District 009,"6,351","5,826","6,337",150,"18,664",531,368,876,12,"1,787","20,451"
State Representative District 010,"3,988","8,991","6,719",105,"19,803",200,285,509,12,"1,006","20,809"
State Representative District 011,"4,406","7,825","5,947",107,"18,285",412,374,710,5,"1,501","19,786"
State Representative District 012,"5,236","7,988","7,393",113,"20,730",180,219,400,8,807,"21,537"
State Representative District 013,"5,726","5,462","4,926",137,"16,251",619,460,863,23,"1,965","18,216"
State Representative District 014,"6,127","4,687","4,551",117,"15,482",613,345,648,14,"1,620","17,102"
State Representative District 015,"5,766","4,990","5,881",271,"16,908",644,472,879,38,"2,033","18,941"
State Representative District 016,"5,780","6,356","5,715",250,"18,101",714,592,"1,128",49,"2,483","20,584"
State Representative District 017,"4,295","9,092","5,651",126,"19,164",189,284,452,17,942,"20,106"
State Representative District 018,"4,497","8,315","5,373",95,"18,280",201,263,430,7,901,"19,181"
State Representative District 019,"7,501","11,202","9,657",237,"28,597",205,462,666,8,"1,341","29,938"
State Representative District 020,"5,018","7,288","7,022",126,"19,454",206,303,587,14,"1,110","20,564"
State Representative District 021,"3,957","9,166","6,333",110,"19,566",260,435,854,7,"1,556","21,122"
State Representative District 022,"5,441","11,362","6,229",166,"23,198",295,518,585,17,"1,415","24,613"
State Representative District 023,"4,039","10,839","5,108",161,"20,147",266,451,565,22,"1,304","21,451"
State Representative District 024,"3,316","10,216","4,572",103,"18,207",236,496,687,11,"1,430","19,637"
State Representative District 025,"6,683","9,807","7,635",201,"24,326",305,512,664,19,"1,500","25,826"
State Representative District 026,"7,084","7,862","6,650",144,"21,740",371,393,651,16,"1,431","23,171"
State Representative District 027,"4,573","7,448","5,498",113,"17,632",333,348,630,15,"1,326","18,958"
State Representative District 028,"5,096","8,320","6,470",117,"20,003",240,327,526,7,"1,100","21,103"
State Representative District 029,"7,456","6,526","7,064",117,"21,163",278,222,485,4,989,"22,152"
State Representative District 030,"8,213","8,896","7,876",234,"25,219",234,271,424,6,935,"26,154"
State Representative District 031,"8,189","4,942","5,560",190,"18,881",329,220,338,10,897,"19,778"
State Representative District 032,"8,792","2,796","4,447",203,"16,238",525,150,427,13,"1,115","17,353"
State Representative District 033,"9,400","3,470","5,070",201,"18,141",474,175,375,13,"1,037","19,178"
State Representative District 034,"10,475","3,696","5,324",229,"19,724",755,280,605,30,"1,670","21,394"
State Representative District 035,"8,170","2,187","3,913",187,"14,457",696,177,487,26,"1,386","15,843"
State Representative District 036,"11,217","4,204","5,243",201,"20,865",554,236,409,16,"1,215","22,080"
State Representative District 037,"9,697","11,271","9,526",284,"30,778",358,584,588,31,"1,561","32,339"
State Representative District 038,"8,445","8,182","7,198",246,"24,071",373,374,439,18,"1,204","25,275"
State Representative District 039,"9,579","10,144","8,587",228,"28,538",430,534,614,34,"1,612","30,150"
State Representative District 040,"8,503","6,976","5,581",186,"21,246",352,316,388,18,"1,074","22,320"
State Representative District 041,"13,219","3,896","4,197",205,"21,517","1,014",379,694,34,"2,121","23,638"
State Representative District 042,"8,680","6,744","5,893",224,"21,541",557,439,594,23,"1,613","23,154"
State Representative District 043,"9,055","6,528","5,128",193,"20,904",535,366,498,21,"1,420","22,324"
State Representative District 044,"10,786","11,236","10,651",303,"32,976",629,822,"1,224",38,"2,713","35,689"
State Representative District 045,"9,489","4,982","6,862",312,"21,645","1,248",721,"1,434",73,"3,476","25,121"
State Representative District 046,"8,468","5,103","7,038",249,"20,858","1,111",735,"1,583",67,"3,496","24,354"
State Representative District 047,"6,139","7,555","6,968",143,"20,805",289,326,725,15,"1,355","22,160"
